Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
9,67,5,4954.2,449.85,0,5,8,8
9,67,5,5148.99,389.02,0,5,8,8
9,67,6,4848.48,449.85,0,5,8,8
9,67,6,4979.1,389.02,0,5,8,8
9,67,7,4766.79,449.85,0,5,8,8
9,67,8,4829.89,389.02,0,5,8,8
9,67,8,4992.28,716.07,0,4,9,8
9,67,8,5027.4,562.07,0,4,8,8
9,67,8,5030.38,766.14,0,4,7,8
9,67,8,5204.44,705.31,0,4,7,8
9,67,8,5307.43,542.21,0,4,8,8
9,67,9,4666.65,622.9,0,4,8,8
9,67,9,4836.54,562.07,0,4,8,8
9,67,9,4924.66,603.05,0,4,7,8
9,67,9,5023.22,498.11,0,4,8,8
9,67,9,5094.54,542.21,0,4,7,8
9,67,10,4666.65,562.07,0,4,8,8
9,67,10,4850.65,498.11,0,4,8,8
9,67,10,4871.92,487.12,0,4,8,8
9,67,10,4928.83,542.21,0,4,7,8
9,67,10,5098.72,499.28,0,4,7,8
9,67,11,4903.52,547.01,0,4,7,8
9,67,11,4985.47,473.54,0,4,8,8
9,67,12,4609.89,578.75,0,5,8,8
9,67,12,4687.15,499.84,0,5,8,8
9,67,12,4706.5,499.84,0,4,8,8
9,67,12,4830.0,547.01,0,4,7,8
9,67,12,4840.44,473.54,0,4,8,8
9,67,13,4464.87,578.75,0,5,8,8
9,67,13,4478.71,505.64,0,5,8,8
9,67,13,4627.85,633.17,0,5,7,8
9,67,13,4633.65,483.01,0,5,8,8
9,67,13,4687.15,499.84,0,4,8,8
9,67,13,4840.29,483.01,0,4,8,8
9,67,13,5093.1,471.7,0,4,8,8
9,67,14,4478.71,483.01,0,5,8,8
9,67,14,4479.12,579.83,0,5,7,8
9,67,14,4479.12,686.78,0,4,7,8
9,67,14,4600.46,483.01,0,5,7,8
9,67,14,4638.23,473.54,0,5,7,8
9,67,14,4681.93,483.01,0,4,7,8
9,67,14,4807.77,473.54,0,4,7,8
9,67,15,4479.12,580.49,0,4,7,8
9,67,15,4483.3,473.54,0,5,7,8
9,67,15,4592.84,473.54,0,4,7,8
9,67,16,4479.12,473.54,0,4,7,8
