         394795209 function calls (394791980 primitive calls) in 79.899 seconds

   Ordered by: cumulative time
   List reduced from 1340 to 300 due to restriction <300>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   79.899   79.899 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/main.py:83(main)
        1    0.103    0.103   79.258   79.258 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Solver.py:115(Run)
        1    0.000    0.000   73.851   73.851 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Solver.py:54(ImprovementPhase)
        1    0.000    0.000   73.851   73.851 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:907(Run)
        1    0.263    0.263   73.397   73.397 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:795(DBSA)
    45748    0.119    0.000   19.392    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1514(SingleMove)
      584    0.745    0.001   18.020    0.031 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:805(SelectRandomBestSolution)
    13964    0.041    0.000   17.614    0.001 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:784(evaluate)
     7706    0.139    0.000   16.027    0.002 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:740(location_move)
   977898    8.189    0.000   14.354    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:841(<listcomp>)
    10275    0.711    0.000   12.172    0.001 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:546(UpdateParetoFront)
  7655887    7.933    0.000   11.829    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:587(CompareSolutions)
     7670    5.979    0.001    9.654    0.001 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2554(MakeOneMove)
