         331435343 function calls in 78.368 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   105600    0.239    0.000   46.228    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1477(SingleMove)
  2447248    9.667    0.000   16.074    0.000 {method 'choice' of 'numpy.random._generator.Generator' objects}
    17467    0.984    0.000   15.004    0.001 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1670(MakeOneMove)
    30249    0.087    0.000   13.237    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:782(evaluate)
    17838    6.687    0.000   10.450    0.001 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2516(MakeOneMove)
    88133    2.105    0.000    9.340    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:277(update_weights)
    30249    0.530    0.000    8.308    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:520(UpdateParetoFront)
  4805377    5.116    0.000    7.777    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:561(CompareSolutions)
    17579    3.591    0.000    7.195    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3123(MakeOneMove)
  2447248    0.955    0.000    6.257    0.000 /opt/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2979(prod)
    17532    1.254    0.000    5.771    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2806(MakeOneMove)
  2447248    1.665    0.000    5.302    0.000 /opt/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
    17614    2.951    0.000    4.743    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2203(MakeOneMove)
    30249    1.979    0.000    4.568    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:946(calculate_driver_violation)
   192846    3.139    0.000    4.546    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:75(WorkerRouteFeasibilityCheck)
 80057511    3.687    0.000    3.687    0.000 {built-in method builtins.getattr}
  3457319    0.645    0.000    3.062    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:302(distance)
    30249    2.517    0.000    2.980    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:826(categorizing_orders)
  4132905    1.625    0.000    2.675    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:315(<dictcomp>)
  2447248    2.547    0.000    2.547    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  3754581    0.980    0.000    2.535    0.000 {built-in method builtins.sum}
   245223    1.698    0.000    2.243    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1709(<listcomp>)
  4053366    0.337    0.000    2.080    0.000 {built-in method builtins.next}
    17570    0.156    0.000    2.074    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1971(MakeOneMove)
    30249    1.358    0.000    1.861    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:958(calculate_machine_worker_attachment_count_and_utilization_time)
    30249    1.582    0.000    1.802    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:810(calculate_dynamic_percentage_order)
 11723779    1.195    0.000    1.514    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:303(<genexpr>)
 37292875    1.051    0.000    1.051    0.000 {built-in method builtins.len}
  4053366    1.028    0.000    1.028    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:953(<genexpr>)
  4053366    0.676    0.000    0.913    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:954(<genexpr>)
  4132905    0.770    0.000    0.770    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:293(dominates)
   429368    0.498    0.000    0.671    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2336(__init__)
    30249    0.502    0.000    0.615    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:924(calculate_commute_distance)
 14747368    0.583    0.000    0.583    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:798(start_time)
    30249    0.436    0.000    0.522    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:936(calculate_transport_distance)
   300070    0.510    0.000    0.510    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2251(<listcomp>)
 12562960    0.494    0.000    0.494    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:1195(predecessor_ids)
  2447248    0.491    0.000    0.491    0.000 /opt/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:72(<dictcomp>)
   282918    0.480    0.000    0.480    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2572(<listcomp>)
    24952    0.297    0.000    0.472    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2013(<listcomp>)
 14747368    0.472    0.000    0.472    0.000 {method 'date' of 'datetime.datetime' objects}
   281830    0.468    0.000    0.468    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2600(<listcomp>)
 10497634    0.456    0.000    0.456    0.000 {method 'get' of 'dict' objects}
   278216    0.367    0.000    0.367    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3171(<listcomp>)
    88132    0.234    0.000    0.366    0.000 {built-in method builtins.min}
   277980    0.361    0.000    0.361    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3202(<listcomp>)
    30249    0.290    0.000    0.352    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:800(calculate_attachment_distance)
  6458047    0.334    0.000    0.334    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:628(order_items)
  8284039    0.321    0.000    0.321    0.000 {built-in method builtins.abs}
   274300    0.304    0.000    0.304    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2849(<listcomp>)
   340020    0.282    0.000    0.282    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2629(<listcomp>)
  6561491    0.282    0.000    0.282    0.000 {method 'append' of 'list' objects}
  3086581    0.281    0.000    0.281    0.000 {method 'index' of 'list' objects}
    17838    0.012    0.000    0.278    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2694(EvaluateMove)
   340020    0.270    0.000    0.270    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2630(<listcomp>)
  5017996    0.269    0.000    0.269    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:806(duration)
   192411    0.186    0.000    0.263    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:91(<listcomp>)
    17838    0.196    0.000    0.261    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:313(calculate_swap_shift_machine_delta)
    30249    0.235    0.000    0.251    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:903(calculate_finished_order_items)
  6207084    0.248    0.000    0.248    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:1199(successor_ids)
  4446603    0.247    0.000    0.247    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:794(id)
  5728706    0.239    0.000    0.239    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:1066(predecessor_ids)
  3384048    0.238    0.000    0.238    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:924(type)
  5245288    0.237    0.000    0.237    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:1159(id)
  5625448    0.237    0.000    0.237    0.000 {method 'items' of 'dict' objects}
  3544786    0.201    0.000    0.201    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:632(attachments)
  1645422    0.198    0.000    0.198    0.000 {method 'remove' of 'list' objects}
    30249    0.138    0.000    0.191    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:880(categorizing_machine_worker)
   131845    0.133    0.000    0.184    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2934(__init__)
  2447248    0.150    0.000    0.150    0.000 /opt/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2974(_prod_dispatcher)
    17614    0.011    0.000    0.150    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2308(EvaluateMove)
   154654    0.107    0.000    0.145    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2113(__init__)
   154654    0.139    0.000    0.139    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2285(<listcomp>)
    17579    0.011    0.000    0.136    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3308(EvaluateMove)
  2394861    0.135    0.000    0.135    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:640(machines)
    17614    0.102    0.000    0.135    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:571(calculate_replace_shift_machine_delta)
  3457319    0.131    0.000    0.131    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:325(<lambda>)
    17570    0.027    0.000    0.124    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2097(constructCompleteRoutes)
