Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
17,170,103,13019.27,4092.33,44.55,12,19,19
17,170,103,13019.27,4092.33,94.2,12,19,18
17,170,104,12588.44,3564.12,44.55,12,17,19
17,170,104,12634.12,3523.6,100.86,12,18,18
17,170,104,12661.57,3433.28,44.55,12,18,19
17,170,104,12969.13,3342.55,44.55,12,17,21
17,170,104,13331.09,4165.45,98.64,12,18,18
17,170,105,11839.73,2583.04,94.2,11,17,22
17,170,105,12355.45,3428.17,44.55,12,19,20
17,170,105,12442.35,3433.94,44.55,12,18,21
17,170,105,12471.11,3523.42,44.55,12,18,20
17,170,105,12500.4,3523.42,44.55,12,18,19
17,170,105,12500.4,3523.42,100.86,12,18,18
17,170,105,12588.44,3523.6,44.55,12,17,19
17,170,105,12661.57,3342.55,44.55,12,18,20
17,170,105,12908.78,3399.81,59.94,12,17,20
17,170,105,12963.72,3342.55,44.55,12,17,20
17,170,105,13287.72,4197.26,98.64,12,18,18
17,170,106,11585.42,2594.93,94.2,11,18,23
17,170,106,11782.13,2583.04,94.2,11,17,21
17,170,106,11801.89,2804.61,44.55,11,18,21
17,170,106,11839.73,2467.97,94.2,12,17,23
17,170,106,11839.73,2491.02,94.2,11,17,23
17,170,106,11972.9,2842.91,44.55,11,19,18
17,170,106,12652.38,3342.55,44.55,12,18,19
17,170,106,12802.75,3342.55,44.55,12,17,20
17,170,106,13455.26,4257.89,94.2,12,16,21
17,170,107,11585.42,2594.93,44.55,11,18,20
17,170,107,11700.37,2843.96,44.55,12,19,19
17,170,107,11922.28,2842.91,44.55,11,19,18
17,170,107,13375.23,4206.48,94.2,12,16,20
17,170,108,11817.6,5913.33,44.55,12,17,23
17,170,111,15898.23,3847.84,94.2,12,16,18
17,170,111,15953.94,3816.1,94.2,12,16,18
17,170,112,12323.53,4076.0,44.55,12,18,19
17,170,112,12323.53,4239.55,44.55,12,18,18
17,170,112,13688.5,4390.24,100.86,12,17,18
17,170,112,15730.26,3847.84,94.2,12,16,18
17,170,113,13765.79,4639.94,94.2,11,17,19
17,170,113,13852.65,5354.07,94.2,12,21,17
17,170,113,14339.15,4334.4,94.2,11,18,18
17,170,113,14564.17,4162.04,44.55,12,18,18
17,170,113,14564.17,4334.4,44.55,11,18,19
17,170,113,15953.94,3745.19,94.2,12,16,18
17,170,113,16100.57,3736.72,94.2,12,16,18
17,170,113,16257.1,3734.7,94.2,12,16,18
17,170,114,13632.18,4856.65,138.76,11,18,19
17,170,114,13658.5,4856.65,138.76,11,17,19
17,170,114,13675.88,4512.09,94.2,11,17,19
17,170,114,13675.88,4616.19,94.2,11,17,18
17,170,114,13845.85,5354.07,94.2,12,21,17
17,170,114,13852.65,5295.99,94.2,12,21,16
17,170,114,13862.89,5259.41,94.2,12,20,17
17,170,114,13915.3,5259.41,94.2,12,19,17
17,170,114,16252.21,3734.7,94.2,12,16,18
17,170,115,13514.92,4512.09,94.2,11,17,18
17,170,115,13616.27,4354.73,94.2,12,17,18
17,170,115,13640.85,4402.09,94.2,11,17,18
17,170,115,13835.18,4923.02,89.11,11,17,18
17,170,115,13845.85,5277.87,94.2,12,21,17
17,170,116,13204.11,4689.64,44.55,11,17,24
17,170,116,13616.27,4297.92,94.2,12,17,18
17,170,116,13763.16,4922.06,89.11,12,17,17
17,170,116,13763.16,5018.94,89.11,11,17,17
17,170,116,13765.76,5412.46,44.55,12,17,18
17,170,116,13769.98,5311.21,44.55,12,17,18
17,170,116,13844.96,5679.07,44.55,11,17,23
17,170,116,13844.96,5747.11,44.55,11,17,22
17,170,116,13844.96,5844.81,44.55,11,17,21
17,170,116,13915.3,5365.24,94.2,12,19,16
17,170,116,13915.3,5365.24,138.76,12,19,14
17,170,116,14014.59,6101.8,44.55,11,17,20
17,170,116,14178.28,5844.89,44.55,11,17,20
17,170,116,16427.1,3734.7,94.2,12,19,17
17,170,117,13123.97,4735.65,44.55,11,17,24
17,170,117,13560.25,5887.18,44.55,11,16,23
17,170,117,13561.33,5847.39,44.55,12,16,22
17,170,117,13561.33,5887.18,44.55,11,16,22
17,170,117,13563.18,5698.81,44.55,12,16,23
17,170,117,13563.18,5814.18,44.55,11,16,23
17,170,117,13695.55,4929.49,94.2,12,20,17
17,170,117,13887.27,6283.05,44.55,11,17,20
17,170,117,14302.85,5317.74,138.76,12,19,15
17,170,117,14319.87,5303.21,138.76,12,19,15
17,170,117,14346.19,5227.63,138.76,12,18,15
17,170,117,16358.76,3734.7,94.2,12,19,17
17,170,118,13563.66,5761.04,44.55,12,16,22
17,170,118,13563.66,5807.05,44.55,11,16,22
17,170,118,13695.2,4629.68,215.35,12,20,17
17,170,118,14161.85,5994.52,104.97,11,17,16
17,170,118,14329.98,6033.75,44.55,11,18,18
17,170,118,14534.02,4832.74,203.61,12,17,17
17,170,118,14611.52,3623.39,174.44,12,18,17
17,170,118,14639.09,3577.7,174.44,12,18,17
17,170,118,16214.45,3734.7,94.2,12,19,17
17,170,119,13665.34,4746.72,215.35,12,20,17
17,170,119,14170.18,6248.84,44.55,11,18,18
17,170,119,14207.15,6063.21,44.55,11,18,18
17,170,119,14288.9,5919.1,44.55,11,18,17
17,170,119,14419.73,3577.7,174.44,12,17,18
17,170,119,14419.73,3657.91,174.44,12,17,17
17,170,119,14491.59,5899.36,44.55,11,18,17
17,170,119,14516.79,3600.53,114.02,12,20,17
17,170,119,14587.48,3652.07,114.02,12,20,16
17,170,120,14152.25,5899.36,44.55,11,18,17
17,170,120,14367.29,4095.93,120.36,11,18,19
17,170,120,14386.56,5854.56,44.55,11,18,17
17,170,120,14386.56,5854.56,98.64,11,18,16
17,170,120,14399.55,3838.25,120.36,11,18,19
17,170,120,14419.73,3638.09,174.44,12,17,17
17,170,120,14446.15,3526.27,109.59,12,17,18
17,170,120,14446.15,3586.28,109.59,12,17,17
17,170,120,14462.48,3509.84,176.66,12,17,18
17,170,120,14516.79,3503.65,114.02,12,20,17
17,170,120,15999.39,3734.7,94.2,12,19,17
17,170,121,14042.63,5182.91,215.35,12,20,15
17,170,121,14113.31,5262.16,154.62,12,20,16
17,170,121,14178.15,5766.6,98.64,11,20,16
17,170,121,14193.69,5792.72,98.64,11,19,16
17,170,121,14214.37,5766.6,98.64,11,19,16
17,170,121,14614.04,4268.8,109.59,11,17,20
17,170,121,14962.8,4420.45,59.94,11,17,20
17,170,122,13780.76,4969.31,215.35,12,20,15
17,170,122,14042.63,5262.16,154.62,12,20,16
17,170,122,14127.42,5988.17,94.2,10,20,21
17,170,122,14259.92,5812.91,94.2,10,20,22
17,170,122,14359.91,3526.27,109.59,12,17,18
17,170,122,14550.85,4268.8,109.59,11,18,19
17,170,122,14614.04,4230.51,114.02,11,17,20
17,170,122,14614.04,4319.11,114.02,11,17,19
17,170,122,14784.95,5578.87,44.55,12,19,17
17,170,122,15869.86,3734.7,94.2,12,19,17
17,170,123,14017.82,5988.17,94.2,10,20,21
17,170,123,14259.92,5684.73,94.2,10,20,23
17,170,123,14570.2,4280.33,109.59,11,17,19
17,170,123,14638.78,4276.6,176.66,11,17,19
17,170,123,14655.31,5684.96,44.55,12,18,17
17,170,123,14655.31,5760.3,94.2,12,18,16
17,170,123,14732.17,4344.44,114.02,11,17,18
17,170,123,14784.95,5517.11,44.55,12,19,17
17,170,123,14938.87,4405.39,59.94,11,17,20
17,170,123,15292.27,4806.24,89.11,12,19,17
17,170,123,15417.31,4456.65,89.11,12,19,17
17,170,124,13817.65,6497.59,154.62,11,19,16
17,170,124,13972.94,5952.3,94.2,10,21,21
17,170,124,13972.94,5982.58,94.2,10,21,20
17,170,124,14125.15,5678.83,94.2,10,20,22
17,170,124,14288.2,5260.5,59.94,11,16,21
17,170,124,14470.86,4085.2,59.94,11,20,17
17,170,124,14664.49,4276.6,120.36,11,16,20
17,170,124,14714.31,4807.95,59.94,10,20,23
17,170,124,14759.8,6064.46,89.11,11,18,16
17,170,124,14978.83,5519.09,89.11,11,19,16
17,170,124,14983.98,5519.09,89.11,11,18,16
17,170,124,15292.27,4749.36,89.11,12,19,17
17,170,125,13696.2,6409.45,154.62,11,19,16
17,170,125,14099.44,5640.66,94.2,10,20,21
17,170,125,14303.47,5214.88,59.94,11,16,21
17,170,125,14812.39,4718.07,59.94,10,20,23
17,170,125,14939.28,5483.53,44.55,11,19,17
17,170,125,14939.28,5483.53,89.11,11,19,16
17,170,125,15116.83,5332.01,94.2,12,19,16
17,170,125,15122.27,5239.99,94.2,12,19,16
17,170,125,15164.3,5385.82,44.55,11,19,17
17,170,125,15976.09,3734.7,94.2,12,18,17
17,170,125,16448.92,4742.42,44.55,12,16,22
17,170,125,16624.08,4521.19,230.74,10,21,17
17,170,125,16788.74,4261.21,230.74,10,19,17
17,170,126,13687.7,6378.31,104.97,12,19,17
17,170,126,13696.2,6387.13,154.62,11,19,16
17,170,126,13743.28,5958.02,98.64,11,20,17
17,170,126,14063.15,5781.4,94.2,10,20,21
17,170,126,14075.42,5679.23,94.2,10,20,21
17,170,126,14218.5,5488.29,59.94,10,17,20
17,170,126,14227.68,5391.49,59.94,11,16,21
17,170,126,14227.68,5488.29,59.94,10,16,21
17,170,126,14392.77,5204.5,59.94,11,16,21
17,170,126,14982.4,4691.68,59.94,10,21,23
17,170,126,15022.66,4798.55,59.94,10,19,20
17,170,126,15078.9,5277.59,94.2,12,19,16
17,170,126,15243.21,4873.29,138.76,12,19,15
17,170,126,15243.21,5168.28,138.76,11,19,15
17,170,126,15243.21,5194.32,94.2,11,19,16
17,170,126,15267.92,5269.3,44.55,11,20,17
17,170,126,15270.81,5269.3,44.55,11,19,17
17,170,126,15271.96,4748.93,138.76,12,19,15
17,170,126,15271.96,4857.07,138.76,11,19,15
17,170,126,15293.36,4740.1,138.76,11,19,15
17,170,126,16620.92,4521.19,230.74,10,21,17
17,170,126,16641.05,4261.21,230.74,10,19,17
17,170,127,13207.5,6145.81,59.94,11,18,19
17,170,127,13212.94,5910.6,154.62,11,20,16
17,170,127,13220.19,5726.23,154.62,11,19,16
17,170,127,13261.52,5613.44,154.62,11,21,17
17,170,127,13295.08,5571.17,154.62,11,21,17
17,170,127,13481.03,5703.86,44.55,11,18,19
17,170,127,13593.52,5450.4,44.55,11,18,19
17,170,127,13687.7,6350.67,104.97,11,19,17
17,170,127,13743.28,5918.0,98.64,11,20,17
17,170,127,14172.63,5977.85,154.62,11,18,16
17,170,127,14186.49,5488.29,120.36,10,17,20
17,170,127,15202.49,4692.7,59.94,10,21,21
17,170,127,15208.46,5384.44,94.2,11,19,16
17,170,127,15297.26,4751.4,89.11,11,19,16
17,170,127,15433.05,4741.89,89.11,11,19,16
17,170,127,15433.05,4864.64,44.55,11,19,17
17,170,127,15828.31,4442.71,89.11,12,19,17
17,170,127,16119.51,3816.31,94.2,12,17,17
17,170,127,16737.78,4251.99,176.66,10,21,18
17,170,127,16783.93,4171.74,176.66,10,21,19
17,170,127,16803.73,4251.99,176.66,10,20,18
17,170,127,16835.12,4012.57,176.66,10,20,19
17,170,128,13150.32,5859.55,154.62,11,19,16
17,170,128,13196.98,6145.81,59.94,11,18,19
17,170,128,13245.93,5697.26,154.62,11,18,17
17,170,128,13251.09,5618.25,154.62,11,19,17
17,170,128,13254.94,5592.9,154.62,11,19,17
17,170,128,13488.21,5918.0,98.64,11,20,17
17,170,128,13488.64,5636.98,98.64,11,21,17
17,170,128,13593.48,5918.0,98.64,11,19,17
17,170,128,13656.56,6643.72,59.94,10,19,18
17,170,128,13844.32,6265.3,154.62,11,18,16
17,170,128,14172.63,5809.62,154.62,11,18,16
17,170,128,14259.89,5329.65,59.94,11,17,21
17,170,128,15005.38,4931.47,59.94,10,19,22
17,170,128,15181.43,4952.52,149.52,11,19,17
17,170,128,15345.11,4790.08,44.55,11,19,17
17,170,128,15433.05,4762.72,44.55,11,19,17
17,170,128,15841.85,4278.63,89.11,12,19,17
17,170,128,16810.33,4095.85,176.66,10,21,19
17,170,128,16812.99,4095.85,176.66,10,20,19
17,170,129,13125.73,5703.62,154.62,11,20,17
17,170,129,13125.73,5840.56,154.62,11,20,16
17,170,129,13146.36,6145.81,59.94,11,17,19
17,170,129,13150.13,5625.16,154.62,11,20,17
17,170,129,13151.24,5518.59,154.62,11,20,17
17,170,129,13488.21,5794.51,98.64,11,20,17
17,170,129,13536.87,6108.67,94.2,11,20,17
17,170,129,13617.68,5625.31,199.17,11,18,17
17,170,129,13656.56,6521.25,59.94,10,19,18
17,170,129,13837.81,6265.3,154.62,11,18,16
17,170,129,14153.93,6167.98,154.62,11,18,16
17,170,129,14294.65,6244.82,94.2,12,18,15
17,170,129,14455.61,6192.19,94.2,12,18,16
17,170,129,14946.52,4891.05,59.94,10,18,21
17,170,129,15841.85,4299.69,138.76,12,19,16
17,170,129,15865.55,4752.8,44.55,11,17,19
17,170,129,16055.99,4299.69,138.76,12,18,16
17,170,129,16595.84,4858.86,44.55,10,17,20
17,170,129,16693.65,4182.92,59.94,11,17,21
17,170,129,16724.72,3787.51,59.94,11,17,24
17,170,130,13111.98,5716.45,154.62,11,20,17
17,170,130,13149.53,6123.53,59.94,11,18,19
17,170,130,13729.85,6405.13,59.94,10,19,19
17,170,130,13729.85,6483.76,59.94,10,19,18
17,170,130,13835.95,6526.38,199.17,12,20,14
17,170,130,13873.74,6307.28,199.17,12,20,14
17,170,130,13932.23,6034.53,154.62,11,18,16
17,170,130,14455.61,6114.08,94.2,12,18,16
17,170,130,14944.6,5550.98,154.62,12,16,14
17,170,130,14969.47,4874.07,44.55,12,16,21
17,170,130,14977.12,5492.29,104.97,12,16,16
17,170,130,15059.94,5512.9,154.62,12,16,14
17,170,130,15206.33,4973.31,44.55,11,18,18
17,170,130,15228.27,4791.73,44.55,11,18,18
17,170,130,15290.11,4791.73,44.55,11,17,18
17,170,130,15292.16,4826.55,100.86,12,19,17
17,170,130,15475.97,4664.68,100.86,12,18,17
17,170,130,15490.94,4488.36,44.55,12,17,18
17,170,130,16508.1,4858.86,44.55,10,17,22
17,170,130,16513.48,4858.86,44.55,10,17,20
17,170,131,13149.53,5943.55,59.94,11,18,19
17,170,131,13151.24,5437.94,154.62,11,20,17
17,170,131,13522.76,6445.59,104.97,11,19,17
17,170,131,13637.25,6316.56,59.94,10,19,19
17,170,131,13798.17,6615.35,199.17,12,20,14
17,170,131,13820.44,6534.31,199.17,12,20,14
17,170,131,13827.46,6526.38,199.17,12,20,14
17,170,131,14401.16,6136.67,94.2,12,18,15
17,170,131,14624.83,6272.34,94.2,12,17,16
17,170,131,14648.74,5550.98,154.62,12,16,14
17,170,131,14701.11,5628.16,154.62,11,20,15
17,170,131,14736.24,5628.16,154.62,11,19,16
17,170,131,14777.17,5628.16,154.62,11,19,15
17,170,131,14935.02,5512.9,154.62,12,16,14
17,170,131,14969.47,4807.04,44.55,12,16,21
17,170,131,15076.22,5667.09,44.55,11,17,22
17,170,131,15113.85,5484.93,161.27,11,20,15
17,170,131,15174.66,5036.21,44.55,11,18,18
17,170,131,15212.73,5266.09,161.27,11,19,15
17,170,131,15260.15,4952.65,149.52,11,18,17
17,170,131,15264.36,5006.6,149.52,11,17,17
17,170,131,15315.22,5266.09,161.27,11,18,15
17,170,131,15481.44,5266.09,100.86,11,18,16
17,170,131,15792.54,4979.74,154.62,10,20,18
17,170,131,15928.06,4916.55,154.62,10,20,18
17,170,131,16056.5,4173.63,138.76,12,18,16
17,170,131,16224.54,4129.69,44.55,12,17,18
17,170,131,16313.5,3928.08,138.76,12,17,16
17,170,131,16334.99,3928.08,44.55,12,17,18
17,170,132,13208.95,5515.01,154.62,11,19,17
17,170,132,13494.72,6969.51,94.2,11,20,17
17,170,132,13618.61,6663.78,199.17,12,20,14
17,170,132,13761.76,6765.07,199.17,12,18,16
17,170,132,13786.13,6315.05,59.94,10,20,19
17,170,132,14091.98,6238.56,59.94,10,21,19
17,170,132,14322.17,5656.3,154.62,12,16,14
17,170,132,14338.78,5550.98,154.62,12,16,14
17,170,132,14662.07,5523.09,154.62,11,21,15
17,170,132,14744.49,5625.73,149.52,11,17,16
17,170,132,14824.88,5523.09,154.62,11,20,15
17,170,132,14898.61,5220.26,104.97,12,17,16
