Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
38,442,376,40087.56,16208.73,1924.32,22,50,82
38,442,377,39960.56,16246.46,1924.32,22,50,82
38,442,377,40130.8,16245.47,1872.15,22,50,82
38,442,378,33888.42,14149.83,1443.55,22,49,64
38,442,378,33896.05,14149.83,1417.68,22,49,63
38,442,378,37249.21,14247.52,1587.09,22,48,59
38,442,378,37449.56,14224.56,1440.74,22,49,59
38,442,379,33658.98,14069.19,1536.14,22,49,63
38,442,379,33765.96,14154.81,1525.94,22,49,63
38,442,379,33788.77,14280.69,1434.77,22,50,63
38,442,379,33847.88,14131.77,1525.94,22,49,63
38,442,379,33850.25,14323.08,1548.47,22,49,62
38,442,379,33898.83,14125.15,1525.94,22,49,63
38,442,379,33986.06,14323.08,1484.57,22,49,62
38,442,379,35472.43,13583.13,1560.72,22,50,62
38,442,379,37112.44,14391.19,1587.09,22,48,58
38,442,379,37123.17,14315.52,1587.09,22,49,58
38,442,379,37249.21,14301.23,1587.09,22,48,58
38,442,379,37257.45,14281.06,1567.35,22,48,58
38,442,379,37370.45,14212.66,1440.74,22,48,59
38,442,379,37370.45,14212.66,1521.74,22,48,58
38,442,379,37438.18,14286.6,1438.56,22,49,58
38,442,379,37438.18,14324.21,1392.58,22,49,58
38,442,379,37481.16,14117.74,1587.09,22,48,59
38,442,379,37542.8,14117.74,1587.09,22,48,58
38,442,379,37613.37,14117.74,1587.09,22,49,57
38,442,380,33555.44,14069.19,1560.22,22,49,63
38,442,380,33763.81,14487.93,1434.77,22,50,63
38,442,380,33771.6,14450.13,1422.08,22,50,63
38,442,380,33771.6,14450.13,1507.57,22,50,62
38,442,380,33771.6,14466.96,1422.08,22,50,62
38,442,380,33820.37,14492.39,1462.97,22,49,62
38,442,380,33830.88,14435.69,1548.47,22,49,62
38,442,380,33833.77,14478.5,1483.64,22,49,62
38,442,380,33845.84,14304.25,1548.47,22,49,62
38,442,380,33875.22,14168.31,1417.68,22,50,64
38,442,380,34525.44,14517.14,1560.0,21,49,61
38,442,380,34824.29,14195.31,1458.53,21,48,60
38,442,380,35010.69,15024.96,1499.21,22,47,64
38,442,380,35010.69,15047.28,1492.93,22,47,63
38,442,380,35143.35,14122.48,1458.53,21,48,60
38,442,380,35146.94,13593.39,1521.32,22,50,62
38,442,380,35202.06,13557.95,1521.32,22,50,62
38,442,380,37103.82,14211.64,1587.09,22,49,59
38,442,380,37119.75,14315.52,1587.09,22,49,58
38,442,380,37178.08,14267.64,1567.35,22,48,58
38,442,380,37223.17,14212.66,1521.74,22,48,58
38,442,380,37393.36,14223.35,1369.27,22,49,58
38,442,380,37434.4,14197.89,1450.27,22,49,57
38,442,380,37438.18,14140.96,1484.17,22,49,58
38,442,380,37484.06,13964.82,1405.29,22,49,61
38,442,380,37695.36,14151.5,1567.35,22,48,57
38,442,380,37729.53,14111.18,1587.09,22,49,57
38,442,381,33742.47,14363.19,1438.04,22,50,63
38,442,381,33745.72,14495.9,1483.64,22,50,62
38,442,381,33790.63,14444.63,1427.49,22,50,62
38,442,381,33816.08,14425.35,1483.64,22,50,62
38,442,381,33837.97,14508.94,1427.49,22,50,61
38,442,381,33886.8,14057.2,1560.22,22,49,63
38,442,381,34035.7,13936.93,1506.32,22,49,63
38,442,381,34068.0,14401.42,1350.48,22,50,64
38,442,381,34158.68,14363.19,1350.48,22,50,64
38,442,381,34525.44,14504.08,1560.0,21,49,61
38,442,381,34843.05,14019.3,1426.89,21,48,61
38,442,381,34898.69,14141.68,1458.53,21,48,60
38,442,381,34898.69,14141.68,1513.56,21,48,59
38,442,381,34971.6,15039.49,1489.06,22,47,64
38,442,381,35022.65,14122.48,1511.77,21,48,60
38,442,381,35027.12,14019.3,1511.77,21,48,60
38,442,381,35049.19,13956.87,1511.77,21,48,60
38,442,381,35081.47,14938.06,1308.6,22,48,68
38,442,381,35081.47,14938.06,1362.31,22,48,67
38,442,381,35103.35,14938.06,1308.6,22,47,68
38,442,381,35103.35,14938.06,1328.02,22,47,67
38,442,381,35106.37,15189.52,1414.33,22,47,65
38,442,381,35118.96,15033.64,1414.33,22,47,65
38,442,381,35163.33,15079.07,1400.86,22,47,66
38,442,381,35425.38,13557.01,1560.72,22,50,63
38,442,381,37389.14,14143.39,1484.17,22,49,58
38,442,381,37478.86,13964.82,1405.29,22,49,61
38,442,382,33837.97,14455.5,1427.49,22,50,61
38,442,382,33872.21,14444.63,1387.79,22,50,63
38,442,382,33891.34,14421.84,1389.42,22,50,64
38,442,382,33954.53,13966.81,1506.32,22,49,63
38,442,382,33962.6,14401.42,1350.48,22,50,64
38,442,382,34105.64,14518.86,1464.27,22,47,68
38,442,382,34154.37,14566.06,1443.64,22,47,69
38,442,382,34294.62,14517.14,1560.0,21,49,61
38,442,382,34478.67,14588.98,1545.88,21,49,61
38,442,382,34525.44,14414.64,1560.0,22,49,61
38,442,382,34603.25,14586.23,1521.7,22,47,66
38,442,382,34611.32,14455.98,1545.88,21,49,60
38,442,382,34791.3,14277.16,1513.56,21,48,59
38,442,382,34995.17,15107.9,1400.86,22,47,66
38,442,382,35051.09,15125.38,1389.61,22,48,66
38,442,382,35073.59,15125.38,1362.31,22,48,67
38,442,382,35079.71,15079.07,1400.86,22,47,66
38,442,382,35103.94,15043.94,1386.48,22,47,66
38,442,382,35163.33,14890.04,1328.02,22,47,67
38,442,382,35518.11,13557.01,1560.72,22,49,63
38,442,382,35571.45,13544.66,1515.11,22,49,64
38,442,382,35618.98,13378.15,1500.06,22,49,64
38,442,382,35618.98,13390.64,1552.23,22,49,63
38,442,382,35754.7,13584.9,1515.11,22,49,63
38,442,382,37289.15,14078.48,1486.3,22,49,60
38,442,382,37289.15,14108.77,1484.17,22,49,60
38,442,382,37314.67,14016.99,1484.17,22,49,60
38,442,382,37319.4,14201.78,1484.17,22,49,58
38,442,382,37340.68,14125.6,1484.17,22,49,58
38,442,382,37381.02,13958.5,1405.29,22,49,61
38,442,382,37531.68,14010.38,1486.3,22,49,60
38,442,383,33863.94,14468.88,1387.79,22,50,63
38,442,383,33891.34,14468.88,1335.61,22,50,64
38,442,383,34063.93,14589.58,1391.47,22,47,69
38,442,383,34079.27,14635.19,1391.47,22,47,68
38,442,383,34098.49,14518.86,1464.27,22,47,68
38,442,383,34105.64,14411.34,1464.27,22,47,68
38,442,383,34154.37,14554.9,1443.64,22,47,69
38,442,383,34155.58,14106.38,1272.3,22,48,64
38,442,383,34155.58,14170.09,1353.31,22,48,63
38,442,383,34187.11,14416.89,1450.93,22,47,69
38,442,383,34237.11,14106.38,1272.3,22,48,63
38,442,383,34237.11,14106.38,1327.33,22,48,62
38,442,383,34516.23,14450.29,1545.88,21,49,61
38,442,383,34539.93,14500.73,1531.67,21,49,62
38,442,383,34539.93,14560.26,1450.66,21,49,64
38,442,383,34539.93,14562.78,1450.66,21,49,63
38,442,383,34558.8,14455.98,1545.88,21,49,60
38,442,383,34580.0,14380.4,1545.88,21,48,60
38,442,383,34587.91,14586.23,1567.8,22,47,65
38,442,383,34605.09,13909.85,1306.18,21,48,62
38,442,383,34614.61,13814.04,1232.36,21,49,63
38,442,383,34614.61,13814.04,1306.18,21,49,62
38,442,383,34655.67,14277.16,1473.86,21,48,60
38,442,383,34655.67,14340.41,1461.01,21,48,60
38,442,383,34752.65,13814.04,1306.18,21,48,62
38,442,383,34843.05,13862.81,1387.19,21,48,61
38,442,383,34956.3,15037.76,1408.06,22,47,66
38,442,383,35044.0,14974.35,1489.06,22,47,64
38,442,383,35044.4,15033.64,1414.33,22,47,65
38,442,383,35052.53,14942.56,1489.06,22,47,64
38,442,383,35090.2,15043.94,1386.48,22,47,66
38,442,383,35103.94,14879.3,1365.89,22,47,67
38,442,383,35103.94,14879.3,1386.48,22,47,66
38,442,383,35516.87,13341.15,1500.06,22,49,64
38,442,383,35560.59,13536.0,1515.11,22,49,63
38,442,383,37416.92,14009.27,1405.29,22,49,60
38,442,383,37585.94,13801.91,1529.78,22,49,59
38,442,383,37603.78,13910.59,1341.33,22,49,60
38,442,383,37646.71,13792.96,1329.9,22,49,60
38,442,383,37646.71,13801.91,1277.97,22,49,60
38,442,384,32780.87,14243.87,1160.5,22,50,64
38,442,384,32826.77,14392.34,1228.55,22,49,60
38,442,384,32887.06,14287.95,1154.46,22,49,63
38,442,384,33121.58,14092.03,1260.13,22,48,62
38,442,384,33142.78,14159.15,1345.62,22,48,61
38,442,384,33153.76,14496.33,1228.55,22,48,60
38,442,384,33904.34,14461.67,1457.73,22,47,70
38,442,384,34035.7,13909.35,1506.32,22,49,63
38,442,384,34077.11,14452.73,1464.27,22,47,68
38,442,384,34110.0,14355.47,1443.64,22,47,69
38,442,384,34128.05,13829.54,1420.83,22,49,64
38,442,384,34155.58,13998.82,1353.31,22,48,63
38,442,384,34208.78,14050.34,1167.53,22,48,64
38,442,384,34244.53,14202.44,1450.93,22,47,68
38,442,384,34294.62,14552.54,1526.61,21,49,61
38,442,384,34326.9,14196.38,1450.93,22,47,69
38,442,384,34349.59,14586.23,1567.8,22,47,65
38,442,384,34393.23,14616.5,1450.66,21,49,64
38,442,384,34395.47,13670.16,1317.24,22,49,63
38,442,384,34414.06,13749.85,1250.27,22,49,64
38,442,384,34518.71,13793.16,1317.24,21,49,63
38,442,384,34580.0,14314.91,1545.88,21,48,60
38,442,384,34580.0,14338.32,1461.01,21,48,60
38,442,384,34686.62,13862.81,1387.19,21,48,61
38,442,384,34782.23,14939.12,1438.72,22,47,67
38,442,384,34782.23,14955.88,1438.72,22,47,66
38,442,384,34956.3,14973.27,1408.06,22,47,66
38,442,384,34962.08,14974.35,1408.06,22,47,65
38,442,384,35000.23,14974.35,1489.06,22,47,64
38,442,384,35026.28,14879.3,1365.89,22,47,67
38,442,384,35482.47,12989.48,1468.73,22,49,64
38,442,384,35518.11,13554.45,1560.72,22,49,63
38,442,384,35536.69,12989.48,1468.73,22,49,63
38,442,384,35566.31,13172.73,1460.67,22,49,63
38,442,384,37368.35,13807.49,1326.74,22,49,61
38,442,384,37416.92,13882.22,1326.74,22,49,60
38,442,384,37422.82,13930.8,1320.74,22,49,61
38,442,384,37430.71,13783.14,1320.74,22,49,61
38,442,384,37477.41,13732.28,1320.74,22,49,61
38,442,384,37487.01,13730.25,1326.74,22,49,60
38,442,384,37585.94,13735.69,1529.78,22,49,59
38,442,384,37603.78,13785.77,1250.12,22,49,60
38,442,384,37664.83,13755.62,1444.9,22,49,59
38,442,384,37749.21,13752.61,1459.77,22,49,59
38,442,385,32681.46,14243.87,1160.5,22,50,65
38,442,385,32695.09,14303.0,1241.5,22,50,63
38,442,385,32742.6,14275.68,1160.5,22,50,64
38,442,385,32742.6,14275.68,1241.5,22,50,63
38,442,385,32743.37,14427.07,1250.49,22,50,62
38,442,385,32796.06,14470.28,1200.07,22,49,61
38,442,385,32809.86,14287.95,1154.46,22,49,63
38,442,385,32897.88,14278.06,1263.96,22,49,60
38,442,385,32897.88,14392.34,1218.35,22,49,60
38,442,385,32946.9,14407.98,1228.55,22,49,59
38,442,385,32992.37,14275.11,1280.72,22,49,61
38,442,385,32998.21,14275.11,1280.72,22,48,61
38,442,385,33006.63,14226.48,1260.13,22,48,62
38,442,385,33021.11,14483.33,1228.55,22,48,60
38,442,385,33904.34,14325.5,1457.73,22,47,70
38,442,385,33960.43,14391.98,1372.85,22,47,69
38,442,385,34035.05,14348.76,1372.85,22,47,69
38,442,385,34105.21,13954.21,1420.83,22,49,64
38,442,385,34150.21,14126.6,1167.53,22,48,64
38,442,385,34180.76,14589.97,1450.66,21,49,62
38,442,385,34182.42,14474.86,1391.65,22,50,58
38,442,385,34188.63,13946.28,1405.62,22,48,63
38,442,385,34188.63,14030.81,1405.62,22,48,62
38,442,385,34196.52,14548.56,1572.21,21,49,61
38,442,385,34244.53,14196.38,1450.93,22,47,69
38,442,385,34248.92,14586.23,1567.8,22,47,65
38,442,385,34264.21,14465.26,1567.8,22,47,65
38,442,385,34293.87,13749.85,1250.27,22,49,64
38,442,385,34310.43,14355.47,1443.64,22,47,68
38,442,385,34316.86,13715.3,1337.83,22,49,63
38,442,385,34328.01,14202.44,1437.87,22,47,68
38,442,385,34343.25,14030.81,1320.13,22,48,63
38,442,385,34453.8,14030.81,1248.54,22,48,64
38,442,385,34608.11,14868.87,1438.72,22,47,66
38,442,385,34723.04,14698.16,1444.47,22,47,66
38,442,385,34723.04,14698.16,1457.81,22,47,65
38,442,385,34823.36,14867.0,1438.72,22,47,66
38,442,385,35439.12,13415.23,1515.11,22,49,64
38,442,385,35518.11,13477.57,1560.72,22,49,63
38,442,385,35719.81,13936.4,1628.33,22,50,59
38,442,385,37648.71,13792.06,1404.74,22,49,59
38,442,385,37724.64,13872.83,1311.78,22,48,60
38,442,386,32666.51,14390.6,1320.96,22,50,62
38,442,386,32681.46,14209.16,1160.5,22,50,65
38,442,386,32707.22,14417.8,1235.47,22,49,63
38,442,386,32707.22,14417.8,1320.96,22,49,62
38,442,386,32709.85,14336.54,1160.5,22,50,64
38,442,386,32926.52,14371.23,1154.46,22,49,62
38,442,386,33904.34,14340.72,1457.73,22,47,69
38,442,386,33970.25,14313.77,1444.44,22,47,69
38,442,386,33991.84,14257.98,1444.44,22,47,69
38,442,386,34167.44,14507.91,1567.8,22,47,65
38,442,386,34171.4,14474.86,1391.65,22,49,58
38,442,386,34171.7,14202.44,1437.87,22,47,68
38,442,386,34180.04,14583.27,1450.66,21,49,62
38,442,386,34207.23,14245.49,1392.27,22,47,69
38,442,386,34293.87,13717.0,1250.27,22,49,64
38,442,386,34297.26,13767.98,1498.23,22,49,58
38,442,386,34297.26,13767.98,1544.33,22,49,57
38,442,386,34353.68,13700.07,1337.83,22,49,63
38,442,386,34390.98,13602.07,1250.27,22,49,64
38,442,386,34394.32,14023.65,1248.54,22,48,64
38,442,386,34429.68,13599.5,1458.53,22,49,59
38,442,386,34451.2,14343.21,1121.1,22,48,73
38,442,386,34462.62,13744.4,1250.27,22,50,63
38,442,386,34516.52,13727.64,1250.27,22,50,63
38,442,386,34652.45,14847.46,1438.72,22,47,66
38,442,386,34670.31,13569.18,1458.53,22,49,59
38,442,386,34670.6,14735.02,1457.81,22,47,65
38,442,386,35320.03,13505.86,1576.21,22,50,63
38,442,386,35337.9,13468.74,1576.21,22,50,63
38,442,386,35356.32,13505.86,1509.25,22,50,63
38,442,386,35413.91,13477.57,1515.11,22,49,64
38,442,386,35456.13,13468.74,1576.21,22,50,62
38,442,386,35580.75,13498.7,1576.21,22,49,62
38,442,386,35635.12,13453.09,1576.21,22,49,62
38,442,386,37322.4,13720.64,1420.53,22,48,58
38,442,386,37351.97,13687.96,1420.53,22,48,58
38,442,386,37447.99,13872.83,1415.07,22,49,60
38,442,386,37498.85,13785.48,1334.07,22,49,59
38,442,386,37532.4,13653.28,1334.07,22,48,59
38,442,387,32633.15,14390.6,1320.96,22,50,62
38,442,387,33174.52,15331.91,1567.96,22,50,58
38,442,387,33883.35,14340.72,1457.73,22,47,69
38,442,387,33926.34,14257.98,1444.44,22,47,69
38,442,387,33936.92,14256.79,1457.73,22,47,69
38,442,387,34140.21,14532.34,1533.38,21,49,62
38,442,387,34140.21,14532.34,1614.38,21,49,61
38,442,387,34140.21,14615.77,1496.27,21,49,62
38,442,387,34146.53,14588.99,1572.21,21,49,61
38,442,387,34157.94,13928.21,1532.48,22,50,55
38,442,387,34164.13,14410.51,1614.38,21,49,61
38,442,387,34166.15,14588.99,1559.36,21,49,61
38,442,387,34282.07,14540.72,1445.3,22,50,57
38,442,387,34311.6,14507.2,1445.3,22,50,57
38,442,387,34366.58,14431.88,1391.65,22,49,58
38,442,387,34407.42,14361.36,1121.1,22,48,73
38,442,387,34429.68,13730.44,1498.23,22,49,58
38,442,387,34451.2,14323.46,1121.1,22,48,73
38,442,387,34515.6,14429.6,1445.3,22,50,57
38,442,387,34652.45,14735.02,1517.27,22,47,66
38,442,387,34670.31,13556.68,1458.53,22,49,59
38,442,387,34692.01,13436.59,1458.53,22,49,60
38,442,387,34692.01,13536.02,1458.53,22,49,59
38,442,387,34692.05,14619.42,1121.1,22,48,72
38,442,387,35538.33,13508.38,1429.99,22,51,70
38,442,387,35558.19,13516.32,1345.11,22,51,70
38,442,387,35584.21,13379.54,1321.94,22,51,72
38,442,387,35928.1,13637.92,1417.56,22,50,61
38,442,387,37070.18,13625.39,1488.28,21,49,64
38,442,387,37233.3,13780.67,1420.53,22,48,58
38,442,387,37237.0,13633.27,1424.39,21,49,65
38,442,388,32926.52,14252.94,1154.46,22,49,62
38,442,388,33108.05,15312.52,1567.96,22,50,58
38,442,388,33156.28,15053.36,1424.12,22,49,58
38,442,388,34023.16,14686.4,1650.4,22,47,68
38,442,388,34043.68,14409.28,1614.38,21,49,61
38,442,388,34058.77,14409.28,1614.38,21,49,60
38,442,388,34058.77,14588.99,1559.36,21,49,60
38,442,388,34059.43,13919.05,1532.48,22,49,55
38,442,388,34090.76,14569.62,1208.25,22,48,62
38,442,388,34109.17,14402.08,1614.38,21,49,61
38,442,388,34109.86,14447.56,1487.16,22,50,56
38,442,388,34138.42,13880.38,1532.48,22,50,55
38,442,388,34146.83,14563.38,1375.87,22,49,58
38,442,388,34164.13,14354.2,1614.38,21,49,61
38,442,388,34201.8,14534.18,1447.46,22,49,56
38,442,388,34205.42,14531.54,1447.46,22,49,57
38,442,388,34216.98,14534.18,1487.16,22,49,55
38,442,388,34224.81,14488.07,1375.87,22,49,58
38,442,388,34230.49,14410.81,1431.95,22,49,58
38,442,388,34297.26,13905.94,1544.33,22,49,56
38,442,388,34305.41,13436.59,1458.53,22,49,59
38,442,388,34312.67,14447.56,1487.16,22,49,56
38,442,388,34339.86,14507.2,1445.3,22,49,57
38,442,388,34355.89,13745.24,1269.69,22,50,63
38,442,388,34378.18,13745.24,1250.27,22,50,63
38,442,388,34501.55,14429.6,1445.3,22,50,57
38,442,388,34510.4,14746.47,1121.1,22,48,72
38,442,388,34534.35,13789.19,1087.41,22,50,63
38,442,388,34574.98,14723.93,1121.1,22,48,72
38,442,388,34656.9,14595.99,1121.1,22,48,72
38,442,388,34840.43,13717.58,1227.93,22,50,72
38,442,388,35299.01,13379.54,1321.94,22,51,72
38,442,388,35377.32,14721.09,1063.82,22,49,76
38,442,388,35457.62,13846.79,1385.95,22,49,61
38,442,388,35535.96,13805.48,1385.95,22,49,61
38,442,388,35559.61,13514.7,1324.52,22,51,71
38,442,388,35816.65,13606.29,1385.95,22,49,61
38,442,388,35928.1,13583.82,1380.44,22,50,61
38,442,388,35928.1,13606.29,1328.27,22,50,62
38,442,388,36889.57,13622.94,1488.28,21,49,64
38,442,388,37081.25,14301.24,1274.91,22,47,58
