Instance,Algorithm,Improvement_Time,DCI,Distribution Metric (DM),Hypevolume (Monte Carlo),PCI,PF-Share,Spacing,Spread
a3_o80_m10_an10_ar9_reduced,PSA,285.93,0.24444444444444444,0.7952408466075619,0.16180666733998997,0.35704803053908574,5.633802816901409,0.15511537172521903,0.4959589540820861
a3_o80_m10_an10_ar9_reduced,DBSA,52.25,0.8666666666666668,0.2558133208373717,0.38999995568244594,0.10621197981289966,71.83098591549296,0.05965515140551984,0.5297474091671992
a3_o80_m10_an10_ar9_reduced,TPSA,99.92,0.6722222222222222,0.25745822747620256,0.30298545050544107,0.138281008245024,22.535211267605636,0.10689328798290235,0.7085706382545153
a5_o96_m10_an10_ar10_reduced,PSA,214.44,0.44666666666666677,0.27307683924510323,0.20777983123833854,0.2643257519351908,12.048192771084338,0.08376421683353868,0.5837688072825555
a5_o96_m10_an10_ar10_reduced,DBSA,45.64,0.8377777777777777,0.1707881873000391,0.3729422822304234,0.13898715632469863,73.49397590361446,0.04625638610073002,0.5219440168087998
a5_o96_m10_an10_ar10_reduced,TPSA,74.02,0.6488888888888886,0.24909791094957348,0.13749063755420296,0.32888565006446013,14.457831325301203,0.10810135668466814,0.6666666666666667
a10_o107_m5_an57_ar12,PSA,183.32,0.19005847953216373,1.5844513037182137,0.560083507940702,0.10624242085518941,15.384615384615385,0.07035109198791911,0.3273509812166067
a10_o107_m5_an57_ar12,DBSA,50.59,0.7309941520467835,0.19671144991463976,0.2736303845647511,0.36593512048417565,55.38461538461539,0.041571010438053606,0.4944804583950489
a10_o107_m5_an57_ar12,TPSA,61.83,0.7076023391812865,0.18464017647120348,0.22277900481431562,0.28689237476564716,29.230769230769234,0.04981192532262812,0.7142857142857143
a10_o114_m6_an57_ar11,PSA,278.88,0.2689393939393939,1.1983650086135467,0.5390803763929257,0.06485752471051222,25.384615384615383,0.17443184762749375,0.7202280607352952
a10_o114_m6_an57_ar11,DBSA,51.08,0.7518939393939394,0.15167336139068402,0.28235756633090214,0.16576922125108512,53.84615384615385,0.07177456259622025,0.8583144681072982
a10_o114_m6_an57_ar11,TPSA,70.18,0.4356060606060606,0.22026854542379093,0.22223221578474103,0.24518615160144527,20.76923076923077,0.07486105363043236,0.954375694235834
a10_o128_m6_an51_ar13,PSA,207.41,0.49362244897959184,0.3832016837226539,0.00534995540701398,0.1758909696989426,30.89005235602094,0.08036626670316563,0.9187738602553667
a10_o128_m6_an51_ar13,DBSA,46.91,0.7423469387755102,0.2714827706154607,0.004910379912650106,0.25989368890417414,57.06806282722513,0.04622685441797513,0.8374328894934138
a10_o128_m6_an51_ar13,TPSA,69.5,0.17091836734693877,0.2639733293787355,0.0020370571690033193,0.5135223084308292,12.041884816753926,0.08132548389098766,0.9737385697215817
a10_o144_m6_an53_ar12,PSA,170.56,0.7474747474747476,0.3508034784407622,0.48349015838617726,0.10373160078946876,36.19047619047619,0.059441884987155004,0.49313975848776426
a10_o144_m6_an53_ar12,DBSA,38.29,0.6902356902356903,0.15051654366615122,0.4452899757906045,0.2889708214015354,36.19047619047619,0.045304275183265026,0.5739809091829982
