Instance,Method,Runtime,Construction Fulfillment,Driver Violation,Commute Distance,Transport Distance,Machine Count,Worker Count,Gap (%)
a3_o80,costs,51,3,40,4635.6,70.6,2,6,-
a3_o80,weighted,13,2,8,2697.7,29.7,2,5,-
a3_o80,hierarchical,22,3,38,3844.7,917.4,2,8,-
a3_o80,tolerance,5,3,46,3811.4,99.2,2,8,-
a5_o96,costs,2,5,10,6432.3,95.9,4,8,-
a5_o96,weighted,4,5,1,6242.4,122.3,5,9,-
a5_o96,hierarchical,21,5,1,6109.3,191.7,6,9,-
a5_o96,tolerance,180,5,11,5706.3,26.4,6,9*,11.1
a10_o107,costs,1,9,22,3844.8,358.2,4,7,-
a10_o107,weighted,52,9,2,5632.6,296.2,5,8,-
a10_o107,hierarchical,155,9,2,5018.2,642.7,5,9,-
a10_o107,tolerance,180,9,12,4246.1,231.2,5,8*,12.5
a10_o114,costs,16,9,28,5031.1,266.3,5,8,-
a10_o114,weighted,180,9,6,7723.6,372.2,5,8,5.2
a10_o114,hierarchical,180,9,5,6831.5,1367.5*,6,8,89.2
a10_o114,tolerance,180,9,15,6402.2,330.3*,6,8,83.2
a10_o128,costs,181,8,18,6619.0,449.2,4,6,0.1
a10_o128,weighted,180,8,0,6628.5,359.7,5,7,0.8
a10_o128,hierarchical,81,8,0,6057.5,673.4,6,7,-
a10_o128,tolerance,180,8,10,5478.7,183.8*,6,9,34.4
a10_o144,costs,2,6,11,4332.0,101.1,4,5,-
a10_o144,weighted,60,6,2,3944.5,75.9,5,7,-
a10_o144,hierarchical,180,6,1,4448.4,373.2,6*,7,33.3
a10_o144,tolerance,12,6,10,3404.4,0.0,6,8,-
a15_o170,costs,180,15,64,13249.9,426.5,8,14,0.0
a15_o170,weighted,180,14,2,10412.4,413.9,8,13,11.3
a15_o170,hierarchical,180,15,34*,20084.1,5827.5,9,18,100.0
a15_o170,tolerance,180,15,34*,20084.1,5827.5,9,18,100.0
a20_o236,costs,180,16,83,8561.7,525.8,5,12,11.3
a20_o236,weighted,180,14,9,7354.8,529.5,6,11,37.8
a20_o236,hierarchical,180,17,76*,16667.5,5546.0,12,19,100.0
a20_o236,tolerance,180,17,76*,16667.5,5546.0,12,19,100.0
a25_o306,costs,180,18,47,6767.0,478.8,7,14,25.0
a25_o306,weighted,180,16,9,6061.4,428.3,7,14,47.9
a25_o306,hierarchical,180,22,141*,22226.9,9319.6,13,28,99.3
a25_o306,tolerance,180,22,141*,22226.9,9319.6,13,28,99.3
a30_o355,costs,180,20,37,9960.4,1048.4,6,13,49.9
a30_o355,weighted,180,14,12,5886.8,176.4,7,10,134.7
a30_o355,hierarchical,180,23*,355,19682.7,6787.1,17,39,30.4
a30_o355,tolerance,180,23*,355,19682.7,6787.1,17,39,30.4
a40_o476,costs,186,-,-,-,-,-,-,-
a40_o476,weighted,180,1,5,429.1,0.0,1,2,13120.9
a40_o476,hierarchical,180,26*,442,20200.7,8101.3,22,33,46.1
a40_o476,tolerance,180,26*,442,20200.7,8101.3,22,33,46.1
a50_o578,costs,180,-,-,-,-,-,-,-
a50_o578,weighted,180,-,-,-,-,-,-,-
a50_o578,hierarchical,180,-,-,-,-,-,-,-
a50_o578,tolerance,180,-,-,-,-,-,-,-
