Instance,Algorithm,Improvement_Time,DCI,Distribution Metric (DM),Hypevolume (Monte Carlo),PCI,PF-Share,Spacing,Spread
a10_o107_m5_an57_ar12,DbSA,163.4975,0.6946960547504025,0.19510816573742518,0.3470046477245746,0.26853188724955895,31.928546038390763,0.0334203195985659,0.49653473106937124
a10_o107_m5_an57_ar12,PSA,162.78,0.3889870071935289,1.0964030193960626,0.2611346470359439,0.26495806538258804,9.513162329392863,0.06964518113371668,0.42405511316094496
a10_o107_m5_an57_ar12,TPSA,182.38,0.8874097311597312,0.1778792435167894,0.36979556497198934,0.11751486822734725,58.558291632216374,0.043532142651524074,0.7016725081449411
a10_o114_m6_an57_ar11,DbSA,290.8775,0.8304783280070269,0.18255903848890845,0.3813960694817872,0.12578997185754665,51.21414756565312,0.058972470881944926,0.757372263456523
a10_o114_m6_an57_ar11,PSA,310.7075,0.40922696430907524,1.0253911527462476,0.36743150652059337,0.16368591620943929,11.06211372856323,0.1291627619108102,0.7289489766391464
a10_o114_m6_an57_ar11,TPSA,327.875,0.664062967219855,0.14228468919188858,0.3415447984439696,0.2151996603731538,37.723738705783646,0.0659968993701832,0.9795183242158866
a10_o128_m6_an51_ar13,DbSA,238.8,0.8116054532779625,0.24334819979656788,0.0054491279270838505,0.2361775790880408,55.63209024818879,0.04889944397519355,0.8092055963898139
a10_o128_m6_an51_ar13,PSA,202.03,0.2728502892220035,0.8920010468093467,0.004604821337299575,0.2068632999761024,7.707653578733755,0.13514932361858328,0.8224431303921188
a10_o128_m6_an51_ar13,TPSA,270.885,0.7153780111673269,0.1716633323306313,0.004988109725677825,0.1978255033898944,36.66025617307746,0.04290547143602215,0.9696899132212151
a10_o144_m6_an53_ar12,DbSA,153.95749999999998,0.6040634722621854,0.2886732835740504,0.4853154688231395,0.2425772816905396,32.53182311146953,0.05793258379572343,0.5076357690303932
a10_o144_m6_an53_ar12,PSA,167.98,0.5750447061822623,0.37295352886258826,0.45536536776203007,0.18836809036009394,22.46424813998958,0.093034546820651,0.55217968733326
a10_o144_m6_an53_ar12,TPSA,197.2125,0.7886748176837507,0.1530521948914764,0.5325778754823967,0.10340114825267807,45.00392874854089,0.0593178039562929,0.6682346923167217
a15_o170_m9_an80_ar18,DbSA,444.7825,0.8228835572585572,0.1185430762080881,0.0376801969498008,0.23725317589540246,50.38120431128462,0.028559841964850452,0.6941372662812662
a15_o170_m9_an80_ar18,PSA,399.75,0.4547096203346203,0.28037312848975265,0.0536201692972518,0.2232380178119579,12.396397667824573,0.048472174965278225,0.7638888337207362
a15_o170_m9_an80_ar18,TPSA,474.1775,0.835769088894089,0.09934274320270585,0.028636735254778174,0.16857419716611705,37.22239802089081,0.03382063901422028,0.9455428008084269
a20_o236_m12_an106_ar24,DbSA,648.65,0.8292007808878855,0.0927475146299166,0.029481041844562475,0.2141704355818369,39.29170035297852,0.042140509525974854,0.6762460577084775
a20_o236_m12_an106_ar24,PSA,601.41,0.6630806512134593,0.1256785768064253,0.052312164167681224,0.140294957819205,19.121687913572476,0.05416596407336988,0.7747440255034768
a20_o236_m12_an106_ar24,TPSA,687.675,0.8492381895995067,0.07025477654301582,0.06558251948838575,0.13532390130530264,41.586611733449004,0.048030412325412775,0.9400708245666367
a25_o306_m13_an127_ar31,DbSA,756.785,0.7888176373375352,0.1150389771527162,0.007504947464749025,0.3194010599990023,31.36880972628147,0.029626045755995374,0.5982541480520347
a25_o306_m13_an127_ar31,PSA,836.4625,0.6662367038520612,0.1204556922790706,0.018151251511171626,0.18179749808598045,19.956136696224785,0.03579439691004142,0.664176851960433
a25_o306_m13_an127_ar31,TPSA,702.96,0.8736398674584421,0.0710268896249393,0.02130064910798595,0.14046868875959534,48.67505357749374,0.03249044732163317,0.9044135889934125
a30_o355_m18_an148_ar42,DbSA,866.365,0.7514317025954481,0.1350892876581561,0.00787483416122595,0.2649414792793364,37.758151392737446,0.026550621452012625,0.5969527347889299
a30_o355_m18_an148_ar42,PSA,878.875,0.6282963953509108,0.17191206257941466,0.0127664517052142,0.1845929652775358,15.356157783856887,0.03704295032948968,0.6720086062558774
a30_o355_m18_an148_ar42,TPSA,923.8525,0.8640655777562045,0.08396973185402348,0.012267908766484426,0.12757123971118633,46.88569082340566,0.03568898325381,0.9564640844180374
a3_o80_m10_an10_ar9_reduced,DbSA,241.31,0.7445570785392828,0.2308041071346392,0.4546148730155552,0.24092337363759644,46.95215202452791,0.04727422685295925,0.5537048492097059
a3_o80_m10_an10_ar9_reduced,PSA,256.3975,0.3200971086858442,0.7204112304134358,0.39180650375074627,0.2774253667011165,9.078855181603334,0.10928458263102363,0.5100645824740876
a3_o80_m10_an10_ar9_reduced,TPSA,292.635,0.7700181813884188,0.2015293429334018,0.519165462227538,0.12245022640881735,43.96899279386875,0.06078613289871007,0.6663277253322948
a40_o476_m22_an215_ar51,DbSA,1316.7425,0.5854519239113185,0.2014430255835961,0.0008255442211223499,0.4312786555860749,37.80127969676729,0.0104574350143307,0.3543327769224108
a40_o476_m22_an215_ar51,PSA,1644.7825,0.6215041304054558,0.1636981989269211,0.00048246090844813766,0.3668251782032599,25.646571229235658,0.0135065752514351,0.5635780707957362
