Instance,Objective Value,Order Count,Runtime (s),Status,Gap,Order Item Count,Driver Violation,Commute Distance,Transport Distance,Attachment Distance,Machine Count,Worker Count,Attachment Count
a3_o80_m10_an10_ar9_reduced,-3.0,3.0,763.420000076294,2,0,80,38,4027.106690619101,344.31473603167194,0.0,2,8,2
a5_o96_m10_an10_ar10_reduced,-5.0,5.0,593.0040001869202,2,0,96,1,6119.161494147699,122.26373507702536,29.732137494637012,6,9,4
a10_o107_m5_an57_ar12,-9.0,9.0,2415.184000015259,2,0,67,2,5102.257914913842,445.26862630695626,13.416407864998739,5,8,8
a10_o114_m6_an57_ar11,-9.0,9.0,10800.976000070572,9,0,84,5,7128.565448409325,562.4192502694781,0.0,6,9,9
a10_o128_m6_an51_ar13,-8.0,8.0,6825.775000095367,2,0,90,0,6237.483024911939,441.6917826012639,0.0,6,8,6
a10_o144_m6_an53_ar12,-6.0,6.0,1745.9029998779297,2,0,46,1,4497.683330099093,183.07585724640896,0.0,6,7,0
a15_o170_m9_an80_ar18,-15.0,15.0,10801.483000040054,9,0,170,27,20801.90762089947,5466.267279783193,731.9305300393851,9,17,19
a20_o236_m12_an106_ar24,-17.0,17.0,10800.713999986649,9,0,156,72,16866.832107279417,5824.8266584204575,44.553338819890925,12,18,20
a25_o306_m13_an127_ar31,-22.0,22.0,10807.210999965668,9,0,224,161,24261.288227848218,9298.228650343432,288.1149272480113,13,29,22
a30_o355_m18_an148_ar42,-30.0,30.0,10801.868999958038,9,0,355,274,38237.937359222175,12235.826802806385,164.3920624470697,17,39,21
