Instance,Objective Value,Order Count,Runtime (s),Status,Gap,Order Item Count,Driver Violation,Commute Distance,Transport Distance,Attachment Distance,Machine Count,Worker Count,Attachment Count
a3_o80_m10_an10_ar9_reduced,3.0,3.0,2.5149998664855957,2,0,80,70,6750.165375701865,1358.3863681897574,0.0,2,9,2
a5_o96_m10_an10_ar10_reduced,5.0,5.0,6.496999979019165,2,0,96,66,7712.665040739957,313.98969010129974,29.732137494637012,6,10,4
a10_o107_m5_an57_ar12,9.0,9.0,12.07200002670288,2,0,67,53,7068.538524723931,2272.586465911994,13.416407864998739,5,12,8
a10_o114_m6_an57_ar11,9.0,9.0,6.9079999923706055,2,0,84,72,8684.961354906249,1840.8899404980973,204.49253224125516,6,11,15
a10_o128_m6_an51_ar13,8.0,8.0,10.235000133514404,2,0,90,67,9202.019453377763,2316.7413882756005,0.0,6,13,6
a10_o144_m6_an53_ar12,6.0,6.0,17.078999996185303,2,0,46,36,6007.543828582602,1508.8542373855962,0.0,6,8,0
a15_o170_m9_an80_ar18,15.0,15.0,22.671000003814697,2,0,170,142,19288.90965700985,6203.286911014467,885.2537181095528,9,18,19
a20_o236_m12_an106_ar24,17.0,17.0,438.2660000324249,2,0,170,151,17075.959197919994,6871.876627426893,199.17067385698036,12,16,19
a25_o306_m13_an127_ar31,22.0,22.0,4365.436999797821,2,0,234,224,25269.80727919632,10265.118218270476,248.7921119539689,13,27,21
a30_o355_m18_an148_ar42,30.0,30.0,6327.848999977112,2,0,355,321,38041.767485754266,13361.530873127465,164.3920624470697,17,36,23
