Instance,BoundTime,Runtime,ObjValue,BestOrders,OrderCount
a3_o80_m10_an10_ar9_reduced,2.07,0.28,3.0,"[0, 1, 2]",3
a5_o96_m10_an10_ar10_reduced,3.02,0.41,5.0,"[0, 1, 2, 3, 4]",5
a10_o107_m5_an57_ar12,3.26,0.58,9.5,"[0, 1, 2, 3, 4, 5, 6, 8, 9]",9
a10_o114_m6_an57_ar11,3.56,0.43,9.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",9
a10_o128_m6_an51_ar13,4.65,0.62,8.5,"[0, 2, 3, 4, 5, 6, 8, 9]",8
a10_o144_m6_an53_ar12,5.97,1.19,6.500000000000001,"[2, 3, 4, 7, 8, 9]",6
a15_o170_m9_an80_ar18,11.96,1.81,15.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",15
a20_o236_m12_an106_ar24,31.68,5.46,17.090909090909093,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19]",17
a25_o306_m13_an127_ar31,64.58,9.04,22.500000000000043,"[0, 1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24]",22
a30_o355_m18_an148_ar42,119.77,14.87,30.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",30
a40_o476_m22_an215_ar51,226.55,28.69,38.0,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",38
a50_o578_m28_an276_ar66,475.32,65.73,47.88068181818183,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 49]",47
