Instance,Method,Runtime,Construction Fulfillment,Driver Violation,Commute Distance,Transport Distance,Machine Count,Worker Count,Gap (%)
a3_o80,costs,51,3,40,4635.6,70.6,2,6,-
a3_o80,weighted,13,2,8,2697.7,29.7,2,5,-
a3_o80,hierarchical,22,3,38,3844.7,917.4,2,8,-
a3_o80,tolerance,5,3,46,3811.4,99.2,2,8,-
a5_o96,costs,2,5,10,6432.3,95.9,4,8,-
a5_o96,weighted,4,5,1,6242.4,122.3,5,9,-
a5_o96,hierarchical,21,5,1,6109.3,191.7,6,9,-
a5_o96,tolerance,180,5,11,5706.3,26.4,6,9*,11.1
a10_o107,costs,1,9,22,3844.8,358.2,4,7,-
a10_o107,weighted,52,9,2,5632.6,296.2,5,8,-
a10_o107,hierarchical,155,9,2,5018.2,642.7,5,9,-
a10_o107,tolerance,180,9,12,4246.1,231.2,5,8*,12.5
a10_o114,costs,16,9,28,5031.1,266.3,5,8,-
a10_o114,weighted,180,9,6,7723.6,372.2,5,8,5.2
a10_o114,hierarchical,180,9,5,6831.5,1367.5*,6,8,89.2
a10_o114,tolerance,180,9,15,6402.2,330.3*,6,8,83.2
a10_o128,costs,181,8,18,6619.0,449.2,4,6,0.1
a10_o128,weighted,180,8,0,6628.5,359.7,5,7,0.8
a10_o128,hierarchical,81,8,0,6057.5,673.4,6,7,-
a10_o128,tolerance,180,8,10,5478.7,183.8*,6,9,34.4
a10_o144,costs,2,6,11,4332.0,101.1,4,5,-
a10_o144,weighted,60,6,2,3944.5,75.9,5,7,-
a10_o144,hierarchical,180,6,1,4448.4,373.2,6*,7,33.3
a10_o144,tolerance,12,6,10,3404.4,0.0,6,8,-
