Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
6,46,5,4694.95,294.55,0,5,6,0
6,46,5,4694.95,409.58,0,4,6,0
6,46,6,4565.54,294.55,0,5,6,0
6,46,6,4589.48,409.58,0,4,6,0
6,46,6,4694.95,294.55,0,4,6,0
6,46,7,4250.62,278.22,0,4,6,0
6,46,10,4788.45,274.9,0,6,6,0
6,46,11,4703.13,274.9,0,6,6,0
6,46,12,4189.74,278.22,0,4,7,0
6,46,12,4230.55,278.22,0,4,6,0
6,46,12,4267.65,231.05,0,4,7,0
6,46,12,4696.65,274.9,0,6,6,0
6,46,13,4187.99,231.05,0,4,7,0
6,46,13,4232.31,231.05,0,4,6,0
6,46,14,4216.47,454.87,0,4,6,0
