Time (s),Number of Solutions
0.0,1
5.219945669174194,7
2024.9993357658386,22
2026.4725315570831,23
2027.1432359218597,24
2027.371349811554,25
2027.4210040569305,25
2027.450909614563,26
2027.7334606647491,27
2027.8621490001678,28
2028.0167236328125,29
2030.7088248729706,30
2031.5733156204224,31
2031.6103403568268,31
2031.6460003852844,31
2031.699726343155,31
2031.764313697815,32
2031.8184554576874,33
2031.8704340457916,33
2031.903953552246,33
2034.44202542305,34
2034.5398647785187,35
2034.5979330539703,36
2034.6474196910858,36
2039.613510608673,37
2039.6777386665344,37
2042.7967507839203,38
2042.8970773220062,39
2043.0322890281677,40
2043.3613107204437,41
2044.1798644065857,42
2047.3366742134094,43
2047.3969206809998,43
2047.7130570411682,44
2047.76367521286,45
2047.9166185855865,46
2048.395020008087,47
2048.4502205848694,47
2058.499276161194,48
2058.594176530838,49
2058.7887287139893,50
2058.909511566162,51
2058.989093065262,51
2059.029130220413,51
2062.780514717102,52
2064.647631406784,53
2064.7474410533905,54
2064.8268208503723,54
2064.8720009326935,54
2064.9201283454895,55
2127.6303582191467,56
2127.9533932209015,57
2128.0554296970367,57
2128.1025767326355,57
2128.161807537079,57
2128.329066991806,57
2128.932572364807,58
2129.151196241379,59
2131.9783775806427,60
2133.6134428977966,61
2133.705328464508,62
2133.8430349826813,63
2133.979144334793,64
2134.104739665985,65
2134.1669108867645,66
2134.311415195465,67
2134.427278995514,67
2134.6269443035126,67
2134.794416666031,68
2134.8680872917175,69
2134.9761667251587,70
2135.05854678154,70
2135.2931735515594,71
2135.35999250412,72
2135.4743418693542,72
2135.742749452591,72
2135.7983503341675,68
2135.896032333374,69
2136.1670949459076,70
2136.300977230072,71
2136.836423635483,72
2136.891368150711,72
2136.984766483307,72
2137.1638588905334,73
2138.1032843589783,74
2138.1602959632874,74
2138.2577772140503,74
2138.317019224167,74
2138.3837189674377,75
2138.470105409622,75
2138.5247490406036,75
2138.8543753623962,76
2156.308787584305,77
2156.3743336200714,77
2156.500721216202,78
2156.575687646866,78
2156.6672456264496,79
2156.7861778736115,79
2156.9008314609528,80
2157.183502674103,81
2157.2894937992096,82
2157.393120288849,82
2157.4766268730164,82
2157.609362602234,83
2157.838089942932,84
2158.0386600494385,85
2158.1033980846405,85
2158.211915254593,85
2158.33562541008,84
2158.5864160060883,85
2161.330582857132,86
2161.433203458786,86
2161.568289756775,86
2162.668485403061,87
2162.85116147995,88
2163.0693714618683,89
2163.1676771640778,90
2163.23623752594,90
2255.596321105957,91
2255.7882604599,92
2256.288218975067,93
2256.4016060829163,94
2256.6141855716705,95
2273.828978538513,96
2274.0493750572205,97
2274.1927061080933,97
2274.5678322315216,98
2274.747807741165,99
2275.3198013305664,100
2275.4860978126526,101
2275.694813013077,102
2275.795084476471,102
2275.894186973572,100
2276.0461552143097,101
2276.4716770648956,102
2276.6330869197845,103
2276.9284579753876,104
2277.092931509018,104
2277.1681344509125,105
2277.4216799736023,106
2277.6387028694153,106
2277.8627574443817,107
2278.0312089920044,107
2278.33176445961,108
2278.46688079834,109
2278.5649394989014,109
2278.6651978492737,108
2278.7635204792023,108
2278.973052740097,109
2279.145271539688,110
2279.4442307949066,111
2279.5819079875946,112
2279.6605598926544,113
2279.939615726471,114
2280.0930609703064,115
2280.452124118805,116
2280.9192428588867,117
2300.9873638153076,118
2301.2431485652924,119
2301.645258665085,120
2301.83224773407,120
2302.2571651935577,121
2302.3727612495422,122
2302.544228076935,123
2302.8092114925385,124
2302.972175359726,125
2303.089115858078,125
2303.1762681007385,125
2303.3137941360474,126
2317.590708732605,127
2317.6914031505585,128
2326.813276052475,129
2333.583114385605,130
