Time (s),Number of Solutions
0,7
2,8
3,9
4,9
5,7
6,7
7,7
15,7
18,8
33,9
34,10
37,11
38,12
39,10
42,10
50,11
54,12
55,13
56,13
58,13
60,14
62,14
63,14
64,15
70,16
72,16
74,13
83,14
117,14
118,15
124,15
125,15
171,15
298,14
299,13
300,12
362,13
387,14
389,14
393,14
394,14
397,15
398,15
399,14
400,14
403,14
414,14
422,15
423,15
425,15
439,15
443,16
446,17
447,17
448,17
457,16
458,15
461,15
466,15
474,15
475,14
479,13
728,13
729,13
730,14
743,15
850,15
856,15
858,15
859,15
861,16
863,16
1207,16
1415,17
1421,18
2356,16
2366,16
2369,16
2370,16
2382,17
2385,18
2476,19
2478,19
2480,20
2485,20
2486,20
2487,19
2488,20
2489,20
2490,19
2491,18
2492,18
2493,19
2508,19
2515,19
2616,20
2617,20
2622,20
2627,20
2632,20
2994,20
3000,20
3017,20
3140,21
3141,21
3363,21
3376,21
3377,21
3378,21
3381,21
3384,21
3385,21
3394,21
3397,21
3400,18
3401,19
3726,19
3728,19
3730,18
3731,19
3732,19
3733,18
3735,19
3831,19
3833,20
3834,20
3842,20
3845,18
3856,18
3881,17
3884,18
3885,18
3888,16
3890,14
3891,14
3896,14
3898,15
3900,16
3902,15
3906,15
3933,16
3934,16
3936,14
3938,14
3941,14
3944,13
3947,13
4550,13
4551,12
4552,12
4553,12
4554,13
4555,14
4564,14
4570,15
4576,15
4577,15
4596,14
4598,15
4600,15
4613,15
4614,15
4629,15
4642,16
4644,16
4646,14
4647,14
4648,15
4649,15
4650,15
4651,15
4652,14
4655,15
4657,15
4665,15
4666,15
4668,14
4670,13
4674,13
4676,13
4681,13
4682,12
4689,12
4690,12
6783,12
6785,12
6787,12
6789,12
6804,13
6814,14
6816,14
6822,15
6823,15
6840,15
6844,15
6845,15
7958,16
7959,16
8028,16
8031,16
8050,17
8054,17
8072,17
8801,17
8802,17
8823,17
8832,17
8833,17
8836,17
8838,17
8882,17
8916,17
8922,17
8925,16
8929,17
9142,17
9229,17
9235,17
9236,17
9237,17
9244,17
9245,17
9248,18
9258,18
9262,18
9267,18
9277,18
9278,18
9279,18
9659,17
9661,17
9665,17
9949,18
9950,18
9952,19
9955,19
9965,19
9966,19
9972,19
9997,19
10011,19
10035,19
10073,19
10187,19
10192,19
10199,18
10200,17
10206,17
10208,18
10224,18
10322,18
10327,19
10332,19
10342,19
10343,17
10349,16
10352,16
10353,16
10362,15
10364,15
10381,16
10385,16
10387,16
10388,16
10665,16
10666,15
10667,15
10673,15
10676,16
10887,17
10907,18
10908,18
10948,18
11622,18
11634,18
11638,18
11692,18
11697,18
11862,18
11872,18
11923,18
11930,18
11950,18
11953,18
11977,18
11978,18
12486,18
12493,18
12573,18
12578,18
12584,18
12594,18
12595,17
12596,17
12602,17
12633,18
12635,18
12645,16
