Time (s),Number of Solutions
0,7
1,7
51,8
54,8
55,8
183,8
213,8
218,8
222,8
224,9
225,9
226,9
228,10
231,10
283,9
530,10
534,10
535,10
539,10
541,10
586,10
613,11
616,11
636,10
638,10
640,10
641,10
643,10
644,10
646,10
667,11
670,11
678,12
679,11
695,12
697,12
698,12
700,12
701,12
702,12
703,12
760,13
761,14
768,14
769,14
771,13
773,13
774,14
781,14
794,14
795,14
797,14
880,15
881,15
884,15
886,15
888,15
896,15
897,14
900,14
902,14
907,13
935,14
936,14
937,14
1363,15
1437,15
1438,15
1440,16
1442,16
1443,16
1445,16
1449,16
1451,16
1552,17
1569,18
2116,19
2117,19
2130,19
3279,19
3280,19
3283,19
3286,19
3291,19
3296,19
3298,19
3299,18
3347,19
3348,18
3352,18
3354,18
3355,18
3369,19
3439,19
3456,19
3460,19
3464,19
3465,18
3476,19
3477,19
3478,19
4258,20
4259,20
4260,20
4261,20
4262,20
4263,20
4667,21
4668,20
4670,20
4671,20
4672,20
4703,21
4705,21
4706,21
4708,21
4710,21
4721,21
4726,21
4728,20
4729,20
4730,20
4735,20
4738,20
4776,21
4780,22
4786,21
4787,21
4791,21
4795,21
4806,21
4807,21
4808,21
4811,22
4864,23
4868,23
4869,23
4870,23
4871,23
4872,23
4876,23
4877,23
4878,23
4879,22
4886,22
4901,23
4927,23
4943,22
4970,22
4972,22
4973,22
4974,22
5027,22
5029,22
5030,21
5031,21
5037,21
5038,21
5040,21
5042,22
5043,22
5045,22
5143,23
5144,23
5145,23
5146,23
5147,23
5151,23
5153,23
5154,23
5295,23
5298,24
5300,23
5301,23
5304,23
5305,23
5307,23
5309,23
5310,21
5312,21
5315,20
5316,20
5318,20
5320,21
7334,21
7400,21
7404,21
7412,22
7414,23
7437,24
8745,25
8777,25
8819,26
8821,26
8824,26
8825,25
8826,25
8828,25
8834,25
8835,25
8838,24
8840,24
8844,24
8846,24
8848,24
8849,23
8851,23
8857,23
8858,22
8865,22
8866,22
8867,22
8869,22
8870,22
8880,22
8882,22
8883,22
8885,21
8887,21
8889,21
8890,21
8891,21
8892,21
8893,21
8903,21
8904,21
8908,20
8909,21
8914,21
8916,21
8917,20
8919,20
8920,19
8923,18
8925,17
8971,17
8972,17
8979,16
8996,17
8998,17
9008,17
9015,16
9026,16
9027,16
9076,16
9088,16
9090,16
9094,16
9097,16
9110,16
9111,15
9112,15
9115,14
9117,14
9120,14
9121,13
9125,13
9127,13
9129,13
9130,12
9132,11
9133,11
9135,11
9137,11
9142,11
9143,11
9147,11
9150,11
9217,11
9219,11
9222,11
9227,10
9229,10
9231,10
9232,10
9244,10
9260,11
9262,11
9263,11
9270,11
9271,11
9272,10
9277,10
9280,10
9283,10
9285,10
9290,10
9291,10
9292,11
9300,11
9302,11
9305,12
9306,12
9312,12
9323,12
9339,12
9360,12
9362,12
9363,11
9364,11
9366,11
9367,11
9370,11
9371,11
9381,11
9382,11
9396,11
9398,11
9413,11
9414,11
9607,11
9616,11
9618,11
9619,12
9620,12
9621,12
9636,12
9637,11
9640,11
9641,11
9643,11
9644,11
9647,11
9660,11
9661,11
9664,11
9669,11
9672,10
9740,10
9741,10
9758,10
9760,10
9763,10
9775,10
9778,10
9779,10
9801,11
9803,11
9825,12
9830,12
9842,12
9843,12
9848,12
9869,12
9870,12
9871,12
9872,11
9874,11
9875,11
9877,11
9878,11
10049,12
10054,12
10098,11
10100,12
10102,12
10308,12
10311,12
10312,12
10313,12
10314,11
10325,11
10331,11
10336,11
10338,11
10344,11
10345,11
10346,11
10349,11
10359,10
10361,10
10364,10
10368,10
10369,10
10376,10
10434,10
10437,10
10440,10
10444,10
10446,9
10448,9
10450,9
10466,9
10467,9
10468,9
10482,10
10483,10
10499,10
10500,10
10605,10
10606,10
10609,10
10610,10
10611,10
10613,10
10615,9
10630,9
10632,9
10642,9
10644,9
10645,9
10652,9
10654,9
10655,9
10658,9
10661,9
10663,9
10666,9
10667,9
10669,8
10676,8
10684,8
10714,9
10716,9
10719,9
10720,9
10721,9
10722,9
10724,9
10743,9
10744,9
10747,8
10748,8
10752,7
10757,7
10763,7
10764,7
10767,8
10773,8
10779,8
10784,8
10785,7
10792,8
10793,8
10794,8
10796,8
10798,8
10799,7
10828,8
10829,8
10832,8
10844,9
10936,10
10937,10
10938,11
10939,11
10940,11
10941,11
10942,11
10962,11
10964,10
10973,10
10974,10
10977,10
10984,10
10986,11
11044,10
11046,10
11049,10
11050,10
11052,10
11055,10
11057,9
11059,8
11063,8
11064,8
11070,7
11071,7
11072,7
11073,7
11074,7
11077,8
11078,7
11079,7
11082,7
11113,8
11126,8
11128,8
11169,8
11170,8
11173,8
11178,8
11179,8
11182,8
11189,8
11191,8
11202,8
11208,9
11236,10
11241,10
11242,10
11245,10
11246,10
11250,10
11251,10
11260,9
11262,9
11264,9
11268,9
11271,10
11280,10
11282,10
11285,10
11287,10
11372,10
11373,9
11374,9
11375,9
11378,9
11379,9
11380,9
11385,9
11386,9
11387,9
11392,9
11393,9
11416,9
11417,9
11439,9
11444,9
11446,8
11452,8
11458,9
11459,8
11460,8
11462,8
11463,7
11480,8
11499,8
11502,8
11503,7
11505,7
11506,7
11508,7
11514,7
11527,8
11529,8
11568,9
11569,9
11570,9
11575,7
11576,7
11577,7
11597,8
11599,8
11601,8
11670,9
11671,9
11743,10
