Time (s),Number of Solutions
0,7
2,8
4,8
5,8
6,8
51,9
52,9
62,10
71,11
72,12
76,13
77,13
78,13
80,13
230,14
231,14
232,14
235,15
237,14
270,15
276,16
283,17
284,17
286,18
287,18
290,17
293,18
294,18
295,18
296,18
299,19
300,17
308,18
311,19
312,19
430,20
432,21
433,21
437,22
438,20
439,20
441,20
444,21
445,21
446,20
447,20
449,21
458,22
459,22
465,23
466,23
468,23
470,22
472,21
477,22
478,22
479,20
480,20
499,21
500,21
502,22
503,22
504,22
507,23
508,23
1211,24
1213,24
1214,24
1219,25
1220,25
1222,25
1223,25
1224,24
1225,24
1228,25
1230,24
1231,24
1234,25
1238,25
1241,26
1297,27
1312,27
1350,28
1352,29
1353,28
1370,29
1389,30
1398,31
1405,32
1407,32
1408,30
1411,31
1415,32
1420,33
1428,34
1431,34
1432,34
1434,34
1435,35
1436,35
1438,34
1439,33
1440,33
1441,33
1446,34
1449,35
1463,36
1466,36
1467,35
1468,34
1473,35
1481,36
1482,33
1483,33
1489,34
1491,31
1492,29
1493,29
1495,30
1497,29
1499,30
1509,31
1510,31
1520,32
1526,33
1529,32
1530,32
1533,33
1572,34
1574,34
1576,35
1584,35
1586,35
1587,35
1588,35
1589,35
1590,35
1592,36
1595,36
1597,37
1598,38
1599,38
1609,39
1610,39
1611,39
1612,39
1616,40
1688,41
1689,41
1727,42
1742,43
1743,42
1748,43
1749,42
1751,43
1754,44
1755,45
1761,46
1762,46
1763,46
1764,46
1765,46
1766,46
1771,47
1772,47
1773,46
1775,45
1777,46
1822,47
1827,48
1828,48
1829,48
1830,48
1907,48
1909,47
1911,48
1913,49
1914,49
1915,49
1916,47
1918,48
1921,49
1926,50
1941,51
1943,51
1946,52
1947,51
1949,52
1950,52
1952,51
1957,52
1963,53
1964,53
2140,54
2141,55
2142,55
2149,55
2151,56
2152,55
2153,55
2155,55
2157,56
2158,56
2164,57
2169,57
2185,58
2189,59
2193,60
2195,61
2214,62
2215,62
2216,63
2219,62
2249,63
2250,63
2251,63
2254,63
2256,64
2260,63
2261,62
2262,62
2264,59
2268,59
2269,58
2273,59
2317,60
2321,61
2336,62
2342,63
2343,63
2344,63
2345,62
2356,63
2357,63
2361,64
2366,65
2401,66
2472,67
2473,67
2474,67
2477,67
2478,67
2482,68
2484,69
2485,69
2490,70
2491,70
2492,70
2493,70
2496,69
2501,70
2505,70
2506,70
2518,70
2521,71
2711,72
2712,72
2714,72
2758,73
2759,72
2760,72
2762,73
2763,73
2765,73
2766,73
2829,74
2831,75
2832,75
2833,74
2835,75
2837,75
2840,76
2850,77
2856,78
2857,78
2858,78
2859,77
2861,77
2862,77
2868,78
2870,78
3225,79
3231,80
3232,80
3233,80
3234,79
3235,79
3237,80
3238,80
3239,80
3241,81
3248,82
3249,82
3255,83
3256,83
3258,83
3262,84
