Time (s),Number of Solutions
0,7
2,7
3,7
4,7
10,7
11,7
12,7
14,7
15,7
243,8
271,9
272,9
275,9
288,10
289,11
294,11
998,12
999,12
1000,12
1003,12
1004,12
1005,12
1006,12
1007,12
1059,13
1060,13
1061,13
1062,13
1063,13
1067,13
1068,13
1370,14
2015,14
2016,14
2017,14
2018,14
2358,14
2359,14
2363,15
2364,15
2365,15
2366,15
2367,14
2368,14
2376,14
2395,15
2396,15
2405,15
2406,15
2407,15
2409,15
2410,15
2411,16
2412,16
2440,17
2441,17
2446,17
2471,17
2472,17
2473,17
2474,17
2475,17
2477,17
2479,17
2506,18
2514,18
2515,18
2518,18
2519,19
2717,20
2718,20
2719,20
2726,20
2727,20
2728,20
2730,20
2735,20
2736,20
2737,20
2738,20
2740,21
2744,21
2745,21
2747,21
2748,21
2749,21
2750,21
2754,20
2756,20
2757,20
2759,20
2774,20
2775,20
2779,20
2924,19
11327,20
11330,20
11349,20
11353,19
11359,19
11360,19
11361,19
11399,20
11438,20
11440,20
11441,20
11444,20
11451,20
11463,20
11464,20
12044,20
12193,20
12194,19
12197,19
12212,19
12213,19
12215,19
12217,19
12225,19
12226,19
12263,19
12264,18
12282,19
12286,19
12287,19
12288,19
12289,19
12292,19
12293,19
12297,19
12453,19
12465,20
12466,20
12480,20
12482,20
12484,20
12741,20
12742,20
12744,20
12745,20
12747,20
12748,20
12754,20
12819,20
12820,20
12821,20
12822,20
12823,20
12830,20
13057,20
13059,20
13067,20
13074,20
13077,20
13079,19
13081,20
13082,19
13084,19
13087,19
13105,20
13341,19
13345,19
13351,19
13372,20
13379,20
13381,20
13388,21
13389,21
13452,21
13453,21
13454,21
13466,21
13470,21
13471,21
13474,21
13475,21
13479,21
13480,20
13484,20
13485,19
13486,19
13488,18
13493,18
13812,18
13813,18
13820,18
13821,18
13824,18
13827,18
13828,18
13946,19
13947,19
13948,19
13950,19
13951,19
13953,18
13960,19
13961,19
13966,18
13971,18
13972,18
13974,18
13980,19
13982,18
13984,18
13987,18
13988,18
13993,18
13995,18
13997,18
13998,18
13999,19
14002,19
14003,20
14004,20
14005,18
14006,18
14007,18
14087,18
14088,18
14089,18
14091,17
14092,17
14094,17
14097,17
14098,16
14099,16
14101,16
14132,16
14133,16
14135,16
14141,16
14142,16
14170,17
14171,17
14382,16
14386,16
14387,16
14389,16
14390,16
14391,16
14396,16
14397,16
14402,16
14404,16
14405,14
14417,15
14418,14
14426,14
14449,15
14453,15
14459,15
14460,15
14467,15
14476,15
14478,14
14500,15
14504,15
14513,15
14514,14
14516,14
14519,13
14604,13
14607,13
14608,13
14609,12
14610,12
14613,12
14616,13
14618,13
14632,13
14648,13
14650,13
14653,13
14655,13
14667,13
14677,13
14681,13
14685,13
14686,13
14694,13
14697,13
14728,13
14729,13
14730,13
14731,13
14758,13
14760,12
14762,12
14763,12
14764,12
14770,12
14771,12
14780,12
14781,12
14796,12
14797,12
14799,12
14821,13
14822,13
14823,13
14825,13
14827,13
14828,13
14832,12
14834,12
14835,12
14837,12
14839,12
14840,12
14843,12
14844,12
14846,12
14847,12
14850,12
14852,12
14854,12
14864,12
14865,12
14871,12
14874,12
14879,12
14880,12
14881,12
14883,12
14884,12
14889,13
14890,13
14949,13
14952,13
14953,13
14976,14
14997,15
15000,15
15003,15
15004,15
15005,15
15006,15
15007,15
15008,15
15013,15
15018,15
15173,16
15174,17
15176,16
15177,16
15178,16
15181,17
15188,17
15189,18
15207,16
15208,16
15209,16
15210,16
15236,16
15237,16
15239,16
15243,16
15253,16
15255,16
15256,16
15258,16
15259,16
15261,16
15262,16
15264,16
15265,16
15266,17
15272,16
15282,16
15283,16
15284,15
15293,15
15308,15
15311,15
15315,15
15571,16
15572,16
15573,16
15575,16
15576,16
15577,16
15618,17
15619,17
15621,17
15622,17
15657,18
15665,18
15666,17
15669,17
15670,14
15672,14
15687,14
15690,15
15691,15
15721,15
15838,15
15840,13
15849,13
15851,14
15856,13
15859,13
15861,13
15868,14
15880,14
15882,13
16087,14
16089,14
16090,14
16106,14
16108,14
16549,15
16559,16
16560,15
16562,15
16563,15
16565,15
16566,15
16568,15
16617,16
16654,17
16657,17
17262,18
17263,17
17364,18
17367,18
17368,18
17370,17
17372,17
17374,16
17386,17
17388,17
17481,17
17482,16
17483,16
17484,16
17486,16
17487,16
17490,17
17499,17
17508,16
17509,16
17511,16
17512,16
17513,16
17605,17
17606,17
17607,17
17608,17
17615,17
17631,17
17634,16
17644,16
17650,16
17651,16
17761,16
17763,16
17794,17
17795,17
17799,17
17805,17
