Time (s),Number of Solutions
0,7
26,7
503,8
505,8
506,8
513,8
519,8
520,8
522,8
523,8
525,8
536,9
538,9
563,10
564,10
565,10
570,10
571,10
573,10
574,10
575,10
576,10
589,10
591,10
592,10
604,9
605,9
612,9
613,9
630,10
631,10
632,10
663,10
666,10
667,10
670,10
686,9
688,9
689,9
690,9
691,9
696,9
704,10
1604,11
1605,11
1606,11
1625,11
1632,11
1633,11
1636,11
1637,11
1664,12
1671,12
1672,12
1675,12
1676,12
1679,12
1692,13
1696,13
1699,13
2309,13
2311,13
2317,13
2318,13
2319,13
2323,13
2325,13
2326,13
2327,13
2337,13
2338,13
2340,13
2349,13
2787,13
2811,13
2812,12
2813,11
2814,11
2815,11
2816,11
2819,11
2820,11
2824,11
2830,11
2831,11
2835,12
3381,13
3382,13
3383,13
3388,13
3392,13
3394,13
3413,14
3430,15
3438,15
3513,15
3535,15
3539,15
3540,15
3541,15
3542,15
3543,15
3544,15
3545,15
3546,15
3551,15
3552,15
3554,13
3556,12
3563,12
3724,13
3725,13
3726,13
3889,13
3891,13
3934,12
3937,12
3939,11
3940,11
3951,11
4010,11
4011,11
4014,11
4015,11
4016,11
4018,10
4020,10
4024,10
4025,10
4031,10
4033,10
4035,10
4037,10
4038,10
4050,10
4055,10
4056,10
4058,10
4085,11
4107,12
4110,12
4117,12
4123,13
4153,14
4154,14
4155,14
4156,14
4165,14
4175,15
4178,15
4179,15
4182,15
4185,15
4188,15
4191,15
4201,16
4213,16
4214,14
4232,15
4299,15
4301,15
4446,16
4483,16
4484,16
4486,16
4487,16
4490,16
4494,16
4497,16
4498,16
4505,17
4514,18
4517,18
4518,18
4696,18
4698,18
4701,18
4702,18
4706,18
4707,17
4708,17
4709,16
4919,16
4944,16
4945,16
4965,16
5009,16
5011,14
5012,14
5056,14
5057,14
5059,14
5174,15
5179,15
5184,15
5186,15
5187,15
5188,15
5199,16
5201,16
5205,16
5206,15
5207,15
5208,15
5209,16
5210,15
5212,15
5214,13
5229,14
5230,14
5239,14
5328,14
5329,14
5355,14
5362,14
5363,14
5365,11
5379,11
5404,11
5417,12
5419,12
5420,12
5431,11
5444,11
5447,11
5449,12
5454,12
5455,11
5457,11
5459,11
5460,11
5461,11
5462,11
5463,11
5470,12
5471,11
5480,10
5485,10
5493,11
5495,11
5496,10
5497,10
5568,11
5572,9
5584,9
5594,9
5596,9
5605,9
5800,10
5804,10
5805,10
5808,10
5809,10
5812,11
5813,11
5814,11
5818,10
5823,10
5826,11
5827,11
5835,11
5836,11
5837,10
5839,10
5854,10
5855,10
5856,9
5860,9
5863,8
5864,8
5865,8
5868,8
5869,8
5873,8
6632,9
6644,9
6645,9
6647,9
6653,9
6654,9
6656,9
6677,10
6685,11
6686,11
6693,11
6695,11
6702,10
6706,10
6707,10
6710,10
6711,10
6716,10
6717,10
6718,10
6719,10
6720,11
6722,11
6774,11
6775,11
6776,11
6777,11
6778,11
6779,11
6780,11
6782,11
6787,11
6788,11
6813,11
6814,11
6816,11
6840,11
6876,11
6880,9
6881,10
6884,10
6910,11
6911,11
6912,11
7030,11
7034,11
7042,12
7046,12
7049,11
7053,11
7064,12
7065,13
7070,13
7080,13
7081,13
7084,13
7195,14
7197,14
7198,14
7208,14
7216,15
7219,15
7220,14
7221,14
7238,14
7240,14
7244,14
7248,14
7250,14
7252,14
7253,14
7254,14
7257,14
7258,13
7259,13
7260,13
7264,12
7265,12
7288,13
7300,13
7302,13
7303,13
7305,12
7306,12
7311,12
7313,12
7314,12
7315,12
7317,12
7329,12
7331,13
7336,13
7337,13
7340,13
7351,13
7353,12
7361,12
7377,12
7380,12
7383,12
7387,13
7389,13
7390,13
7393,13
7394,13
7396,13
7397,13
7398,13
7399,13
7402,13
7404,13
8216,13
8217,13
8322,13
8345,13
8346,13
8349,13
8351,14
8354,13
8359,13
8399,13
8412,12
8416,12
8418,12
8419,12
8420,12
8421,12
8423,11
8424,11
8432,11
8434,11
8441,11
8444,11
8448,12
8462,13
8464,13
8465,12
8467,12
8488,13
8496,13
8504,13
8510,13
8511,13
8513,13
8529,13
8531,13
8532,13
8534,12
8535,12
8536,12
8537,11
8538,11
8539,11
8541,11
8543,11
8544,11
8549,10
8550,10
8590,10
8598,10
8611,10
8765,10
8768,10
8772,10
8777,10
8781,9
8783,8
8785,8
8786,8
8787,8
8788,8
8791,8
8794,8
8804,8
8805,8
9149,9
9150,9
9156,9
9160,9
9190,10
9194,10
9198,10
9209,10
9219,10
9220,10
9221,10
9223,10
9224,10
9225,10
9227,10
9228,10
9229,10
9231,10
9233,10
9234,10
9238,10
9240,10
9246,10
9247,10
9248,10
9282,11
9283,10
9289,11
9307,9
9309,9
9313,10
9314,10
9316,10
9317,10
9323,9
9326,9
9327,9
9328,9
9343,10
9443,10
9444,10
9445,10
9448,10
9450,10
9465,10
9468,10
9478,10
9479,10
9480,10
9504,10
9505,10
9506,10
9507,10
9510,10
9511,10
9516,11
9557,11
9560,11
9562,10
9572,10
9581,10
9583,10
9584,10
9586,9
9588,9
9589,9
9598,9
9599,9
9601,9
9604,8
9628,8
9630,8
9633,8
9634,8
9640,9
9648,9
10157,10
10196,11
10197,11
10224,12
10226,10
10227,10
10228,11
10231,11
10232,11
10233,11
10236,11
10237,11
10239,10
10241,10
10243,10
10354,11
10355,11
10360,11
10361,12
10362,12
10366,11
10377,11
10378,11
10385,11
10389,11
11273,11
11274,11
11352,11
11354,11
11355,11
11359,10
11361,11
11362,9
11363,9
11505,9
11511,9
11512,9
11532,9
11533,9
11535,9
11544,9
11555,9
11592,10
11593,10
11595,10
11598,10
11610,10
11611,9
11614,9
11625,9
11635,8
11636,8
11640,8
11641,8
11656,8
11672,8
11679,9
11680,9
11683,9
11684,9
11709,10
11871,11
11872,11
11891,11
11898,11
11899,9
11900,9
11902,9
11904,9
11936,10
11937,10
11938,10
11941,10
11945,10
11946,10
11952,10
11954,10
11956,10
11958,11
11960,11
12022,11
12023,12
12025,12
12026,12
12031,12
12041,11
12045,11
12048,11
12056,11
12057,11
12066,12
12082,11
12083,11
12098,11
12115,11
12120,11
12121,11
12122,11
12128,11
12143,11
12163,12
12172,12
12173,12
12174,12
12178,12
12180,12
12182,12
12185,12
12247,12
12248,12
12250,12
12251,12
12253,12
12255,12
12256,12
12258,12
12267,12
12270,12
12287,12
12289,12
12297,12
12299,12
12304,11
12305,11
12311,11
12313,12
12314,13
12319,13
12356,13
12375,13
12587,14
12594,15
12597,15
12599,15
12600,15
12603,14
12607,14
12609,14
12611,14
12616,14
12617,14
12637,15
12640,15
12649,15
12879,15
12880,15
12881,15
12944,14
12945,14
12949,14
12950,13
12953,13
12954,13
12981,13
12992,13
13001,13
13007,13
13017,13
13019,13
13024,13
13036,13
13044,13
13046,12
13047,12
13050,12
13059,12
13064,11
13067,11
13068,11
13086,11
13087,11
13091,11
13099,11
13101,11
13104,11
13130,11
13131,11
13132,11
13136,11
13144,11
13145,11
13146,11
13151,11
13152,11
13153,11
13154,11
13156,11
13166,11
13167,11
13171,11
13175,11
13186,11
13187,11
13191,11
13194,11
13197,11
13199,11
13233,11
13240,11
13242,11
13243,10
13247,10
13267,10
13268,10
13269,10
13348,10
13498,10
13505,10
13507,10
13509,9
13510,9
13516,8
13518,8
13546,8
13561,8
13566,8
13581,8
13590,8
13934,9
13936,9
13970,9
14008,9
14133,10
14138,10
14141,10
14158,10
14159,10
14161,10
14170,10
14177,10
14179,10
14181,11
14189,11
14190,11
14194,12
14201,12
14277,13
14279,13
14284,13
14680,13
14726,13
14728,13
14760,13
14767,13
14775,13
14778,12
14793,12
14794,12
14795,12
14797,11
14799,11
14805,11
14817,11
14833,12
14864,12
14866,12
14867,12
14869,12
14874,12
14884,12
14886,12
14888,12
14973,12
14978,12
14979,12
14985,11
14988,11
14990,11
15001,11
15013,12
15021,12
15025,11
15038,12
15039,10
15045,10
15051,10
15065,10
15067,9
15068,9
15071,9
15111,10
15127,10
15161,11
15164,11
15166,11
15171,11
15173,11
15179,11
15236,11
15238,11
15246,11
15249,11
15257,11
15296,11
15297,11
15299,11
15312,12
15317,12
15369,12
15374,13
15399,13
15401,13
15413,13
15436,14
15437,14
15439,14
15441,14
15443,13
15445,12
15449,13
15450,13
15456,13
15464,13
15465,13
15530,13
15544,13
15550,13
15555,13
15559,12
15562,12
15566,12
15567,12
15581,12
15584,11
15588,11
15590,11
15623,12
15627,12
15631,12
15634,12
15639,12
15641,12
15655,12
15665,12
15671,12
15677,11
15680,11
15686,11
15687,11
15703,11
15744,12
15745,12
15749,11
15750,11
15756,11
15759,11
15844,12
15846,9
15887,9
15903,10
15904,10
15905,11
15907,11
15910,11
15951,12
15952,12
15959,11
15966,9
15973,10
15975,10
15976,9
15980,10
15982,9
16009,9
16016,7
16018,7
16028,7
16031,7
16072,8
16073,8
16075,8
16078,8
16099,8
16101,8
16123,8
16124,8
16132,8
16157,9
16165,9
16171,9
16172,8
16180,8
16182,8
16183,8
16220,8
16223,8
16230,8
16240,7
16242,7
16247,7
16248,7
16250,8
16257,8
16262,8
16263,8
16268,8
16269,8
16274,8
16279,8
16283,8
16285,8
16286,8
16292,7
16293,7
16297,7
16298,7
16313,7
16319,8
16320,8
16325,9
16326,9
16330,9
16335,9
16349,9
16381,8
16383,8
16385,8
16389,8
16393,8
16400,8
16405,8
16418,8
16423,7
16433,7
16465,8
16467,8
16474,9
16482,10
16486,11
16489,11
16490,10
16501,10
16502,9
16503,9
16513,9
16518,9
16519,10
16545,10
16568,11
16571,11
16577,11
16629,11
16633,10
16638,8
16648,9
16714,9
16718,9
16719,8
16753,8
16755,8
16758,9
16859,10
16862,10
16928,8
16929,8
17013,7
17018,7
17031,7
17032,7
17035,7
17042,7
17060,7
17094,8
17102,8
17110,8
17126,8
17134,8
17176,8
17182,8
17183,8
17184,8
17185,8
17210,8
17218,8
17219,8
17221,8
17273,8
17335,8
17346,9
17347,9
17350,9
17529,9
17568,9
17571,9
17574,9
17586,8
17589,8
17607,9
17609,9
17611,9
17615,9
17617,9
17619,9
17621,8
17623,8
17629,7
17636,7
17637,7
17649,8
17656,8
