Time (s),Number of Solutions
0,7
1,7
166,8
167,8
168,8
169,8
170,8
171,8
172,8
220,9
238,10
253,11
258,11
259,11
273,11
274,11
276,11
1048,12
1050,12
1066,12
1069,12
1070,12
1071,12
1072,12
1073,12
1074,12
1077,12
1079,12
1080,12
1081,12
1728,13
1734,13
1743,13
1748,13
1750,13
1751,13
1756,13
1760,14
1761,14
1763,14
1793,14
1794,14
2006,14
2085,14
2091,15
2092,15
2107,16
2110,16
2111,16
2182,17
2183,17
2184,17
2185,17
2186,17
2206,17
2267,18
2268,18
2270,18
3029,19
3030,19
3031,19
3032,19
3035,19
3039,19
3040,19
3042,19
3043,19
3044,19
3045,19
3058,19
3072,20
3080,20
4779,21
4780,21
4781,21
4782,21
4784,21
4785,21
4833,22
4834,22
4849,22
4856,22
4857,22
4859,22
4860,22
4862,22
4863,22
4864,22
4874,22
4875,22
4876,22
4883,22
5065,22
5066,22
5067,22
5068,22
5097,22
5098,23
5103,22
5127,23
5128,23
5129,23
5131,23
5150,24
5151,24
5154,24
5162,25
5238,25
5240,25
5241,24
5243,24
5244,24
5271,24
5272,23
5273,23
5379,23
5380,23
5381,23
5441,23
5448,23
5450,23
5521,24
5563,24
5564,24
5565,24
5568,24
5570,25
5574,25
5575,25
5576,25
5578,25
10059,25
10060,25
10062,25
10074,25
10076,25
10270,25
10316,25
10334,25
10353,26
10354,26
10356,25
10359,25
10361,25
10362,25
10489,25
10491,25
10492,25
10494,25
10496,25
11764,25
11765,25
11766,25
11769,26
11770,26
11781,26
11784,26
11785,26
11786,26
11788,26
11792,26
11793,26
11795,26
11798,25
11804,25
11806,24
11807,24
11864,25
11865,25
11956,26
11957,26
11958,26
11959,26
12010,26
12011,26
12014,26
12015,25
12023,26
12024,25
12025,25
12029,25
12030,25
12031,25
12037,25
12040,25
12041,25
12042,25
12043,25
12119,26
12120,23
12121,23
12122,23
12123,23
12125,23
12131,23
12132,23
12133,23
12135,23
12136,22
12139,22
12140,22
12193,22
12203,23
12204,22
12205,22
12230,23
12231,23
12254,23
12255,23
12256,23
12259,23
12265,23
12268,24
12269,24
12270,24
12279,23
12295,23
12296,23
12297,23
12302,22
12304,21
12305,21
12306,21
12307,21
12318,21
12339,22
12422,23
12424,22
12439,23
12440,22
12445,22
12446,22
12447,22
12448,22
12449,22
12450,22
12455,22
12469,22
12477,22
12478,22
12480,22
12488,22
12489,22
12490,22
12841,23
12845,23
12847,23
12849,23
12851,22
12852,22
12855,22
12856,22
12857,22
12858,23
12863,23
12867,23
12868,22
12869,22
12880,23
12886,23
12888,23
12889,23
12894,23
12908,24
12959,24
12976,24
12988,25
12991,24
12992,24
12993,24
12996,24
13101,24
13104,23
13105,23
13107,22
13126,22
13128,22
13129,21
13130,22
13132,22
13193,22
13194,22
13196,22
13197,22
13207,22
13209,22
13210,22
13212,22
13250,22
13316,22
13330,22
13336,22
13344,22
13437,22
13440,22
13446,22
13447,22
13449,22
13459,22
13481,22
13482,21
13483,21
13484,20
13487,20
13489,19
13490,19
13492,18
13493,18
13494,18
13637,19
13639,19
13648,19
13685,19
13686,19
13701,20
13703,21
13713,21
13714,21
13728,20
13792,20
13793,20
13800,20
13801,19
13803,19
13806,19
13807,19
13816,19
13838,19
13852,20
14060,20
14062,19
14063,19
14064,19
14065,19
14068,19
14071,19
14072,19
14073,19
14081,19
14082,19
14084,19
14085,19
14086,19
14087,18
14098,18
14120,17
14121,17
14122,17
14129,17
14131,17
14136,17
14139,17
14144,17
14148,17
14191,17
14193,17
14209,17
14212,17
14213,17
14216,16
14244,17
14246,17
14254,17
14255,17
14258,17
14260,17
14263,16
14264,14
14267,14
14269,14
14274,14
14284,14
14285,14
14286,13
14322,13
14323,13
14324,12
14325,13
14327,13
14331,14
14357,15
14358,15
14359,15
14362,15
14366,15
14367,15
14368,15
14375,15
14379,15
14387,12
14399,12
14401,12
14402,13
14404,13
14539,14
14543,14
14544,14
14545,14
14546,14
14564,14
14565,14
14601,15
14602,15
14603,15
14604,15
14608,15
14609,14
14610,14
14612,14
14614,14
14618,14
14620,14
14621,14
14641,15
14642,15
14643,15
14646,15
14647,16
14648,15
14700,16
14717,16
14718,16
14725,16
14782,17
14858,18
14860,18
14863,18
14870,18
14871,18
14874,18
14897,18
14898,18
14903,18
14904,18
14905,18
14914,18
14917,18
14918,18
14921,18
14931,18
14975,19
15007,20
15019,20
15021,20
15022,20
15026,20
15027,20
15029,20
15030,20
15040,20
15085,21
15104,20
15105,20
15111,20
15112,20
15114,20
15204,20
15206,20
15207,20
15209,20
15217,20
15220,20
15245,20
15246,20
15248,20
15254,20
15258,20
15260,20
15261,20
15265,20
15270,20
15274,20
15279,20
15281,20
15288,19
15289,18
15293,18
15318,18
15324,18
15326,18
15352,17
15353,17
15477,17
15478,17
15480,17
15483,17
15485,17
15487,17
15489,17
15493,17
15494,17
15500,17
15502,17
15503,17
15506,17
15516,17
15531,18
15532,18
15533,18
15557,18
15570,18
15571,18
15574,18
15576,18
15577,18
15579,18
15580,17
15581,17
15585,17
15586,15
15587,15
15588,15
15596,16
15633,17
15634,17
15635,17
15636,17
15637,17
15645,17
15646,17
15651,17
15657,16
15659,16
15715,16
15717,17
15719,16
15723,16
15726,17
15746,17
15758,16
15926,16
15927,15
15928,15
15929,14
15931,14
15933,14
15935,14
15936,14
15969,14
