Solution ID,Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
1,145,1258,692,411955.56,122715.68,15712.06,46,79,83
2,145,1258,692,412085.53,122712.1,15712.06,46,79,83
3,145,1258,693,411277.35,122954.91,15712.06,46,79,83
4,145,1258,694,410801.22,123032.12,15712.06,46,79,83
5,145,1258,695,410844.04,122322.49,15712.06,46,79,83
6,145,1258,695,410992.42,122312.67,15712.06,46,79,83
7,145,1258,696,410314.95,122312.67,15712.06,46,79,83
8,145,1258,698,411014.56,121984.72,15712.06,46,79,83
9,145,1258,699,411206.1,121946.74,15712.06,46,79,83
10,145,1258,703,410014.64,122385.18,15712.06,46,79,83
11,145,1258,946,471700.8,99543.92,14858.27,46,79,85
12,145,1258,948,471700.8,99388.27,14858.27,46,79,85
13,145,1258,949,471700.8,99360.37,14858.27,46,79,85
14,145,1258,950,471700.8,98989.0,14858.27,46,79,85
15,145,1258,951,471700.8,98921.82,14858.27,46,79,85
16,145,1258,956,471627.44,100298.76,15031.44,46,79,85
17,145,1258,964,472250.11,103370.25,15822.69,46,79,83
18,145,1258,966,368777.14,163856.09,15846.31,46,79,82
19,145,1258,966,471716.41,105538.56,15736.14,46,79,83
20,145,1258,966,471716.41,105538.56,15784.64,46,79,82
21,145,1258,969,471758.4,106260.83,15501.19,46,79,83
22,145,1258,970,471758.4,106809.28,15416.72,46,79,84
23,145,1258,971,471740.72,107393.07,15373.37,46,79,84
24,145,1258,988,478221.6,114458.66,15495.43,46,79,83
25,145,1258,992,478182.25,117154.87,16156.43,46,79,81
26,145,1258,993,477879.31,117132.63,16156.43,46,79,81
27,145,1258,993,478428.01,117132.63,16000.34,46,79,80
28,145,1258,1017,481906.42,123779.35,15925.17,46,79,80
29,145,1258,1018,481855.02,123860.59,15866.75,46,79,81
30,145,1258,1018,481855.02,123860.59,15925.17,46,79,80
31,145,1258,1032,299630.31,163375.64,16569.83,46,78,83
32,145,1258,1033,299580.18,163375.64,16569.83,46,78,83
33,145,1258,1037,469815.92,65522.95,16681.54,46,79,81
34,145,1258,1038,469815.92,65514.9,16681.54,46,79,81
35,145,1258,1045,486948.4,132757.38,16892.28,46,79,79
36,145,1258,1052,489932.7,135270.77,18279.92,46,79,78
37,145,1258,1052,490281.18,135330.55,18248.16,46,79,78
38,145,1258,1052,490342.05,135330.55,18186.21,46,79,78
39,145,1258,1054,489479.99,134674.79,18840.89,46,79,78
40,145,1258,1057,492612.72,134564.64,19053.19,46,79,78
41,145,1258,1075,494212.32,139585.27,18930.09,46,79,77
42,145,1258,1076,494811.41,140180.53,18902.42,46,79,77
43,145,1258,1076,494811.41,140636.09,18856.16,46,79,77
