Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
85,884,642,342186.11,94411.99,15838.17,65,117,174
85,884,829,342755.42,93778.66,15371.24,65,117,176
85,884,829,342755.42,93859.19,15103.19,65,117,177
85,884,829,342755.42,93859.19,15371.24,65,117,176
85,884,829,342900.98,93786.97,15144.97,65,117,177
85,884,829,343562.44,93985.03,14782.32,65,117,177
85,884,829,343562.44,94242.54,14768.8,65,117,177
85,884,829,343659.29,94356.99,14598.09,65,117,176
85,884,829,343938.55,93645.71,15170.31,65,117,180
85,884,829,344140.78,93807.07,15118.22,65,117,179
85,884,829,344394.68,93807.07,14950.58,65,117,180
85,884,829,345302.17,94237.36,14598.09,65,117,176
85,884,829,345328.93,94068.44,14598.09,65,117,176
85,884,829,345791.2,94068.44,14453.48,65,117,176
85,884,830,341127.55,93994.4,15105.85,65,117,175
85,884,830,341145.96,94317.39,14781.18,65,117,176
85,884,830,341232.28,93804.41,14993.05,65,117,175
85,884,830,341256.43,93821.72,14781.18,65,117,175
85,884,830,341344.11,93198.66,15435.29,65,117,175
85,884,830,341376.57,93028.02,15051.87,65,117,176
85,884,830,341376.57,93198.66,15051.87,65,117,175
85,884,830,341706.01,93793.01,15027.07,65,117,175
85,884,830,341706.01,94121.77,15317.72,65,117,174
85,884,830,341771.38,93816.37,14781.18,65,117,175
85,884,830,345299.75,94133.86,14598.09,65,117,176
85,884,830,345488.91,93981.22,14453.48,65,117,176
85,884,830,345620.18,93906.75,14320.29,65,117,175
85,884,831,297539.82,86330.07,17352.95,65,117,151
85,884,831,298304.59,85801.94,17386.22,65,117,152
85,884,831,303363.61,88541.98,16130.9,65,115,155
85,884,831,303363.61,88541.98,16733.7,65,115,154
85,884,831,303363.61,88558.76,17288.19,65,115,153
85,884,831,341127.55,94175.5,15465.1,65,117,174
85,884,831,345488.91,94079.5,14731.87,65,117,175
85,884,831,347767.36,95107.53,14657.94,65,117,174
85,884,832,296799.05,87136.08,16962.48,65,117,151
85,884,832,296875.14,86778.05,16962.48,65,117,151
85,884,832,297539.82,85928.6,17386.22,65,117,152
85,884,832,297539.82,86125.13,17386.22,65,117,151
85,884,832,297539.82,86467.61,17174.35,65,117,151
85,884,832,298695.31,84507.86,18017.25,65,117,150
85,884,832,298740.74,84567.83,17719.97,65,117,151
85,884,832,298740.74,85108.58,17508.1,65,117,151
85,884,832,302011.8,89000.2,17495.91,65,115,154
85,884,832,302174.73,89091.21,17123.87,65,115,153
85,884,832,302401.29,89000.2,17586.19,65,115,153
85,884,832,302495.95,89091.21,17334.64,65,115,152
85,884,832,302513.57,89000.2,17495.91,65,115,153
85,884,832,302555.12,89091.21,16975.99,65,115,154
85,884,832,302555.12,89091.21,17002.12,65,115,153
85,884,832,302677.7,89220.81,15023.38,65,115,157
85,884,832,302677.7,89255.15,15023.38,65,114,157
85,884,832,302891.84,89038.97,15587.3,65,115,156
85,884,832,302972.67,89082.46,15023.38,65,114,157
85,884,832,303074.51,89038.12,17002.12,65,115,153
85,884,832,303247.59,88268.67,17719.25,65,115,153
85,884,832,303271.05,88830.7,17119.09,65,115,154
85,884,832,303271.05,88918.86,17332.81,65,115,153
85,884,832,303280.37,88682.6,17616.71,65,115,153
85,884,832,303363.61,88760.46,15587.3,65,115,156
85,884,832,303363.61,88760.46,15935.67,65,115,155
85,884,832,303643.18,88992.51,17783.16,65,114,153
85,884,832,340717.1,94502.39,14846.94,65,117,174
85,884,832,340717.1,94502.39,14976.41,65,117,173
85,884,832,342319.11,93124.01,14635.97,65,117,176
85,884,832,347149.27,94379.69,14230.26,65,117,175
85,884,832,347466.1,94379.69,14449.99,65,117,174
85,884,832,349936.12,95098.02,14897.41,65,117,173
85,884,833,292940.4,84678.76,14568.87,65,116,162
85,884,833,292944.56,84608.55,14841.55,65,116,162
85,884,833,293215.01,84608.55,14815.42,65,116,161
85,884,833,293261.0,84265.85,14607.47,65,116,161
85,884,833,293261.0,84308.36,14909.62,65,116,160
85,884,833,293355.98,84360.77,14815.42,65,116,160
85,884,833,296992.65,86095.28,15367.97,65,116,153
85,884,833,297185.01,87136.08,16919.77,65,117,152
85,884,833,297688.13,84383.55,18017.25,65,117,150
85,884,833,298027.78,84793.75,18315.65,65,117,149
85,884,833,298094.61,84042.66,18017.25,65,117,150
85,884,833,298178.56,84753.28,18314.2,65,117,149
85,884,833,298178.56,84820.68,17890.46,65,117,150
85,884,833,298284.33,84702.27,17890.46,65,117,150
85,884,833,298382.46,84701.88,17890.46,65,117,150
85,884,833,298695.31,84484.7,18017.25,65,117,149
85,884,833,298695.31,84567.83,17719.97,65,117,151
85,884,833,300911.99,89497.49,16715.76,65,114,154
85,884,833,301034.99,89615.81,17134.54,65,114,153
85,884,833,301625.38,89614.78,17134.54,65,114,153
85,884,833,301980.97,89411.81,17123.87,65,115,153
85,884,833,302174.73,89076.97,17123.87,65,115,153
85,884,833,302451.88,88862.62,17926.84,65,115,153
85,884,833,302548.9,89220.81,15134.45,65,115,156
85,884,833,302743.32,88983.52,14796.25,65,114,157
85,884,833,302819.05,88918.86,17332.81,65,115,153
85,884,833,302942.31,88862.62,17762.82,65,115,153
85,884,833,302989.41,88970.27,14766.83,65,114,158
