Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
85,884,773,316354.9,80792.2,6277.23,65,116,205
85,884,774,309677.95,81932.38,6624.72,65,116,204
85,884,774,310219.68,81646.32,6624.72,65,116,204
85,884,774,310302.72,81262.97,6624.72,65,116,204
85,884,774,311662.63,81241.96,6624.72,65,116,204
85,884,774,312270.83,80856.4,6573.96,65,116,204
85,884,774,315358.85,80646.83,6579.38,65,116,204
85,884,774,315358.85,80710.02,6573.96,65,116,205
85,884,774,315358.85,80828.87,6573.96,65,116,204
85,884,774,315463.38,80646.83,6277.23,65,116,205
85,884,775,307160.69,82083.06,6614.34,65,116,204
85,884,775,308390.24,82083.06,6614.34,65,116,203
85,884,775,308604.74,82081.09,6614.34,65,116,203
85,884,775,308759.39,81879.31,6614.34,65,116,203
85,884,775,308885.99,81870.85,6614.34,65,116,203
85,884,775,309578.4,81881.03,6429.48,65,116,205
85,884,775,310107.28,81879.99,6429.48,65,116,203
85,884,776,304272.75,83038.13,6624.09,65,116,205
85,884,776,304490.7,83038.13,6624.09,65,116,204
85,884,776,307095.09,82777.02,6624.09,65,116,204
85,884,777,303443.29,83734.3,6624.09,65,116,205
85,884,777,303524.21,83273.39,6624.09,65,116,204
85,884,777,303880.71,83195.5,6624.09,65,116,205
85,884,778,299979.7,84569.07,6624.09,65,116,207
85,884,778,300019.48,84503.15,6624.09,65,116,207
85,884,778,300158.66,84476.16,6624.09,65,116,207
85,884,778,300309.62,84297.06,6624.09,65,116,207
85,884,778,300502.33,83782.8,6624.09,65,116,207
85,884,778,301871.21,83741.15,6624.09,65,116,206
85,884,778,303121.1,83734.3,6624.09,65,116,205
85,884,779,299548.96,84509.02,6624.09,65,116,206
85,884,780,298396.85,84568.24,6223.42,65,116,208
85,884,780,298728.56,84568.24,6223.42,65,116,207
85,884,780,298936.74,84279.84,6629.51,65,116,207
85,884,780,298996.92,84067.06,6624.09,65,116,207
85,884,780,299144.77,84482.51,6223.42,65,116,207
85,884,780,299366.98,84432.85,6408.15,65,116,207
85,884,780,300028.23,84063.79,6624.09,65,116,207
85,884,781,287037.72,85461.74,6340.81,65,115,208
85,884,781,287090.43,85396.42,6340.81,65,115,210
85,884,781,289926.75,85252.06,6340.81,65,116,209
85,884,781,295584.67,85033.07,6340.81,65,116,209
85,884,781,297664.13,84685.41,6340.81,65,116,209
85,884,781,298620.4,84047.99,6624.09,65,116,208
85,884,781,298893.51,84047.99,6629.51,65,116,207
85,884,782,285124.72,85560.25,6340.81,65,115,208
85,884,782,285918.76,85470.92,6340.81,65,115,206
85,884,782,287037.72,85461.74,6340.81,65,115,207
85,884,783,285340.86,85560.25,6370.23,65,115,207
85,884,784,284631.04,85560.25,6370.23,65,115,207
85,884,785,285461.15,85543.32,6370.23,65,115,207
85,884,786,284542.85,86682.55,6370.23,65,114,208
85,884,786,284542.85,86782.81,6370.23,65,114,207
85,884,786,286623.68,89175.59,6833.25,65,115,196
85,884,786,286623.68,89318.77,6833.25,65,115,196
85,884,786,286623.68,89437.55,6807.12,65,115,196
85,884,787,281796.82,93369.27,6468.24,65,114,200
85,884,787,281796.82,93523.33,6468.24,65,114,198
85,884,787,281814.31,93100.91,6468.24,65,114,200
85,884,787,282418.95,92953.08,6468.24,65,114,199
85,884,787,282628.82,92756.65,6468.24,65,114,198
85,884,787,282768.11,91866.63,6479.08,65,114,197
85,884,787,282768.11,92103.93,6468.24,65,114,197
85,884,787,282780.15,91004.85,6479.08,65,114,197
85,884,787,283468.51,90932.59,6479.08,65,114,197
85,884,787,284542.85,86724.34,6375.65,65,114,207
85,884,787,286134.39,89674.66,6780.99,65,115,197
85,884,787,286261.66,89642.38,6807.12,65,115,196
85,884,787,286623.68,89048.24,6833.25,65,115,196
85,884,787,286810.5,88985.65,6833.25,65,115,196
85,884,787,286992.72,88942.2,6833.25,65,115,197
85,884,787,286992.72,88957.67,6833.25,65,115,196
85,884,788,281287.81,95011.39,6468.24,65,114,198
85,884,788,281355.11,93712.27,6468.24,65,114,198
85,884,788,283468.51,90882.14,6479.08,65,114,196
85,884,788,283971.95,90821.08,6569.12,65,114,197
85,884,788,284073.47,86447.43,6375.65,65,114,207
85,884,788,284393.05,86243.04,6375.65,65,114,207
85,884,788,284574.24,85919.52,6375.65,65,114,207
85,884,788,285217.84,85863.95,6375.65,65,114,207
85,884,788,285217.84,86020.84,6375.65,65,114,206
85,884,788,285250.99,89728.01,6569.12,65,114,198
