Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
85,884,620,250966.53,75097.09,14781.18,65,115,175
85,884,621,250966.53,74914.91,14781.18,65,115,175
85,884,726,342186.11,69823.67,15838.17,65,117,174
85,884,755,342766.05,46791.96,15202.49,65,117,175
85,884,756,342766.05,46319.71,15202.49,65,117,175
85,884,779,224287.54,94317.39,14781.18,65,96,176
85,884,783,172690.18,93793.01,15027.07,65,98,175
85,884,829,344140.78,93807.07,11161.3,65,117,56
85,884,832,341480.79,94502.39,2872.32,65,117,72
85,884,832,341480.79,94502.39,14976.41,17,117,0
