Solution ID,Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
1_178,85,884,365,323458.0,64794.07,4932.71,65,118,44
1_210,85,884,365,323458.0,64794.07,1462.17,65,118,57
2_178,85,884,366,322743.89,64829.81,4932.71,65,118,44
2_210,85,884,366,322743.89,64829.81,1462.17,65,118,57
3_178,85,884,367,322760.73,64814.37,4932.71,65,118,44
3_210,85,884,367,322760.73,64814.37,1462.17,65,118,57
4_178,85,884,368,322115.51,65175.13,4932.71,65,118,44
4_210,85,884,368,322115.51,65175.13,1462.17,65,118,57
5_178,85,884,600,371912.26,59792.98,4932.71,65,118,44
5_210,85,884,600,371912.26,59792.98,1462.17,65,118,57
6_178,85,884,605,371912.26,59786.48,4932.71,65,118,44
6_210,85,884,605,371912.26,59786.48,1462.17,65,118,57
7_178,85,884,606,371912.26,59593.93,4932.71,65,118,44
7_210,85,884,606,371912.26,59593.93,1462.17,65,118,57
8_178,85,884,611,371912.26,59538.16,4932.71,65,118,44
8_210,85,884,611,371912.26,59538.16,1462.17,65,118,57
9_178,85,884,634,371880.63,34840.94,4932.71,65,118,44
9_210,85,884,634,371880.63,34840.94,1462.17,65,118,57
11_178,85,884,635,371880.63,34771.27,4932.71,65,118,44
11_210,85,884,635,371880.63,34771.27,1462.17,65,118,57
12_178,85,884,636,371880.63,34760.01,4932.71,65,118,44
12_210,85,884,636,371880.63,34760.01,1462.17,65,118,57
13_178,85,884,642,238984.92,93110.88,4932.71,65,115,44
13_210,85,884,642,238984.92,93110.88,1462.17,65,115,57
14_178,85,884,643,237979.03,93110.88,4932.71,65,115,44
14_210,85,884,643,237979.03,93110.88,1462.17,65,115,57
35_178,85,884,694,292990.62,93098.7,4932.71,65,116,44
35_210,85,884,694,292990.62,93098.7,1462.17,65,116,57
36_178,85,884,696,292750.88,93098.7,4932.71,65,116,44
36_210,85,884,696,292750.88,93098.7,1462.17,65,116,57
37_178,85,884,697,292537.88,93098.7,4932.71,65,116,44
37_210,85,884,697,292537.88,93098.7,1462.17,65,116,57
38_178,85,884,698,292277.71,93098.7,4932.71,65,116,44
38_210,85,884,698,292277.71,93098.7,1462.17,65,116,57
48_178,85,884,721,245175.18,93110.88,4932.71,65,114,44
48_210,85,884,721,245175.18,93110.88,1462.17,65,114,57
50_178,85,884,723,245153.2,93110.88,4932.71,65,114,44
50_210,85,884,723,245153.2,93110.88,1462.17,65,114,57
