Time (s),Number of Solutions
0,7
1,5
14,6
15,6
16,6
28,6
541,7
546,8
556,7
559,7
560,7
562,7
563,8
564,8
2813,9
2814,9
2838,10
2848,9
2859,9
2860,9
2862,9
2863,9
2880,10
2883,10
2911,10
2920,10
7425,11
7426,11
7433,11
7437,11
7438,11
7439,11
7442,11
7444,11
7450,12
7452,12
7465,12
7466,12
7467,12
7468,12
7471,12
7475,12
7483,11
7499,12
7500,12
7506,12
7508,11
7509,11
7511,11
7516,12
7517,12
7518,11
7520,11
7542,11
7543,11
7811,12
7813,12
7814,12
7815,12
7958,13
7992,13
7993,13
8101,13
8102,13
8103,13
8104,13
8386,14
8387,14
8388,14
8393,13
8394,13
8395,13
8399,13
9349,14
9352,14
9354,14
9355,14
9356,14
9357,14
9364,14
9365,14
9423,14
9428,14
9437,14
9438,14
9439,14
9441,14
9442,14
9476,15
9478,15
9479,15
9480,15
9483,15
9486,15
9489,15
9539,16
9543,16
9568,16
9570,16
9572,16
9576,16
9580,16
9582,15
9584,15
9585,14
9587,14
9588,14
9606,14
9607,14
9614,15
9616,15
9617,15
9714,16
9717,16
9725,13
9726,13
9729,13
9730,13
9734,13
9735,13
9740,13
9744,13
9745,13
9765,12
9768,12
9775,12
9803,12
9804,11
9805,10
9806,10
9808,10
9809,10
9810,10
9813,10
9815,10
9817,10
9818,10
9820,10
9838,10
9840,10
10183,10
10188,10
10193,11
10194,11
10234,11
10236,10
10237,11
10239,11
10241,9
10242,9
10244,9
10245,9
10246,9
10258,10
10259,10
10262,10
10266,10
10268,10
10269,10
10339,11
10342,12
10348,11
10349,11
10355,11
10360,11
10364,11
10376,9
10382,9
10383,9
10384,9
10386,9
10388,9
10397,9
10405,9
10406,9
10407,9
10411,9
10412,10
10415,10
10423,10
10425,10
10427,10
10428,10
10429,9
10431,9
10434,10
10436,10
10437,10
10454,11
10459,11
10460,11
10462,11
10463,11
10464,11
10471,11
10472,11
10486,11
10489,10
10493,10
10494,10
10495,10
10591,10
10592,10
10593,10
10650,11
10652,11
10654,11
10710,11
10726,11
10729,11
10942,11
10944,11
10945,11
10964,11
10966,11
10968,11
10978,11
10981,11
10983,11
10984,11
10988,10
10990,10
10991,10
10996,10
11001,10
11045,11
11046,11
11051,11
11061,11
11063,11
11065,10
11066,10
11067,10
11069,10
11082,10
11083,9
11084,9
11091,9
11092,9
11093,8
11095,8
11098,7
11107,7
11112,8
11114,8
11130,8
11139,8
11140,8
11141,8
11153,8
11155,8
11156,7
11254,7
11255,7
11311,8
11312,8
11314,8
11316,8
11321,9
11327,9
11334,9
11337,9
11345,9
11347,9
11375,9
11379,9
11381,9
11382,8
11466,9
11777,10
11787,10
11788,10
11789,10
11791,10
11793,9
11794,9
11797,9
11798,9
11799,9
11918,10
11966,11
11970,10
11971,10
11973,10
11975,10
11979,10
12014,11
12015,11
12016,11
12017,10
12018,10
12041,11
12042,11
12043,11
12044,11
12046,11
12074,11
12186,12
12187,12
12189,12
12194,12
12197,12
12200,12
12205,12
12206,11
12209,11
12222,11
12225,11
12227,11
12246,11
12247,11
12248,11
12262,11
12263,11
12273,10
12276,9
12277,9
12278,9
12284,10
12287,10
12333,11
12334,11
12340,11
12347,11
12349,10
12350,9
12352,9
12924,9
12925,9
12927,9
12931,9
12935,9
12938,9
12939,8
12952,9
12956,9
12957,9
12959,9
12961,9
12962,8
13044,9
13052,9
13053,9
13060,9
13085,9
13115,10
13120,9
13121,10
13130,10
13132,10
13158,9
13193,9
13194,9
13632,10
13644,10
13645,10
13647,10
13650,10
13657,10
13684,10
13700,11
13901,12
13902,12
13904,12
13910,12
13913,12
13914,12
13921,12
13922,12
13924,12
13926,12
13931,11
13934,11
13935,11
13938,11
13942,11
13943,11
13955,11
13956,10
13957,10
13960,9
13971,9
13973,8
13975,8
13981,8
13983,8
13984,8
13986,8
13990,7
13991,7
14005,7
14009,7
14029,7
14033,8
14041,8
14053,8
14060,7
14064,7
14143,8
14147,8
14148,8
14149,8
14153,8
14201,8
14204,8
14207,8
14212,8
14219,8
14220,8
14241,8
14307,8
14309,8
14311,8
14396,9
14397,10
14433,10
14435,10
14437,10
14438,9
14539,9
14540,9
14577,10
14592,11
14595,11
14599,11
14600,11
14611,11
14614,11
14690,11
14719,12
14724,12
14756,13
14767,13
14782,13
15570,13
15575,13
15586,14
15593,13
15595,13
15597,13
15601,13
15605,13
15617,13
15618,13
15627,13
15629,13
15631,13
15643,13
15679,14
15682,14
15684,14
15691,14
15693,14
15696,14
15708,13
15709,13
15778,13
15779,13
15780,13
15792,12
15795,12
15800,12
15808,12
15811,12
15814,12
15815,12
15816,12
15817,12
15818,12
15838,13
15843,13
15845,13
15848,12
15856,12
15857,11
15861,10
15952,11
15954,10
15965,10
15970,10
15975,9
15981,9
15983,8
15989,8
15990,8
15992,8
15997,8
15998,8
16065,8
16081,8
16083,8
16089,8
16090,7
16093,8
16095,8
16112,8
16123,9
16124,8
16131,8
16133,8
16134,7
16138,7
16139,5
16141,5
16143,5
16149,5
16159,5
16160,5
16165,6
16166,6
16438,7
16441,7
16456,7
16475,8
16476,8
16505,8
16506,8
16536,8
16544,9
16554,9
16558,9
16580,9
16620,6
16626,6
16629,5
16648,6
16665,6
16669,6
16683,6
16699,6
16703,6
16704,6
16708,6
16721,6
16742,7
16743,7
16744,7
16745,7
16772,8
16780,8
16784,8
16785,8
16787,8
16790,8
16792,8
16797,8
16798,8
16799,8
16800,8
16804,8
16805,8
16811,8
16813,8
16823,8
16831,8
16841,8
16846,8
16847,8
16849,9
16909,9
16917,9
17028,9
17029,9
17035,8
17036,8
17050,8
17057,8
17059,8
17060,8
17061,8
17073,8
17077,8
17079,8
17109,8
17112,8
17118,8
17120,8
17124,8
17127,8
17129,8
17130,7
17162,8
17340,8
17372,8
17458,8
17461,8
17462,8
17613,8
17620,7
17627,6
17629,6
17635,6
17642,5
17644,5
17645,5
17658,6
17660,6
17666,5
17670,5
17672,5
17703,5
17711,5
17712,5
17713,5
17714,5
17715,5
17717,5
17718,5
17728,5
17758,6
17759,6
17778,7
17787,7
17789,7
17791,7
17805,7
17813,7
17826,7
17831,7
17844,7
17856,8
17858,8
17868,8
17884,7
17895,8
17897,8
17904,8
17909,7
17911,7
17919,7
17923,6
17924,6
17929,6
17930,6
17931,6
17936,6
17937,5
18139,6
18141,7
18142,7
18152,7
18153,7
18249,7
18251,7
18252,7
18253,7
18263,7
18264,7
18266,7
18286,8
18295,8
18309,8
18310,8
18311,8
18316,7
18343,8
18344,8
18356,8
18382,7
18384,7
18385,7
18402,7
18403,7
18405,7
18412,6
18419,6
18428,6
18430,6
18445,6
18447,7
18451,7
18461,7
18580,7
18587,7
18592,6
18595,6
18619,6
18657,6
18658,6
18663,6
18665,6
18666,6
18671,7
18694,6
18707,6
18720,7
18726,7
18730,7
18733,7
18736,5
18738,5
18739,6
18741,6
18767,6
18773,6
18774,6
18781,6
18881,6
18886,6
18887,6
18966,6
18967,6
18990,7
18999,7
19002,7
19004,7
19006,7
19039,7
19050,7
19061,7
19066,7
19077,7
19082,7
19083,7
19085,7
19103,6
19107,6
19159,6
19182,6
19183,6
19187,6
19196,6
19208,6
19220,6
19239,7
19242,8
19257,6
19262,6
19264,5
19280,5
19282,5
19283,5
19286,5
19289,5
19296,5
19313,5
19322,5
19324,5
19342,5
19346,5
19391,6
19403,6
19405,6
19409,6
19422,6
19445,6
19452,6
19453,6
19456,7
19483,7
19489,7
19491,7
19500,7
19542,7
19546,7
19547,8
19553,8
19554,8
19581,8
19582,8
19584,8
19602,8
19611,8
19613,8
19615,8
19628,8
19629,8
19630,8
19686,9
19704,9
19738,9
19741,9
19745,9
19746,9
19777,9
19778,9
19779,9
19782,9
19783,9
19800,9
19807,9
19810,9
19811,9
19813,9
19817,8
19819,8
19826,8
19828,9
19830,9
19854,9
19871,9
19874,9
19881,8
19942,9
19947,8
19957,7
19963,7
19974,7
20024,7
20028,7
20029,7
20041,7
20048,7
20049,6
20053,6
20055,6
20059,7
20060,7
20061,7
20100,8
20106,8
20108,8
20400,8
20401,8
20409,8
20410,7
20419,7
20422,7
20431,7
20436,7
20453,7
20477,7
20481,7
20576,7
20582,7
20584,7
20586,7
20589,6
20593,6
20615,6
20643,6
20645,6
20661,7
20675,7
20677,7
20687,7
20688,6
20692,6
20697,5
20699,6
20701,6
20717,7
20745,7
20746,7
20748,7
20750,7
20752,5
20772,6
20777,6
20786,7
20790,7
20791,7
20844,7
20850,7
20860,5
20872,6
20877,6
20878,6
20892,5
20895,5
20897,5
20922,6
20926,7
20929,7
21103,8
21123,9
21128,9
21205,10
21249,10
21254,10
21260,10
21261,10
21271,10
21274,10
21296,10
21302,9
21306,9
21307,8
21308,8
21313,9
21319,9
21321,9
21327,9
21334,9
21355,9
21444,9
21463,9
21467,9
21468,9
21469,9
21499,8
21504,8
21507,8
21509,7
21510,6
21546,6
21549,7
21569,5
21574,6
21596,6
21601,5
21619,5
21620,6
21621,6
21622,6
21644,5
21645,5
21679,6
21685,6
21697,5
21711,5
21725,6
21733,6
21744,7
21747,7
21763,6
