Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
85,884,365,323458.0,64794.07,13431.31,65,118,206
85,884,366,322743.89,64829.81,13431.31,65,118,206
85,884,367,322760.73,64814.37,13431.31,65,118,206
85,884,368,322115.51,65175.13,13431.31,65,118,206
85,884,600,371912.26,59792.98,13409.1,65,118,207
85,884,605,371912.26,59786.48,13409.1,65,118,207
85,884,606,371912.26,59593.93,13409.1,65,118,207
85,884,611,371912.26,59538.16,13409.1,65,118,207
85,884,634,371880.63,34840.94,13416.87,65,118,206
85,884,634,371880.63,35128.81,13221.63,65,118,206
85,884,635,371880.63,34771.27,13416.87,65,118,206
85,884,636,371880.63,34760.01,13416.87,65,118,206
85,884,642,238984.92,93110.88,13592.55,65,115,204
85,884,643,237979.03,93110.88,13592.55,65,115,204
85,884,643,372642.43,36825.26,13026.4,65,118,206
85,884,649,373485.84,38077.93,13360.88,65,118,205
85,884,650,374164.7,39727.83,14015.94,65,118,204
85,884,650,374164.7,39727.83,14375.19,65,118,203
85,884,651,373824.55,39809.77,14375.19,65,118,203
85,884,656,374376.01,42704.81,14758.46,65,118,202
85,884,657,374643.63,43307.99,14583.47,65,118,202
85,884,658,374676.6,43307.99,14588.9,65,118,201
85,884,658,374799.88,43307.99,14800.76,65,118,200
85,884,661,374365.12,43589.04,14800.76,65,118,200
85,884,661,374365.12,43760.32,14588.9,65,118,202
85,884,663,373930.56,44134.19,14229.64,65,118,203
85,884,672,373736.96,46131.58,14424.87,65,118,202
85,884,673,374295.97,46364.45,14840.77,65,118,201
85,884,674,374295.97,46285.99,15048.72,65,118,200
85,884,676,373754.24,46152.76,15166.63,65,118,200
85,884,676,374278.78,46285.99,15048.72,65,118,200
85,884,676,374278.78,46287.56,14958.68,65,118,201
85,884,681,373487.97,46630.43,15403.93,65,118,200
85,884,692,376702.07,47855.61,14747.89,65,118,200
85,884,694,292990.62,93098.7,13480.41,65,116,206
85,884,696,292750.88,93098.7,13480.41,65,116,206
85,884,697,292537.88,93098.7,13480.41,65,116,206
85,884,698,292277.71,93098.7,13480.41,65,116,206
85,884,699,292277.71,93098.7,13480.41,65,116,206
85,884,700,378104.02,48870.79,14439.54,65,118,201
85,884,702,377696.56,49325.2,14415.54,65,118,201
85,884,703,377693.74,49325.2,14415.54,65,118,202
