Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
5,96,8,6504.64,95.86,29.73,5,9,4
5,96,9,5958.67,95.86,29.73,5,9,4
5,96,10,5876.9,95.86,29.73,5,9,4
5,96,12,5801.37,95.86,29.73,5,9,4
5,96,12,5996.69,191.73,29.73,5,8,4
5,96,16,5970.81,191.73,29.73,5,8,4
5,96,19,6312.24,122.26,29.73,6,8,4
5,96,22,5752.49,95.86,29.73,6,9,4
5,96,32,6590.04,69.46,29.73,5,10,4
5,96,33,6422.75,122.26,29.73,4,10,4
5,96,34,6141.09,175.07,29.73,4,10,4
5,96,34,6340.31,122.26,29.73,4,10,4
5,96,35,6123.98,175.07,29.73,4,10,4
5,96,35,6141.09,122.26,29.73,4,10,4
5,96,56,7827.5,95.86,29.73,4,10,4
5,96,60,7769.84,95.86,29.73,4,10,4
