Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
9,67,35,7373.2,1789.18,13.42,5,11,8
9,67,36,7255.25,1789.18,13.42,5,11,8
9,67,36,7373.2,1748.26,13.42,5,11,8
9,67,36,7663.91,1899.76,13.42,5,10,8
9,67,37,7255.13,1747.94,13.42,5,12,8
9,67,37,7255.25,1747.94,13.42,5,11,8
9,67,37,7585.1,1899.76,13.42,5,10,8
9,67,38,7144.06,1747.94,13.42,5,12,8
9,67,38,7551.91,1899.76,13.42,5,9,8
9,67,38,8298.95,1623.1,13.42,5,11,8
9,67,39,6945.67,2238.94,13.42,5,11,8
9,67,39,6993.03,1747.94,13.42,5,12,8
9,67,39,7003.49,2031.65,13.42,4,11,8
9,67,39,7318.14,1994.14,13.42,4,11,8
9,67,39,8279.31,1745.85,13.42,5,12,8
9,67,40,6993.03,1596.5,13.42,5,12,8
9,67,40,7003.49,2002.17,13.42,4,11,8
9,67,40,7085.17,1934.68,13.42,4,11,8
9,67,40,8108.01,1681.29,13.42,5,11,8
9,67,41,6717.88,2114.04,13.42,4,11,8
9,67,41,7003.49,1961.09,13.42,4,11,8
9,67,41,7064.16,1869.36,13.42,5,11,8
9,67,41,7085.17,1891.67,13.42,4,11,8
9,67,41,7249.71,1800.75,13.42,4,11,8
9,67,41,7351.23,2069.63,13.42,4,10,8
9,67,41,7623.11,1550.85,13.42,4,12,8
9,67,41,7891.74,1554.12,13.42,4,11,8
9,67,42,6034.73,2000.03,13.42,4,11,8
9,67,42,6768.04,2230.66,13.42,5,8,8
9,67,42,6931.68,1961.09,13.42,4,11,8
9,67,42,7019.51,1934.68,13.42,4,11,8
9,67,42,7085.17,1872.88,13.42,4,11,8
9,67,42,7219.9,1731.92,13.42,4,8,8
9,67,42,7426.59,1283.49,13.42,4,8,8
9,67,43,6056.61,1973.18,13.42,4,12,8
9,67,43,6535.91,1778.16,13.42,5,12,8
9,67,43,6768.04,2157.55,13.42,5,8,8
9,67,43,6896.37,1924.64,13.42,5,11,8
9,67,43,6967.38,1872.88,13.42,4,11,8
9,67,43,7007.08,1775.45,13.42,4,11,8
9,67,43,7090.56,1805.03,13.42,4,8,8
9,67,43,7237.71,1566.12,13.42,4,11,8
9,67,44,5935.39,2132.41,13.42,4,11,8
9,67,44,5980.89,1962.9,13.42,4,11,8
9,67,44,6464.03,1858.92,13.42,5,12,8
9,67,44,6466.66,1902.47,13.42,4,11,8
9,67,44,6711.03,1748.68,13.42,4,11,8
9,67,44,6853.96,2053.5,13.42,5,9,8
