Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
9,84,37,7212.63,1657.75,180.08,5,9,8
9,84,37,7364.73,1551.06,180.08,5,10,8
9,84,37,7450.27,1537.16,180.08,5,10,8
9,84,38,7046.11,1634.63,180.08,5,9,8
9,84,38,7080.94,1549.05,180.08,5,9,9
9,84,38,7301.14,1489.89,180.08,5,10,8
9,84,38,7467.39,1118.94,24.41,5,9,11
9,84,39,6952.11,1549.05,102.25,5,9,9
9,84,39,7043.57,1461.57,180.08,5,10,8
9,84,39,7045.44,1553.57,180.08,5,9,8
9,84,39,7080.94,1533.35,180.08,5,9,9
9,84,39,7141.47,1309.44,180.08,5,10,10
9,84,39,7268.18,1445.68,102.25,6,9,9
9,84,39,7333.28,1118.94,24.41,5,9,11
9,84,39,7353.93,1428.83,180.08,6,11,9
9,84,39,7744.4,1212.95,102.25,5,9,10
9,84,39,7761.4,1065.73,102.25,6,9,10
9,84,39,7761.4,1156.15,102.25,5,9,10
9,84,40,7003.9,1527.03,180.08,5,10,8
9,84,40,7020.53,1553.57,180.08,5,9,8
9,84,40,7028.48,1499.06,180.08,5,9,8
9,84,40,7141.47,1272.73,180.08,5,10,10
9,84,40,7268.18,1442.38,102.25,6,9,9
9,84,40,7353.93,1407.47,180.08,6,11,9
9,84,40,7413.66,1325.67,180.08,5,9,9
9,84,40,7429.05,1202.35,180.08,6,9,10
9,84,40,7467.39,1089.82,24.41,5,9,11
9,84,40,7483.8,1460.87,24.41,5,10,10
9,84,40,7501.56,1112.43,180.08,6,9,9
9,84,40,7604.29,1379.65,24.41,5,10,10
9,84,40,7691.61,1212.95,180.08,5,10,10
9,84,40,7761.4,1071.83,102.25,5,9,10
9,84,40,7767.31,1058.66,24.41,6,9,10
9,84,40,7815.15,925.35,102.25,6,8,10
9,84,41,7003.9,1505.32,102.25,5,10,8
9,84,41,7119.16,1107.34,24.41,6,10,12
9,84,41,7179.3,1503.6,24.41,6,9,8
9,84,41,7225.16,1128.16,24.41,5,9,11
9,84,41,7244.39,1118.94,24.41,6,9,11
9,84,41,7278.91,1309.44,180.08,5,10,9
9,84,41,7299.36,1159.34,180.08,5,10,10
9,84,41,7308.1,1036.1,24.41,6,11,10
9,84,41,7394.28,1131.25,102.25,6,9,10
9,84,41,7401.76,1036.1,24.41,6,9,10
9,84,41,7402.8,1207.55,102.25,5,8,11
9,84,41,7413.66,1320.01,180.08,5,9,9
9,84,41,7413.66,1365.41,102.25,5,9,9
9,84,41,7453.09,1159.34,180.08,5,9,10
9,84,41,7483.8,1370.37,24.41,5,10,10
9,84,41,7633.53,1002.77,102.25,6,9,11
9,84,41,7688.16,1086.3,102.25,5,10,11
9,84,41,7750.81,925.35,102.25,6,8,10
9,84,41,7754.84,1095.31,102.25,5,10,10
9,84,41,7767.31,954.99,24.41,6,9,10
9,84,41,7812.3,1096.31,102.25,6,9,9
9,84,41,7838.68,1058.66,102.25,5,9,10
9,84,41,7928.48,1170.47,24.41,5,10,9
9,84,41,8037.8,1230.67,180.08,5,9,9
9,84,42,6705.99,1456.57,102.25,6,8,11
9,84,42,6844.67,1671.02,102.25,6,9,9
9,84,42,6943.75,1529.2,102.25,5,9,9
9,84,42,7003.9,1445.38,102.25,5,10,8
9,84,42,7032.45,1107.34,24.41,6,10,12
9,84,42,7087.47,1087.46,180.08,6,10,11
9,84,42,7125.64,1143.21,102.25,5,9,11
9,84,42,7127.41,1503.6,24.41,6,9,8
9,84,42,7133.84,1087.46,180.08,6,10,10
9,84,42,7151.42,1442.38,102.25,6,9,9
9,84,42,7156.39,1162.0,24.41,5,9,11
9,84,42,7179.3,1467.47,24.41,6,9,8
9,84,42,7193.84,1177.78,102.25,5,10,10
9,84,42,7238.14,1144.81,102.25,6,10,8
9,84,42,7247.75,1325.93,180.08,5,10,9
9,84,42,7268.8,1367.93,24.41,6,9,9
9,84,42,7269.95,1159.34,180.08,5,10,10
9,84,42,7275.37,1075.46,24.41,6,10,10
9,84,42,7280.22,1036.1,24.41,6,10,10
9,84,42,7284.03,1247.89,180.08,5,10,9
9,84,42,7324.36,990.92,102.25,6,11,11
9,84,42,7336.15,1402.57,102.25,6,9,8
9,84,42,7364.06,1036.1,24.41,6,9,10
9,84,42,7404.07,1365.41,24.41,5,9,10
9,84,42,7404.07,1365.41,102.25,6,9,9
9,84,42,7413.66,1310.35,102.25,6,9,9
9,84,42,7435.68,1222.37,102.25,6,9,9
9,84,42,7465.21,1119.39,180.08,6,9,9
9,84,42,7466.44,1198.32,24.41,5,11,10
9,84,42,7470.74,1370.37,24.41,5,10,9
9,84,42,7501.56,1084.93,180.08,6,9,9
9,84,42,7520.47,1085.52,102.25,5,9,11
9,84,42,7557.5,1345.81,24.41,5,10,10
9,84,42,7610.92,1095.31,102.25,5,10,10
9,84,42,7615.19,1319.14,102.25,5,9,10
9,84,42,7633.53,1026.97,24.41,6,9,10
9,84,42,7648.06,1108.0,24.41,5,10,10
9,84,42,7673.18,954.99,24.41,6,10,10
9,84,42,7675.94,891.21,24.41,6,10,11
9,84,42,7688.16,1003.1,102.25,5,10,11
9,84,42,7695.32,925.35,102.25,6,8,10
9,84,42,7699.17,1158.64,180.08,5,9,10
9,84,42,7793.92,1047.2,24.41,6,8,11
9,84,42,7793.92,1047.2,102.25,5,8,11
9,84,42,7812.3,1058.66,102.25,5,9,10
9,84,42,7893.83,1411.46,180.08,5,10,8
9,84,42,7962.75,1230.67,180.08,5,9,9
9,84,43,6692.29,1319.3,24.41,6,9,12
9,84,43,6705.99,1406.1,102.25,6,8,10
9,84,43,6794.38,1444.46,102.25,5,9,10
9,84,43,6839.02,1160.96,102.25,5,9,11
9,84,43,6844.67,1666.9,102.25,6,9,9
9,84,43,6898.33,1256.92,180.08,6,10,9
9,84,43,6943.75,1464.52,102.25,5,9,9
9,84,43,6978.11,1371.49,102.25,5,10,10
9,84,43,6986.13,1130.59,24.41,5,10,11
9,84,43,6991.42,1196.05,24.41,5,9,10
9,84,43,7132.7,1469.76,24.41,6,9,8
9,84,43,7133.84,1108.69,102.25,6,10,9
9,84,43,7145.64,1159.34,180.08,5,10,10
9,84,43,7194.07,1444.6,102.25,6,9,8
9,84,43,7195.53,1104.87,102.25,5,10,11
9,84,43,7199.75,1180.64,180.08,5,9,10
9,84,43,7212.67,1134.17,180.08,6,9,10
9,84,43,7220.25,1098.76,24.41,6,10,11
9,84,43,7227.3,1215.92,180.08,5,10,9
9,84,43,7232.07,1407.7,24.41,6,9,9
9,84,43,7264.45,1242.61,102.25,5,8,11
9,84,43,7268.8,1286.92,24.41,6,9,9
9,84,43,7322.45,1294.45,180.08,5,9,9
9,84,43,7325.93,1087.07,24.41,5,9,11
9,84,43,7325.93,1087.08,102.25,5,9,10
9,84,43,7331.96,1015.65,24.41,5,10,11
9,84,43,7336.86,1544.98,24.41,5,9,9
9,84,43,7336.86,1544.98,102.25,5,9,8
9,84,43,7337.06,1190.76,24.41,5,9,10
9,84,43,7348.94,1310.98,102.25,6,9,8
9,84,43,7380.48,925.35,102.25,6,9,10
9,84,43,7381.37,1119.39,180.08,6,9,9
9,84,43,7394.28,1084.93,102.25,6,9,9
9,84,43,7463.92,1529.17,24.41,5,9,8
9,84,43,7464.05,1034.4,24.41,6,9,10
9,84,43,7494.33,945.41,24.41,6,11,10
9,84,43,7523.37,925.35,102.25,6,8,10
9,84,43,7527.37,981.51,24.41,5,11,10
9,84,43,7543.04,1295.93,180.08,5,9,8
9,84,43,7633.53,986.01,24.41,6,9,10
9,84,43,7648.06,945.41,24.41,6,10,10
9,84,43,7673.18,928.87,24.41,6,10,10
9,84,43,7700.76,1003.1,102.25,5,9,11
9,84,43,7700.96,1474.3,24.41,5,9,9
9,84,43,7700.96,1501.04,24.41,5,9,8
9,84,43,7722.61,1474.3,24.41,5,9,8
9,84,43,7728.64,1047.2,102.25,5,8,11
9,84,43,7737.41,954.99,24.41,6,9,10
9,84,43,7739.77,1096.45,180.08,5,10,9
9,84,43,7781.13,1230.67,180.08,5,9,9
9,84,43,7783.06,1047.2,24.41,6,8,10
9,84,43,7845.26,1170.47,24.41,5,10,9
9,84,44,6640.51,1382.58,180.08,6,8,10
9,84,44,6696.48,1406.1,102.25,6,9,10
9,84,44,6762.91,1444.46,102.25,5,9,10
9,84,44,6768.07,1123.5,24.41,5,9,12
9,84,44,6768.07,1123.5,102.25,5,9,11
9,84,44,6831.88,1747.45,102.25,6,10,9
9,84,44,6838.97,1577.8,180.08,6,10,9
9,84,44,6843.83,1284.21,126.66,6,10,10
9,84,44,6844.67,1603.34,102.25,6,9,9
9,84,44,6849.48,1222.15,180.08,5,8,10
9,84,44,6863.9,1284.21,126.66,6,9,10
9,84,44,6868.19,1255.73,102.25,6,10,10
9,84,44,6880.83,1289.87,102.25,5,9,9
9,84,44,6898.33,1226.32,180.08,6,10,9
9,84,44,6924.38,1240.68,102.25,6,9,8
9,84,44,6978.11,1181.46,102.25,5,10,10
9,84,44,7003.9,1411.54,180.08,5,10,8
9,84,44,7008.82,1336.3,180.08,5,10,8
9,84,44,7034.2,1008.36,24.41,5,9,11
9,84,44,7055.64,1100.75,180.08,6,9,9
9,84,44,7101.82,1545.9,48.83,6,9,9
9,84,44,7132.7,1431.48,24.41,6,9,8
9,84,44,7133.04,1098.76,24.41,6,9,10
9,84,44,7133.84,1067.1,102.25,6,10,9
9,84,44,7161.76,1208.9,24.41,6,8,9
9,84,44,7191.61,1172.48,102.25,6,10,8
9,84,44,7196.4,1555.49,24.41,5,9,9
9,84,44,7198.58,1223.74,180.08,5,10,8
9,84,44,7207.15,1286.63,24.41,5,11,8
9,84,44,7213.09,1242.61,102.25,5,8,11
9,84,44,7220.25,1098.76,102.25,5,10,10
9,84,44,7238.14,1112.87,102.25,6,10,8
9,84,44,7286.2,1052.05,102.25,5,10,10
9,84,44,7320.84,981.51,24.41,5,10,10
9,84,44,7336.86,1482.71,102.25,5,9,8
9,84,44,7341.75,925.35,102.25,6,9,10
9,84,44,7382.38,1240.47,180.08,5,9,9
9,84,44,7408.03,1283.25,102.25,5,9,9
9,84,44,7409.74,1034.4,24.41,6,9,10
9,84,44,7415.8,957.27,24.41,5,10,11
9,84,44,7432.64,1109.48,24.41,5,9,10
9,84,44,7460.51,1529.17,24.41,5,9,8
9,84,44,7471.91,1182.64,24.41,6,8,10
9,84,44,7593.69,1474.3,24.41,5,9,9
9,84,44,7598.31,1503.22,24.41,5,9,8
9,84,44,7621.11,1107.18,24.41,6,10,8
9,84,44,7646.31,1101.84,24.41,6,10,9
9,84,44,7673.18,812.47,102.25,6,10,10
9,84,44,7673.18,837.01,24.41,6,10,10
9,84,44,7699.17,1097.59,180.08,5,9,9
9,84,44,7782.7,1241.74,24.41,5,9,9
9,84,45,6521.65,1098.43,24.41,6,9,10
9,84,45,6556.65,1453.27,102.25,6,8,10
9,84,45,6556.67,1382.58,180.08,6,8,10
9,84,45,6640.51,1372.73,180.08,6,8,10
9,84,45,6737.52,1148.25,24.41,5,9,11
9,84,45,6756.82,1747.45,102.25,6,10,9
9,84,45,6768.07,1111.54,24.41,5,9,12
9,84,45,6809.48,1429.41,102.25,5,9,10
9,84,45,6813.77,891.86,24.41,6,9,10
9,84,45,6830.84,867.99,102.25,5,8,10
9,84,45,6838.97,1549.05,180.08,6,10,9
9,84,45,6868.19,1226.32,180.08,6,10,9
9,84,45,6876.75,1240.68,102.25,6,9,8
9,84,45,6880.83,1181.46,24.41,5,9,9
9,84,45,6938.44,1008.36,24.41,5,9,11
9,84,45,6960.6,1221.6,102.25,6,9,8
9,84,45,6963.54,1160.96,24.41,5,9,10
9,84,45,6986.61,1287.12,180.08,5,9,8
9,84,45,7008.82,1241.28,180.08,5,10,8
9,84,45,7034.2,985.58,24.41,5,9,11
9,84,45,7053.42,1286.63,24.41,5,11,8
9,84,45,7078.32,1334.14,24.41,5,10,8
9,84,45,7124.03,1098.76,24.41,6,9,9
9,84,45,7124.74,1431.48,24.41,6,9,8
9,84,45,7135.2,1187.22,24.41,6,10,8
9,84,45,7161.76,1154.69,24.41,6,8,10
9,84,45,7178.96,1223.74,180.08,5,10,8
9,84,45,7237.17,1416.0,24.41,5,9,8
9,84,45,7238.14,1082.27,102.25,6,10,8
9,84,45,7305.17,1176.23,102.25,5,10,8
9,84,45,7313.15,1083.94,102.25,6,9,8
9,84,45,7320.84,814.75,24.41,5,10,11
9,84,45,7335.63,1118.41,24.41,5,9,9
9,84,45,7356.76,1109.48,24.41,5,9,10
9,84,45,7360.23,1052.05,102.25,5,10,9
9,84,45,7361.63,1053.36,24.41,5,9,10
9,84,45,7462.45,1041.31,24.41,6,10,9
9,84,45,7471.91,1060.53,24.41,6,8,9
9,84,45,7474.47,822.82,102.25,6,9,11
9,84,45,7570.91,1016.13,102.25,6,10,9
9,84,45,7621.11,1173.49,24.41,5,10,8
9,84,45,7782.32,895.15,24.41,6,10,9
9,84,46,6481.95,1163.89,24.41,6,9,10
9,84,46,6607.98,948.27,102.25,6,9,11
9,84,46,6626.93,1018.23,102.25,5,9,11
9,84,46,6640.51,1259.03,180.08,6,8,10
9,84,46,6645.68,948.27,102.25,6,8,11
9,84,46,6672.78,1005.73,102.25,5,8,10
9,84,46,6696.73,867.99,102.25,5,8,11
9,84,46,6709.8,1520.16,102.25,6,9,9
9,84,46,6717.06,1005.73,24.41,5,8,11
9,84,46,6735.03,1444.46,102.25,5,9,9
9,84,46,6784.62,831.87,24.41,5,8,10
9,84,46,6800.54,1351.44,102.25,6,9,9
9,84,46,6876.75,1094.53,102.25,6,9,8
9,84,46,6880.83,1287.12,180.08,5,9,8
9,84,46,6884.33,1792.19,102.25,6,8,8
9,84,46,6931.58,967.06,24.41,6,9,9
9,84,46,6937.3,967.06,102.25,6,9,8
9,84,46,6966.91,942.25,24.41,5,9,9
9,84,46,6968.9,937.67,102.25,6,9,9
9,84,46,7135.2,1187.2,24.41,6,10,8
9,84,46,7135.76,937.67,24.41,6,9,9
9,84,46,7160.91,1072.86,24.41,6,10,8
9,84,46,7189.83,1331.85,24.41,5,10,8
9,84,46,7198.58,1081.21,102.25,5,10,8
9,84,46,7288.93,1187.22,24.41,5,10,8
9,84,46,7376.8,814.75,24.41,5,10,10
9,84,46,7386.06,1414.31,24.41,5,9,8
9,84,46,7448.95,1171.47,24.41,5,10,8
9,84,46,7454.41,1098.18,102.25,6,8,9
9,84,46,7462.01,1092.94,24.41,5,10,8
9,84,46,7462.19,822.82,102.25,6,9,11
9,84,46,7611.24,783.36,102.25,6,10,9
9,84,46,7611.24,833.29,102.25,5,10,9
9,84,46,7627.29,1386.95,102.25,5,9,8
9,84,46,7645.42,813.9,102.25,5,10,10
9,84,46,7775.19,895.15,24.41,6,10,9
9,84,47,6463.0,1176.43,24.41,6,9,10
9,84,47,6521.65,1045.51,24.41,6,9,10
9,84,47,6556.67,1335.07,180.08,6,8,10
9,84,47,6619.09,1018.23,24.41,5,9,12
9,84,47,6619.09,1018.23,102.25,5,9,11
9,84,47,6640.51,1204.52,180.08,6,8,10
9,84,47,6657.01,1557.81,102.25,6,9,9
9,84,47,6659.03,976.4,102.25,5,9,11
9,84,47,6660.42,1284.45,102.25,6,9,9
9,84,47,6664.48,1185.59,204.49,6,8,10
9,84,47,6689.07,837.66,24.41,6,9,11
9,84,47,6701.23,1331.64,24.41,6,8,11
9,84,47,6707.96,1231.6,102.25,6,9,9
9,84,47,6835.56,1079.27,102.25,6,9,9
9,84,47,6835.56,1079.27,180.08,6,9,8
9,84,47,6847.02,1620.64,102.25,6,9,8
9,84,47,6854.28,967.06,102.25,6,9,8
9,84,47,6884.33,1706.41,102.25,6,8,8
9,84,47,6904.16,994.62,24.41,6,9,9
9,84,47,6907.44,933.22,24.41,6,9,9
9,84,47,6918.2,1269.58,180.08,6,8,8
9,84,47,6966.91,910.3,24.41,6,9,9
9,84,47,6968.9,965.67,102.25,6,9,8
9,84,47,7077.73,1361.29,24.41,5,10,8
9,84,47,7121.96,1116.03,24.41,6,10,8
9,84,47,7161.76,980.42,180.08,6,8,9
9,84,47,7161.76,1055.85,102.25,6,8,9
9,84,47,7219.13,1284.34,24.41,5,10,8
9,84,47,7227.97,1252.79,24.41,5,11,8
9,84,47,7233.56,1414.69,24.41,6,9,8
9,84,47,7267.89,1131.98,102.25,6,8,8
9,84,47,7292.85,822.82,24.41,6,9,12
9,84,47,7306.98,1090.63,24.41,5,9,8
9,84,47,7454.41,1182.9,24.41,6,8,9
9,84,47,7502.88,811.03,102.25,6,10,10
9,84,47,7502.88,833.29,102.25,5,10,9
9,84,47,7611.24,780.44,102.25,6,10,9
9,84,47,7635.84,766.44,102.25,6,10,10
9,84,48,6384.12,1156.8,102.25,6,8,11
9,84,48,6516.46,1253.15,102.25,6,9,9
9,84,48,6527.33,1040.67,24.41,6,9,9
9,84,48,6648.25,919.35,24.41,5,8,10
9,84,48,6689.07,895.41,102.25,6,9,10
9,84,48,6777.09,829.95,102.25,6,9,11
9,84,48,6822.13,1223.07,24.41,5,9,9
9,84,48,6882.78,933.22,102.25,6,9,8
9,84,48,6904.16,933.22,24.41,6,9,9
9,84,48,6931.55,1081.71,102.25,6,8,9
9,84,48,6967.26,1114.47,180.08,5,10,8
9,84,48,7000.62,988.75,180.08,6,8,9
9,84,48,7025.47,1255.97,180.08,6,8,8
9,84,48,7053.39,980.42,180.08,6,8,9
9,84,48,7076.04,1272.1,102.25,6,8,8
9,84,48,7121.96,1057.14,24.41,6,10,8
9,84,48,7135.2,1331.35,24.41,5,10,8
9,84,48,7190.65,1284.34,24.41,5,10,8
9,84,48,7211.51,1252.79,24.41,5,11,8
9,84,48,7218.48,929.52,24.41,5,9,9
9,84,48,7242.9,1125.38,102.25,5,9,8
9,84,48,7247.88,1254.92,102.25,6,8,8
9,84,48,7251.17,1217.15,102.25,6,8,8
9,84,48,7277.76,817.3,24.41,6,9,12
9,84,48,7285.03,1339.31,24.41,5,9,8
9,84,48,7288.93,1181.57,24.41,5,10,8
9,84,48,7292.85,783.46,24.41,6,9,12
9,84,48,7304.49,1278.2,102.25,5,8,9
9,84,48,7327.12,1108.98,24.41,6,8,9
9,84,48,7352.31,811.03,102.25,6,10,9
9,84,48,7392.91,1216.68,102.25,5,8,9
9,84,48,7454.41,1061.47,24.41,6,8,9
9,84,49,6318.62,1156.8,24.41,6,8,11
9,84,49,6318.62,1163.89,24.41,6,8,10
9,84,49,6516.46,1249.73,102.25,6,9,9
9,84,49,6672.78,913.52,24.41,5,8,10
9,84,49,6764.17,1135.09,24.41,5,9,9
9,84,49,6807.29,988.75,180.08,6,8,9
9,84,49,6816.55,904.84,102.25,6,9,9
9,84,49,6843.21,1450.75,180.08,5,9,8
9,84,49,6846.81,1122.46,24.41,6,10,8
9,84,49,6852.23,1405.7,102.25,6,8,9
9,84,49,6887.11,771.44,24.41,6,9,13
9,84,49,6896.13,771.44,24.41,5,9,13
9,84,49,6900.44,1671.15,24.41,6,8,9
9,84,49,6900.44,1671.15,102.25,6,8,8
9,84,49,6931.55,980.26,102.25,6,8,9
9,84,49,6954.15,890.66,24.41,6,8,9
9,84,49,6996.99,1259.35,180.08,6,8,8
9,84,49,6997.02,1524.82,102.25,5,10,8
9,84,49,7023.47,1357.17,24.41,5,9,8
9,84,49,7072.66,980.37,102.25,5,8,9
9,84,49,7077.74,805.28,24.41,6,10,12
9,84,49,7124.96,936.16,24.41,5,9,9
9,84,49,7143.14,1284.34,24.41,5,10,8
9,84,49,7165.05,1278.2,102.25,5,9,8
9,84,49,7277.76,783.46,24.41,6,9,12
9,84,49,7299.1,830.85,102.25,6,10,9
9,84,49,7310.0,1093.91,102.25,6,8,8
9,84,49,7373.54,800.32,102.25,6,10,9
9,84,49,7488.05,887.18,24.41,6,10,9
9,84,49,7488.05,909.82,24.41,5,10,9
9,84,49,7750.38,984.42,102.25,5,10,8
9,84,49,7813.08,1008.24,102.25,5,9,8
9,84,49,7851.76,823.89,102.25,5,9,10
9,84,49,8017.48,997.44,102.25,5,9,8
9,84,50,6542.4,1160.12,24.41,6,8,10
9,84,50,6563.76,1428.51,24.41,5,8,11
9,84,50,6585.02,1121.8,24.41,5,9,10
9,84,50,6630.68,1122.46,24.41,6,9,8
9,84,50,6644.45,1082.07,24.41,6,8,11
9,84,50,6645.52,1051.84,102.25,6,8,8
9,84,50,6668.25,1051.84,24.41,6,8,9
9,84,50,6672.29,1051.84,24.41,6,8,8
9,84,50,6725.95,1135.09,24.41,5,9,9
9,84,50,6764.17,1100.65,24.41,5,9,9
9,84,50,6885.09,961.64,24.41,6,9,9
9,84,50,6917.47,858.21,24.41,6,9,9
9,84,50,6931.55,1092.84,102.25,5,8,9
9,84,50,6932.69,1524.82,102.25,5,10,8
9,84,50,6998.31,1344.23,24.41,5,10,8
9,84,50,7041.11,936.16,24.41,5,9,9
9,84,50,7051.96,1332.03,24.41,5,10,8
9,84,50,7052.83,765.6,24.41,6,10,12
9,84,50,7078.03,1252.79,24.41,5,11,8
9,84,50,7094.25,829.19,24.41,6,10,11
9,84,50,7135.8,1169.42,24.41,5,11,8
9,84,50,7143.83,796.49,102.25,5,10,12
9,84,50,7158.37,1008.22,24.41,5,8,9
9,84,50,7171.77,913.3,24.41,5,9,9
9,84,50,7182.09,980.37,24.41,5,8,9
9,84,50,7245.36,1282.76,24.41,5,9,8
9,84,50,7258.84,1168.48,102.25,5,8,8
9,84,50,7269.29,1171.47,24.41,5,9,8
9,84,50,7286.83,800.32,102.25,6,10,9
9,84,50,7309.45,795.5,24.41,5,9,10
9,84,50,7476.11,909.82,24.41,5,10,9
9,84,50,7488.05,876.37,24.41,5,10,9
9,84,50,7725.85,984.42,102.25,5,10,8
