Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
9,84,39,6813.0,1739.05,24.41,6,9,8
9,84,39,7262.35,1600.16,24.41,6,9,9
9,84,40,6813.0,1710.98,24.41,6,9,8
9,84,40,6903.42,1628.45,24.41,6,9,9
9,84,40,7027.71,1600.16,24.41,6,9,9
9,84,40,7495.49,1363.65,24.41,6,9,10
9,84,41,6813.0,1674.27,24.41,6,9,8
9,84,41,6816.27,1608.81,24.41,6,9,9
9,84,41,6922.37,1552.04,24.41,6,9,9
9,84,41,6994.98,1600.16,24.41,6,8,9
9,84,41,7383.12,1351.04,24.41,6,9,9
9,84,42,7262.35,1519.01,24.41,6,9,10
9,84,42,7327.97,1351.04,24.41,6,9,9
9,84,42,7380.46,1351.03,24.41,6,9,9
9,84,43,7198.84,1351.03,24.41,6,9,9
9,84,45,7877.08,1588.09,24.41,5,9,10
9,84,46,7735.47,1588.09,24.41,5,10,10
9,84,46,7864.29,1588.09,24.41,5,9,10
9,84,47,7509.79,1236.52,24.41,6,9,9
9,84,48,7427.11,1236.52,24.41,6,9,9
9,84,48,7460.99,1353.46,24.41,5,9,10
9,84,48,7460.99,1484.38,24.41,5,9,9
9,84,49,7397.07,1484.38,24.41,5,10,9
9,84,49,7825.71,1295.33,24.41,5,9,11
9,84,50,7164.27,1730.75,24.41,5,9,8
9,84,50,7190.97,1719.0,24.41,5,9,8
9,84,50,7336.15,1484.38,24.41,5,10,9
9,84,50,7380.6,1166.2,24.41,6,9,10
9,84,50,7717.4,1332.04,24.41,5,9,11
9,84,50,7734.9,1328.73,24.41,5,9,11
9,84,50,7799.3,1295.33,24.41,5,9,11
9,84,50,7821.02,1186.92,24.41,5,9,11
9,84,51,7086.95,1552.61,24.41,6,9,8
9,84,51,7164.27,1599.83,24.41,5,9,8
9,84,51,7467.3,1166.2,24.41,6,9,9
9,84,51,7596.63,1141.79,24.41,6,9,9
9,84,51,7782.3,1562.54,24.41,5,10,8
9,84,52,7086.95,1491.43,24.41,6,9,8
9,84,52,7692.78,1562.54,24.41,5,10,8
9,84,52,7720.66,1531.94,24.41,5,11,8
9,84,53,7136.49,1515.96,24.41,5,10,8
9,84,53,8077.2,1114.57,24.41,6,11,10
9,84,57,7589.15,1402.0,102.25,6,9,8
9,84,58,7242.95,1482.69,24.41,6,9,8
9,84,58,7654.09,1653.32,24.41,6,8,8
9,84,59,7537.23,1562.81,24.41,6,8,8
9,84,60,7393.62,1477.59,24.41,6,10,8
9,84,60,7491.58,1477.59,24.41,6,9,8
9,84,61,7533.47,1139.72,48.83,6,10,13
9,84,61,7653.11,1139.72,48.83,6,10,12
9,84,62,7689.85,1263.5,48.83,5,10,11
9,84,63,7692.11,1262.64,48.83,5,10,13
9,84,63,7818.36,1260.19,48.83,5,10,11
9,84,64,7637.05,1263.5,48.83,5,10,11
9,84,64,7763.21,1260.19,48.83,5,10,11
9,84,64,7814.27,1524.73,48.83,6,8,11
9,84,65,7391.56,1144.36,126.66,6,9,15
9,84,65,7676.6,1190.6,48.83,5,10,11
9,84,66,7360.09,1144.36,126.66,6,9,15
9,84,66,7636.96,1262.64,126.66,5,10,12
9,84,67,7498.03,1158.96,48.83,6,10,11
9,84,67,7775.85,1125.12,48.83,6,10,11
