Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
9,84,14,7142.01,1373.99,180.08,5,9,12
9,84,26,6765.11,1252.59,204.49,5,9,11
9,84,27,6765.11,1191.41,204.49,5,9,11
9,84,28,6765.11,1125.95,204.49,5,9,11
9,84,29,6765.11,1067.57,204.49,5,9,11
9,84,30,7890.83,1763.85,180.08,6,8,12
9,84,32,6765.11,1046.91,204.49,5,9,11
9,84,32,8071.66,1616.19,180.08,6,8,12
9,84,34,6765.11,1016.01,204.49,5,9,11
9,84,34,8594.45,1902.97,180.08,5,8,12
9,84,35,6765.11,979.3,204.49,5,9,11
9,84,35,8432.3,1729.43,180.08,5,8,12
9,84,36,8296.72,1729.43,180.08,5,8,12
9,84,37,8294.86,1534.67,180.08,6,8,12
9,84,38,6678.82,919.38,102.25,5,9,11
9,84,38,8250.55,1295.37,180.08,6,8,12
9,84,38,8339.13,1602.91,180.08,5,8,12
9,84,39,6546.29,999.82,102.25,5,8,10
9,84,39,6594.98,919.38,102.25,5,9,11
9,84,39,6678.82,861.08,102.25,5,9,11
9,84,39,6768.84,904.77,102.25,6,10,10
9,84,39,6814.64,996.26,102.25,5,10,9
9,84,39,6845.19,822.8,24.41,5,10,11
9,84,40,6336.33,542.21,102.25,6,9,11
9,84,40,6528.89,963.7,102.25,6,8,10
9,84,40,6549.17,908.04,102.25,6,8,11
9,84,40,6551.45,953.22,102.25,5,9,10
9,84,40,6594.98,911.01,102.25,5,9,11
9,84,40,6663.58,822.8,24.41,5,9,11
9,84,40,6738.54,1008.0,102.25,5,10,9
9,84,40,6768.84,887.56,102.25,6,10,10
9,84,40,6845.19,761.74,24.41,5,10,11
9,84,40,6884.08,881.36,102.25,6,10,10
9,84,40,7082.14,993.16,24.41,6,9,10
9,84,40,7155.43,1063.11,102.25,5,9,9
9,84,41,6336.33,488.01,102.25,6,9,11
9,84,41,6336.33,542.21,102.25,5,9,11
9,84,41,6466.42,905.75,102.25,6,8,10
9,84,41,6526.94,962.08,102.25,5,9,10
9,84,41,6528.89,902.51,102.25,6,8,10
9,84,41,6549.17,871.92,102.25,6,8,11
9,84,41,6594.98,911.01,102.25,5,9,10
9,84,41,6620.15,905.75,24.41,6,9,10
9,84,41,6620.15,955.68,24.41,5,9,10
9,84,41,6671.09,867.69,102.25,6,9,10
9,84,41,6683.22,867.69,102.25,5,9,10
9,84,41,6738.54,996.26,102.25,5,10,9
9,84,41,6817.31,761.74,24.41,5,9,11
9,84,41,6817.31,761.74,102.25,5,9,10
9,84,41,6867.37,916.65,102.25,5,11,9
9,84,41,6995.36,1070.94,102.25,6,9,9
9,84,42,6336.33,456.62,102.25,6,9,11
9,84,42,6336.33,488.01,102.25,5,9,11
9,84,42,6441.89,902.51,102.25,6,8,10
9,84,42,6526.94,900.89,102.25,5,9,10
9,84,42,6596.33,959.47,24.41,5,9,10
9,84,42,6646.56,867.69,102.25,6,9,10
9,84,42,6666.69,888.06,102.25,5,9,10
9,84,42,6683.22,859.31,102.25,5,9,10
9,84,42,6683.22,859.31,180.08,5,9,9
9,84,42,6772.47,888.65,102.25,5,10,9
9,84,42,6812.05,825.47,102.25,6,10,9
9,84,42,6927.44,1417.47,24.41,6,9,9
9,84,42,7026.14,1054.2,102.25,5,9,9
9,84,42,7068.61,1104.77,102.25,6,10,8
9,84,42,7123.92,1054.2,102.25,5,9,8
9,84,42,7163.81,1097.28,24.41,6,9,9
9,84,43,6336.33,456.62,102.25,5,9,11
9,84,43,6466.42,871.92,102.25,6,8,10
9,84,43,6534.9,900.89,102.25,5,9,9
9,84,43,6596.33,921.19,24.41,5,9,10
9,84,43,6611.67,907.44,24.41,5,9,11
9,84,43,6619.14,896.44,102.25,5,9,10
9,84,43,6642.51,906.86,24.41,6,8,10
9,84,43,6650.07,889.4,24.41,5,8,11
9,84,43,6683.22,836.08,180.08,5,9,9
9,84,43,6688.63,888.65,102.25,5,10,9
9,84,43,6715.57,869.6,24.41,6,8,11
9,84,43,6715.57,870.04,24.41,5,8,11
9,84,43,6752.27,728.2,102.25,5,9,9
9,84,43,6789.43,1461.55,24.41,6,9,9
9,84,43,6789.43,1472.27,24.41,6,9,8
9,84,43,6927.44,1255.42,24.41,6,9,9
9,84,43,6976.04,903.0,24.41,6,9,10
9,84,43,6982.19,1147.75,24.41,6,9,9
9,84,43,7068.61,1087.98,102.25,6,10,8
9,84,43,7078.18,1030.26,24.41,6,9,9
9,84,43,7090.09,887.14,24.41,6,9,10
9,84,43,7236.0,1280.0,102.25,5,8,9
9,84,44,6443.79,869.6,24.41,6,8,11
9,84,44,6521.47,699.08,24.41,6,8,11
9,84,44,6537.33,871.32,24.41,6,8,10
9,84,44,6593.74,760.14,24.41,6,8,10
9,84,44,6596.33,806.29,24.41,5,9,11
9,84,44,6700.98,728.2,102.25,5,8,10
9,84,44,6738.94,671.56,24.41,5,8,9
9,84,44,6789.43,1395.6,24.41,6,9,8
9,84,44,6825.31,764.98,102.25,5,9,8
9,84,44,6885.76,670.45,102.25,5,9,10
9,84,44,6977.96,720.1,102.25,5,10,8
9,84,45,6429.99,787.73,102.25,5,8,10
9,84,45,6429.99,787.73,180.08,5,8,9
9,84,45,6430.05,871.32,24.41,6,8,11
9,84,45,6537.28,740.22,180.08,5,8,10
9,84,45,6558.88,871.32,24.41,5,9,11
9,84,45,6593.74,784.26,24.41,6,8,9
9,84,45,6607.17,740.22,180.08,5,8,9
9,84,45,6644.03,700.82,24.41,5,9,11
9,84,45,6664.09,700.82,24.41,5,8,11
9,84,45,6670.44,728.54,24.41,5,9,10
9,84,45,6673.47,836.33,102.25,5,9,8
9,84,45,6673.99,728.2,102.25,5,8,10
9,84,45,6690.5,703.04,102.25,5,8,9
9,84,45,6690.5,728.54,24.41,5,8,10
9,84,45,6726.31,670.45,102.25,5,8,10
9,84,45,6728.32,702.44,102.25,5,9,9
9,84,45,6818.74,646.03,102.25,5,8,9
9,84,45,6825.31,731.57,102.25,5,9,8
9,84,45,6847.3,640.97,102.25,5,8,10
9,84,45,6968.95,720.1,102.25,5,10,8
9,84,45,7256.94,1079.02,24.41,6,10,8
9,84,45,7395.94,1064.82,24.41,5,9,8
9,84,46,6472.04,849.7,24.41,5,9,10
9,84,46,6521.47,866.13,24.41,6,8,10
9,84,46,6524.88,843.52,24.41,5,9,9
9,84,46,6537.28,684.59,180.08,5,8,10
9,84,46,6537.3,740.22,180.08,5,8,9
9,84,46,6541.63,743.09,24.41,5,9,11
9,84,46,6633.49,670.45,102.25,5,8,10
9,84,46,6644.03,691.39,24.41,5,9,11
9,84,46,6644.03,728.54,24.41,5,9,10
9,84,46,6658.79,731.57,102.25,5,9,8
9,84,46,6667.62,909.95,24.41,5,8,10
9,84,46,6686.47,671.56,24.41,6,8,9
9,84,46,6701.98,702.44,102.25,5,9,9
9,84,46,6738.94,640.97,102.25,5,8,10
9,84,46,6805.01,646.03,102.25,5,8,9
9,84,46,6847.3,602.69,24.41,5,8,11
9,84,46,6928.23,612.2,102.25,5,8,9
9,84,46,7225.75,1078.06,24.41,5,9,8
9,84,46,7395.41,1086.44,24.41,5,8,8
9,84,47,6366.49,869.6,24.41,6,8,11
9,84,47,6458.98,849.7,24.41,5,9,10
9,84,47,6472.08,849.7,24.41,5,9,9
9,84,47,6474.36,992.28,24.41,6,8,10
9,84,47,6500.35,843.52,24.41,5,9,10
9,84,47,6551.77,901.91,24.41,5,8,10
9,84,47,6553.01,731.57,102.25,6,9,9
9,84,47,6553.01,799.25,102.25,5,9,9
9,84,47,6557.06,827.24,24.41,5,9,9
9,84,47,6650.87,660.86,102.25,5,8,10
9,84,47,6665.31,671.56,24.41,6,8,9
9,84,47,6675.03,629.1,24.41,5,8,9
9,84,47,6703.08,1212.16,180.08,6,8,8
9,84,47,6761.1,602.69,24.41,5,8,11
9,84,47,6772.16,577.76,24.41,5,9,11
9,84,47,6828.09,577.76,24.41,5,9,10
9,84,47,6922.46,646.03,102.25,5,8,8
9,84,47,6943.32,577.76,102.25,5,9,9
9,84,47,7002.26,612.2,102.25,5,8,8
9,84,47,7279.08,1601.59,24.41,5,8,8
9,84,47,7296.72,1510.0,24.41,5,8,8
9,84,47,7351.89,1073.37,24.41,5,8,8
9,84,47,7395.41,1069.66,24.41,5,8,8
9,84,48,6440.04,787.23,102.25,6,9,9
9,84,48,6440.04,837.16,102.25,5,9,9
9,84,48,6441.23,909.95,24.41,6,8,10
9,84,48,6444.49,868.07,24.41,5,8,11
9,84,48,6444.49,887.41,24.41,5,8,10
9,84,48,6472.46,812.41,24.41,5,8,10
9,84,48,6481.95,721.77,102.25,6,9,10
9,84,48,6481.95,771.7,102.25,5,9,10
9,84,48,6510.24,783.24,180.08,5,8,10
9,84,48,6512.08,790.53,24.41,5,9,9
9,84,48,6536.04,602.69,24.41,5,8,10
9,84,48,6561.74,637.13,102.25,5,9,9
9,84,48,6590.37,748.55,102.25,5,9,8
9,84,48,6617.0,629.1,24.41,6,8,9
9,84,48,6646.62,724.14,102.25,6,9,8
9,84,48,6672.29,579.29,24.41,6,9,10
9,84,48,6701.22,577.76,24.41,5,9,11
9,84,48,6772.16,541.63,24.41,5,9,11
9,84,48,6824.06,541.63,24.41,5,9,10
9,84,48,7149.61,1079.02,24.41,6,9,8
9,84,48,7247.69,1547.41,24.41,5,8,8
9,84,48,7387.89,973.85,24.41,6,8,8
9,84,49,6416.45,837.16,102.25,5,9,9
9,84,49,6420.8,637.13,24.41,5,8,9
9,84,49,6512.51,812.48,102.25,6,9,8
9,84,49,6553.01,731.57,102.25,6,9,8
9,84,49,6561.88,724.14,102.25,5,9,8
9,84,49,6592.98,579.29,24.41,6,9,10
9,84,49,6592.98,579.29,102.25,6,9,9
9,84,49,6619.91,693.54,102.25,5,9,8
9,84,49,6628.17,629.1,102.25,6,8,8
9,84,49,6663.23,935.73,24.41,5,10,8
9,84,49,6672.29,579.29,24.41,5,9,10
9,84,49,6683.29,935.73,24.41,5,9,8
9,84,49,7213.42,1364.3,24.41,5,8,8
9,84,49,7272.66,973.85,24.41,6,8,8
9,84,49,7351.89,1042.77,24.41,5,8,8
9,84,49,7488.82,841.15,24.41,6,9,8
9,84,49,7536.78,906.61,24.41,6,8,8
9,84,50,6396.77,921.66,24.41,6,9,10
9,84,50,6416.45,759.08,102.25,5,9,10
9,84,50,6512.51,779.08,102.25,6,9,8
9,84,50,6561.88,693.54,102.25,5,9,8
9,84,50,7033.33,877.99,24.41,6,9,8
9,84,50,7185.12,1298.62,24.41,5,8,8
9,84,50,7248.13,969.58,24.41,6,8,8
9,84,50,7319.29,1130.72,24.41,5,8,8
9,84,50,7387.89,942.73,24.41,6,8,8
9,84,50,7488.82,833.73,24.41,6,9,8
9,84,51,6374.1,763.04,102.25,5,9,9
9,84,51,6940.53,971.66,24.41,6,8,8
9,84,51,6973.29,905.89,24.41,6,10,8
9,84,51,6982.84,848.94,24.41,6,10,8
9,84,51,6992.16,947.31,24.41,6,8,8
9,84,51,7019.66,877.99,24.41,6,9,8
9,84,51,7062.69,942.35,24.41,5,8,8
9,84,51,7112.96,905.13,24.41,6,8,8
9,84,51,7131.73,808.97,24.41,6,10,8
9,84,51,7450.39,840.68,24.41,6,9,8
9,84,51,7486.15,833.73,24.41,6,9,8
9,84,52,6385.34,995.29,24.41,6,9,10
9,84,52,6436.18,966.61,24.41,6,9,8
9,84,52,6618.24,951.28,24.41,6,9,8
9,84,52,6626.2,1002.09,24.41,5,9,8
9,84,52,6655.8,957.9,24.41,5,10,8
9,84,52,6866.06,907.89,180.08,5,8,8
9,84,52,6926.85,1005.06,24.41,6,8,8
9,84,52,6972.19,921.26,24.41,6,9,8
9,84,52,6973.29,837.62,24.41,6,10,8
9,84,52,7112.96,877.13,24.41,6,8,8
9,84,52,7112.96,908.51,24.41,5,8,8
9,84,52,7118.94,808.97,24.41,6,10,8
9,84,52,7599.28,846.8,24.41,6,8,8
9,84,53,6373.56,971.28,24.41,6,9,10
9,84,53,6469.68,1113.62,24.41,5,9,8
9,84,53,6790.06,932.43,24.41,5,10,8
9,84,53,6817.94,863.55,24.41,6,9,8
9,84,53,6978.85,999.68,24.41,5,8,8
9,84,53,7024.3,808.97,24.41,6,10,8
9,84,53,7425.63,697.61,24.41,5,10,8
9,84,54,6790.06,863.55,24.41,6,10,8
