Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
6,46,10,5080.25,258.87,0,5,10,0
6,46,10,5228.29,416.44,0,4,10,0
6,46,11,4312.37,243.04,0,5,7,0
6,46,11,4438.69,258.87,0,4,8,0
6,46,11,4531.99,258.87,0,4,7,0
6,46,12,4199.44,258.87,0,4,7,0
6,46,12,4261.45,243.04,0,5,7,0
6,46,13,4160.21,258.87,0,4,7,0
6,46,13,4214.08,243.04,0,5,7,0
6,46,14,4101.21,274.9,0,4,7,0
6,46,15,4053.85,274.9,0,4,7,0
6,46,16,4427.93,557.37,0,6,6,0
6,46,17,4426.17,557.37,0,6,6,0
6,46,18,4022.9,274.9,0,4,8,0
6,46,18,4388.74,557.37,0,6,6,0
6,46,19,4011.62,274.9,0,5,8,0
6,46,19,5350.49,566.12,0,5,6,0
6,46,21,5534.97,546.47,0,5,6,0
6,46,23,4396.17,1326.41,0,5,6,0
6,46,23,5321.26,465.07,0,6,6,0
6,46,23,5808.73,727.58,0,4,6,0
6,46,24,4339.64,1276.37,0,6,6,0
6,46,24,5808.73,707.94,0,4,6,0
6,46,25,5237.6,506.95,0,6,6,0
6,46,26,4978.29,489.72,0,6,6,0
6,46,26,5232.33,734.19,0,5,6,0
6,46,26,5333.71,694.98,0,5,6,0
6,46,27,4918.08,532.52,0,5,6,0
6,46,28,4233.27,1303.91,0,5,6,0
6,46,28,4254.95,1271.98,0,6,6,0
6,46,29,4233.27,1093.32,0,5,6,0
6,46,32,4232.96,1328.92,0,5,6,0
6,46,35,4826.39,1080.5,0,5,6,0
