Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
22,210,111,10902.47,3089.05,69.97,11,21,20
22,210,112,10852.76,3109.32,69.97,11,21,20
22,210,112,10887.24,3089.05,69.97,11,22,20
22,210,112,11960.3,3379.73,9.85,11,23,24
22,210,112,12181.18,2848.31,9.85,10,22,24
22,210,112,12289.77,2785.67,9.85,10,22,22
22,210,113,10852.76,3196.88,120.19,11,21,19
22,210,113,10971.17,3052.98,73.76,12,21,21
22,210,113,10972.9,3052.98,0.0,12,21,22
22,210,113,11857.29,2553.17,0.0,12,21,26
22,210,113,11960.3,3320.16,9.85,11,23,24
22,210,113,12127.26,3453.9,9.85,11,23,22
22,210,113,12156.18,2859.47,9.85,11,22,24
22,210,113,12156.18,2869.96,9.85,11,22,23
22,210,113,12181.18,2809.38,9.85,10,22,24
22,210,113,12183.39,3327.12,0.0,11,23,26
22,210,113,12233.7,2785.67,9.85,10,22,22
22,210,113,12289.77,2724.08,9.85,10,22,23
22,210,114,10852.76,3236.42,50.22,11,21,20
22,210,114,10852.76,3243.9,0.0,11,21,21
22,210,114,10868.45,3089.05,69.97,11,22,20
22,210,114,10881.04,3082.18,0.0,11,21,21
22,210,114,10901.8,3042.78,0.0,12,21,21
22,210,114,10914.53,3042.78,73.76,12,21,20
22,210,114,11766.32,2537.82,0.0,12,22,25
22,210,114,11827.89,2553.17,0.0,12,20,26
22,210,114,11921.15,2678.16,9.85,13,21,22
22,210,114,12038.51,2996.06,39.05,12,23,24
22,210,114,12086.34,2869.96,9.85,11,22,23
22,210,114,12167.6,2662.26,9.85,11,22,23
22,210,114,12167.6,2728.29,9.85,10,22,23
22,210,114,12233.7,2728.29,9.85,10,22,22
22,210,115,10852.76,3171.73,0.0,11,21,21
22,210,115,10852.76,3209.37,50.22,11,21,20
22,210,115,10868.16,3089.05,69.97,11,22,20
22,210,115,10891.52,3042.78,0.0,12,21,21
22,210,115,10928.38,3037.32,0.0,13,21,22
22,210,115,11576.28,2532.55,0.0,12,22,25
22,210,115,11692.23,2598.91,9.85,12,21,25
22,210,115,11693.69,2537.82,0.0,12,22,23
22,210,115,11699.44,2598.91,9.85,12,21,24
22,210,115,11795.54,2678.16,9.85,13,21,22
22,210,115,11827.89,2532.55,0.0,12,20,26
22,210,115,11843.07,2553.17,0.0,12,21,25
22,210,115,11921.15,2659.96,9.85,13,21,22
22,210,115,12120.09,2585.84,9.85,11,22,23
22,210,115,12169.16,2723.5,9.85,10,22,24
22,210,116,10852.76,3114.5,0.0,11,21,21
22,210,116,10868.16,3072.07,69.97,11,22,20
22,210,116,11575.19,2532.55,0.0,12,22,24
22,210,116,11626.07,2532.55,0.0,12,21,25
22,210,116,11692.23,2507.7,9.85,13,21,24
22,210,116,11725.56,2569.64,9.85,13,21,22
22,210,116,11725.56,2598.91,9.85,12,21,23
22,210,116,11762.83,2783.64,9.85,10,22,25
22,210,116,11770.04,2785.24,9.85,10,22,24
22,210,116,11820.62,2532.55,0.0,12,20,26
22,210,116,11820.89,2669.09,9.85,12,21,19
22,210,116,11949.61,2563.02,0.0,12,21,24
22,210,117,10829.43,3072.07,69.97,11,22,20
22,210,117,10852.76,3023.87,0.0,11,21,21
22,210,117,11003.4,3027.71,96.05,11,22,20
