Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Machines,Workers,Transport Attachments,Attachments
22,210,51,16043.62,4564.43,12,23,410.29,13.0
22,210,51,16043.62,4564.43,12,23,450.6,12.0
22,210,51,16043.62,4564.43,12,23,34.06,15.0
22,210,51,16043.62,4564.43,12,23,84.28,14.0
22,210,52,16043.62,4521.72,12,23,410.29,13.0
22,210,52,16043.62,4521.72,12,23,450.6,12.0
22,210,52,16043.62,4521.72,12,23,34.06,15.0
22,210,52,16043.62,4521.72,12,23,84.28,14.0
22,210,53,15922.94,4521.72,12,23,410.29,13.0
22,210,53,15922.94,4521.72,12,23,450.6,12.0
22,210,53,15922.94,4521.72,12,23,34.06,15.0
22,210,53,15922.94,4521.72,12,23,84.28,14.0
22,210,53,16067.49,4521.72,12,22,410.29,13.0
22,210,53,16067.49,4521.72,12,22,450.6,12.0
22,210,53,16067.49,4521.72,12,22,34.06,15.0
22,210,53,16067.49,4521.72,12,22,84.28,14.0
22,210,54,15789.49,4521.72,12,23,410.29,13.0
22,210,54,15789.49,4521.72,12,23,450.6,12.0
22,210,54,15789.49,4521.72,12,23,34.06,15.0
22,210,54,15789.49,4521.72,12,23,84.28,14.0
22,210,130,17517.36,3425.36,9,28,410.29,13.0
22,210,130,17517.36,3425.36,9,28,450.6,12.0
22,210,130,17517.36,3425.36,9,28,34.06,15.0
22,210,130,17517.36,3425.36,9,28,84.28,14.0
22,210,131,17517.36,3377.45,9,28,410.29,13.0
22,210,131,17517.36,3377.45,9,28,450.6,12.0
22,210,131,17517.36,3377.45,9,28,34.06,15.0
22,210,131,17517.36,3377.45,9,28,84.28,14.0
22,210,132,17517.36,3284.2,9,28,410.29,13.0
22,210,132,17517.36,3284.2,9,28,450.6,12.0
22,210,132,17517.36,3284.2,9,28,34.06,15.0
22,210,132,17517.36,3284.2,9,28,84.28,14.0
22,210,134,17517.36,3231.5,10,28,410.29,13.0
22,210,134,17517.36,3231.5,10,28,450.6,12.0
22,210,134,17517.36,3231.5,10,28,34.06,15.0
22,210,134,17517.36,3231.5,10,28,84.28,14.0
22,210,138,13635.57,6364.81,13,19,410.29,13.0
22,210,138,13635.57,6364.81,13,19,450.6,12.0
22,210,138,13635.57,6364.81,13,19,34.06,15.0
22,210,138,13635.57,6364.81,13,19,84.28,14.0
22,210,139,13172.53,6364.81,13,19,410.29,13.0
22,210,139,13172.53,6364.81,13,19,450.6,12.0
22,210,139,13172.53,6364.81,13,19,34.06,15.0
22,210,139,13172.53,6364.81,13,19,84.28,14.0
22,210,140,13120.73,6364.81,13,19,410.29,13.0
22,210,140,13120.73,6364.81,13,19,450.6,12.0
22,210,140,13120.73,6364.81,13,19,34.06,15.0
22,210,140,13120.73,6364.81,13,19,84.28,14.0
22,210,150,17918.89,1699.16,12,27,410.29,13.0
22,210,150,17918.89,1699.16,12,27,450.6,12.0
22,210,150,17918.89,1699.16,12,27,34.06,15.0
22,210,150,17918.89,1699.16,12,27,84.28,14.0
22,210,151,17918.89,1657.78,12,27,410.29,13.0
22,210,151,17918.89,1657.78,12,27,450.6,12.0
22,210,151,17918.89,1657.78,12,27,34.06,15.0
22,210,151,17918.89,1657.78,12,27,84.28,14.0
22,210,152,17918.89,1198.43,13,27,410.29,13.0
22,210,152,17918.89,1198.43,13,27,450.6,12.0
22,210,152,17918.89,1198.43,13,27,34.06,15.0
22,210,152,17918.89,1198.43,13,27,84.28,14.0
22,210,152,17918.89,1281.53,12,27,410.29,13.0
22,210,152,17918.89,1281.53,12,27,450.6,12.0
22,210,152,17918.89,1281.53,12,27,34.06,15.0
22,210,152,17918.89,1281.53,12,27,84.28,14.0
22,210,153,17918.89,1120.85,10,27,410.29,13.0
22,210,153,17918.89,1120.85,10,27,450.6,12.0
22,210,153,17918.89,1120.85,10,27,34.06,15.0
22,210,153,17918.89,1120.85,10,27,84.28,14.0
22,210,164,9486.01,6602.78,13,21,410.29,13.0
22,210,164,9486.01,6602.78,13,21,450.6,12.0
22,210,164,9486.01,6602.78,13,21,34.06,15.0
22,210,164,9486.01,6602.78,13,21,84.28,14.0
22,210,164,16953.67,5387.05,11,24,410.29,13.0
22,210,164,16953.67,5387.05,11,24,450.6,12.0
22,210,164,16953.67,5387.05,11,24,34.06,15.0
22,210,164,16953.67,5387.05,11,24,84.28,14.0
22,210,165,16793.96,5562.26,11,26,410.29,13.0
22,210,165,16793.96,5562.26,11,26,450.6,12.0
22,210,165,16793.96,5562.26,11,26,34.06,15.0
22,210,165,16793.96,5562.26,11,26,84.28,14.0
