Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
38,442,379,39024.4,15762.75,1688.59,22,51,82
38,442,379,39211.8,15973.4,1805.02,22,51,81
38,442,379,39211.8,15973.4,1860.05,22,51,80
38,442,380,39018.94,15794.27,1688.59,22,51,82
38,442,380,39024.4,15754.47,1688.59,22,51,82
38,442,380,39157.85,15973.4,1805.02,22,51,81
38,442,380,39205.39,15973.4,1860.05,22,51,80
38,442,380,39606.24,15731.51,1812.75,22,51,83
38,442,380,39711.53,15967.09,1864.93,22,51,81
38,442,381,38876.12,15800.82,1688.59,22,51,81
38,442,382,38863.58,15884.92,1688.59,22,50,81
38,442,383,38756.65,15971.29,1612.2,22,50,81
38,442,383,38851.7,15980.89,1566.6,22,50,82
38,442,383,38873.49,15859.66,1688.59,22,51,81
38,442,383,38876.12,15797.81,1688.59,22,51,81
38,442,383,39074.4,15947.01,1566.6,22,50,83
38,442,383,39114.51,15916.09,1566.6,22,50,81
38,442,384,38893.21,15970.54,1557.18,22,50,82
38,442,384,38893.21,15970.54,1612.2,22,50,81
38,442,384,38893.21,16148.5,1539.4,22,50,81
38,442,384,39119.88,16462.5,1534.54,22,50,80
38,442,384,39778.02,15780.05,1639.01,22,51,83
38,442,384,39794.34,15780.05,1639.01,22,51,82
38,442,384,39817.09,15794.08,1811.15,22,51,81
38,442,385,38950.09,16300.42,1447.53,22,50,82
38,442,385,38986.14,16090.55,1499.7,22,50,82
38,442,385,39119.88,16443.15,1534.54,22,50,80
38,442,385,39124.6,16321.62,1447.53,22,50,81
38,442,385,39357.81,16680.64,1567.78,22,50,79
38,442,385,40018.23,15962.92,2012.31,22,51,80
38,442,385,40018.23,15962.92,2103.45,22,51,79
38,442,385,40206.31,16034.48,2024.79,22,51,79
38,442,385,40227.9,15945.74,2033.27,22,51,79
38,442,385,40227.9,15945.74,2157.54,22,51,78
38,442,385,40294.6,16034.48,2070.39,22,51,78
38,442,388,40261.43,16663.99,1543.66,22,50,79
38,442,389,40249.67,16539.64,1543.66,22,50,79
38,442,391,40269.61,15691.51,1887.34,22,51,85
38,442,391,40382.91,16807.16,1408.76,22,50,82
38,442,392,40504.34,16688.58,1408.76,22,50,82
38,442,393,40853.02,16635.23,1982.58,22,49,88
38,442,393,40903.39,16690.34,2017.02,22,49,87
38,442,393,40922.68,16635.23,1961.99,22,49,89
38,442,393,41124.53,16338.33,2143.63,22,49,88
38,442,394,40603.44,16495.93,2098.02,22,49,87
38,442,394,40750.35,16440.22,2098.02,22,49,88
38,442,394,40843.75,16661.22,2017.02,22,49,87
38,442,394,40846.44,16287.85,2098.02,22,49,89
38,442,394,40885.85,16375.22,2098.02,22,49,88
38,442,394,40897.36,16342.44,2143.63,22,49,88
38,442,394,41041.42,16338.33,2143.63,22,49,88
38,442,394,41068.23,16315.72,2143.63,22,49,88
38,442,394,41938.61,17077.7,1855.36,22,50,78
38,442,395,40617.17,16477.45,2098.02,22,49,87
38,442,395,40918.77,16451.21,2181.58,22,48,88
38,442,395,40931.36,16246.22,2181.58,22,48,88
38,442,395,41068.23,16246.22,2143.63,22,49,88
38,442,395,41235.88,17066.89,1926.95,22,50,78
38,442,395,41273.65,17195.33,1966.57,22,48,84
38,442,395,41862.6,17054.58,1855.36,22,50,78
38,442,395,41867.93,17374.55,1868.6,22,48,86
38,442,395,41867.93,17374.55,1954.09,22,48,85
38,442,395,41956.07,17032.99,1855.36,22,50,78
38,442,396,40899.05,17050.98,1926.95,22,50,78
38,442,396,40911.45,17419.61,2085.41,22,48,83
38,442,396,40918.77,16405.28,2101.27,22,48,89
38,442,396,40918.77,16408.11,2181.58,22,48,88
38,442,396,40979.98,17209.76,2003.69,22,48,84
38,442,396,40979.98,17494.13,2049.3,22,48,83
38,442,396,41062.34,17482.7,2049.3,22,48,83
38,442,396,41235.88,17028.68,1926.95,22,50,78
38,442,396,41483.71,16986.25,1974.0,22,50,78
38,442,396,41499.52,17073.49,1907.54,22,50,78
38,442,396,41736.9,17374.55,1954.09,22,48,85
38,442,396,41767.99,17071.84,1907.54,22,50,78
38,442,396,41804.35,16959.61,1937.81,22,50,78
38,442,396,41805.17,17253.04,1914.4,22,48,86
38,442,396,41848.92,17388.13,1868.6,22,48,86
38,442,396,41848.92,17400.87,1868.6,22,48,86
38,442,397,40757.7,16966.27,1888.17,22,50,78
38,442,397,40817.03,17343.98,2085.41,22,48,83
