Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
5,96,26,6022.26,165.33,29.73,6,10,4
5,96,27,5927.51,165.33,29.73,6,10,4
5,96,28,5845.08,165.33,29.73,6,10,4
5,96,28,6130.2,165.33,29.73,6,9,4
5,96,29,5823.8,165.33,29.73,6,10,4
5,96,29,6044.0,165.33,29.73,6,9,4
5,96,30,5793.21,165.33,29.73,6,10,4
5,96,30,6027.48,165.33,29.73,6,9,4
5,96,31,5646.51,165.33,29.73,6,10,4
5,96,31,5819.7,165.33,29.73,5,10,4
5,96,31,5847.65,165.33,29.73,6,9,4
5,96,32,5561.95,165.33,29.73,6,10,4
5,96,32,5774.98,191.73,29.73,6,9,4
5,96,32,5798.85,165.33,29.73,6,9,4
5,96,32,5847.65,165.33,29.73,5,9,4
5,96,33,5806.79,165.33,29.73,5,10,4
5,96,34,5512.85,165.33,29.73,6,10,4
5,96,34,5632.44,191.73,29.73,6,9,4
5,96,34,5643.37,165.33,29.73,6,9,4
5,96,34,5794.35,165.33,29.73,5,9,4
5,96,34,6305.05,95.86,29.73,6,10,4
5,96,35,5498.08,165.33,29.73,6,10,4
5,96,35,5581.19,165.33,29.73,6,9,4
5,96,35,6203.71,95.86,29.73,5,9,4
5,96,36,5469.23,165.33,29.73,6,9,4
5,96,36,6098.9,122.26,29.73,5,10,4
5,96,36,6117.94,95.86,29.73,5,9,4
5,96,37,5891.15,122.26,29.73,5,9,4
5,96,37,6038.69,95.86,29.73,5,9,4
5,96,38,5776.46,95.86,29.73,6,9,4
5,96,38,5866.44,122.26,29.73,5,9,4
5,96,38,6033.96,95.86,29.73,5,10,4
5,96,39,5687.42,165.33,29.73,5,10,4
5,96,39,5760.48,122.26,29.73,7,9,4
5,96,39,5825.48,95.86,29.73,5,9,4
5,96,40,5734.03,95.86,29.73,6,9,4
5,96,40,5763.79,191.73,29.73,5,9,4
5,96,40,5765.65,95.86,29.73,5,10,4
5,96,40,5790.82,95.86,29.73,5,9,4
5,96,40,6606.63,122.26,29.73,4,10,4
5,96,40,6866.72,95.86,29.73,4,10,4
5,96,41,5414.9,191.73,29.73,6,9,4
5,96,41,5570.0,165.33,29.73,5,9,4
5,96,41,5772.65,95.86,29.73,5,9,4
5,96,41,6550.42,122.26,29.73,4,10,4
5,96,41,6606.63,95.86,29.73,4,10,4
5,96,42,5421.93,165.33,29.73,6,9,4
5,96,42,5529.14,165.33,29.73,5,10,4
5,96,42,5699.19,95.86,29.73,6,9,4
5,96,43,5446.29,122.26,29.73,5,9,4
5,96,43,5493.22,95.86,29.73,6,10,4
5,96,43,5688.09,95.86,29.73,5,9,4
5,96,43,5760.58,95.86,29.73,4,9,4
5,96,44,5298.13,95.86,29.73,7,10,4
5,96,44,5313.17,95.86,29.73,6,10,4
5,96,44,5419.55,122.26,29.73,5,9,4
5,96,44,5596.81,95.86,29.73,7,9,4
5,96,44,5617.57,95.86,29.73,5,9,4
5,96,44,5688.09,95.86,29.73,4,9,4
5,96,45,5292.12,95.86,29.73,7,10,4
5,96,45,5298.13,95.86,29.73,6,10,4
5,96,45,5347.6,122.26,29.73,5,9,4
5,96,45,5563.22,95.86,29.73,5,9,4
5,96,45,5617.57,95.86,29.73,4,9,4
5,96,46,5205.59,122.26,29.73,5,9,4
5,96,46,5289.18,95.86,29.73,5,9,4
5,96,46,5506.99,122.26,29.73,4,9,4
5,96,46,5515.04,95.86,29.73,4,9,4
5,96,47,5172.58,122.26,29.73,6,9,4
5,96,47,5193.85,122.26,29.73,5,10,4
5,96,47,5205.59,95.86,29.73,5,9,4
5,96,47,5442.79,95.86,29.73,4,10,4
5,96,47,5487.34,95.86,29.73,4,9,4
5,96,48,5159.28,95.86,29.73,5,9,4
5,96,48,5345.36,95.86,29.73,4,9,4
5,96,50,5334.89,95.86,29.73,4,10,4
5,96,51,5076.8,191.73,29.73,7,10,4
5,96,51,5232.36,122.26,29.73,4,10,4
5,96,51,5275.38,122.26,29.73,4,9,4
5,96,52,5088.19,191.73,29.73,6,10,4
5,96,52,5325.11,95.86,29.73,4,9,4
5,96,53,4974.74,191.73,29.73,7,10,4
5,96,53,5226.57,122.26,29.73,4,9,4
5,96,53,5280.88,95.86,29.73,4,10,4
5,96,54,5112.41,165.33,29.73,6,10,4
5,96,54,5207.0,122.26,29.73,4,9,4
5,96,54,5279.03,95.86,29.73,4,9,4
5,96,55,5139.42,191.73,29.73,5,10,4
5,96,55,5257.76,95.86,29.73,4,9,4
5,96,56,5139.42,165.33,29.73,5,10,4
5,96,56,5172.22,95.86,29.73,4,9,4
5,96,57,5150.59,95.86,29.73,4,9,4
5,96,58,5068.16,95.86,29.73,4,9,4
5,96,58,8962.98,313.99,29.73,7,8,4
5,96,59,5033.87,95.86,29.73,4,10,4
5,96,59,5046.88,122.26,29.73,4,9,4
5,96,72,8948.31,313.99,29.73,7,8,4
5,96,73,8810.87,313.99,29.73,7,8,4
