Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
5,96,13,7388.07,95.86,29.73,5,9,4
5,96,15,6738.56,95.86,29.73,5,10,4
5,96,15,7315.4,95.86,29.73,4,9,4
5,96,16,6625.1,95.86,29.73,5,10,4
5,96,17,6567.84,95.86,29.73,5,10,4
5,96,17,7248.9,122.26,29.73,5,9,4
5,96,17,7282.66,95.86,29.73,4,9,4
5,96,18,6860.27,122.26,29.73,5,9,4
5,96,18,6893.89,95.86,29.73,5,9,4
5,96,19,6393.41,95.86,29.73,5,10,4
5,96,19,6748.23,95.86,29.73,5,9,4
5,96,19,7053.3,95.86,29.73,4,10,4
5,96,20,6641.15,95.86,29.73,5,9,4
5,96,20,6950.83,95.86,29.73,4,10,4
5,96,20,7239.8,122.26,29.73,4,9,4
5,96,21,6315.09,95.86,29.73,5,10,4
5,96,21,6598.52,95.86,29.73,4,9,4
5,96,22,6431.07,165.33,29.73,6,9,4
5,96,22,6577.25,95.86,29.73,4,9,4
5,96,23,6345.3,165.33,29.73,6,9,4
5,96,24,6339.28,165.33,29.73,6,9,4
5,96,24,6470.99,95.86,29.73,4,9,4
5,96,25,6259.35,313.99,29.73,7,9,4
5,96,25,6262.45,175.07,29.73,7,9,4
5,96,25,6298.63,165.33,29.73,6,9,4
5,96,25,6420.58,95.86,29.73,4,9,4
5,96,26,6169.47,175.07,29.73,7,9,4
5,96,26,6169.47,191.73,29.73,6,9,4
5,96,26,6169.69,191.73,29.73,5,9,4
5,96,26,6246.21,165.33,29.73,6,10,4
5,96,26,6277.36,165.33,29.73,6,9,4
5,96,26,6311.62,95.86,29.73,5,10,4
5,96,26,6319.57,95.86,29.73,5,9,4
5,96,27,6148.41,191.73,29.73,5,9,4
5,96,27,6192.62,165.33,29.73,5,10,4
5,96,27,6262.45,175.07,29.73,6,9,4
5,96,27,6400.32,95.86,29.73,4,9,4
5,96,28,6065.98,122.26,29.73,6,9,4
5,96,28,6065.98,191.73,29.73,5,9,4
5,96,28,6110.19,165.33,29.73,5,10,4
5,96,29,5925.02,165.33,29.73,5,10,4
5,96,32,6036.13,95.86,29.73,5,10,4
5,96,33,5967.23,95.86,29.73,5,10,4
5,96,34,5937.45,95.86,29.73,5,10,4
5,96,37,5883.59,191.73,29.73,6,10,4
5,96,38,5867.78,191.73,29.73,6,10,4
5,96,39,6129.63,148.66,29.73,5,9,4
5,96,40,6064.49,218.13,29.73,6,9,4
5,96,40,6100.29,148.66,29.73,5,9,4
5,96,41,5936.25,95.86,29.73,5,10,4
5,96,41,6039.78,218.13,29.73,6,9,4
5,96,42,5856.34,191.73,29.73,6,10,4
5,96,43,5854.21,191.73,29.73,6,10,4
5,96,43,6111.51,95.86,29.73,5,9,4
5,96,46,5985.66,218.13,29.73,6,9,4
5,96,47,5920.92,165.33,29.73,6,10,4
5,96,49,6008.8,191.73,29.73,6,9,4
5,96,49,6056.13,165.33,29.73,6,9,4
5,96,50,6041.09,165.33,29.73,6,9,4
5,96,51,6040.87,165.33,29.73,6,9,4
5,96,58,5902.75,165.33,29.73,7,10,4
