Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
5,96,13,6552.73,95.86,29.73,5,9,4
5,96,14,6329.37,122.26,29.73,6,9,4
5,96,14,6484.59,95.86,29.73,5,9,4
5,96,15,6329.37,95.86,29.73,6,9,4
5,96,15,6438.28,95.86,29.73,5,9,4
5,96,16,6220.22,95.86,29.73,6,10,4
5,96,16,6229.87,95.86,29.73,6,9,4
5,96,16,6353.81,95.86,29.73,5,10,4
5,96,16,6391.96,95.86,29.73,5,9,4
5,96,17,5988.07,95.86,29.73,6,10,4
5,96,17,6098.06,95.86,29.73,5,9,4
5,96,18,5879.05,95.86,29.73,6,10,4
5,96,18,5932.27,122.26,29.73,5,10,4
5,96,18,5939.59,95.86,29.73,6,9,4
5,96,18,6003.16,95.86,29.73,5,10,4
5,96,19,5772.68,95.86,29.73,6,9,4
5,96,19,5870.09,122.26,29.73,5,10,4
5,96,19,5932.27,95.86,29.73,5,10,4
5,96,19,5976.65,95.86,29.73,5,9,4
5,96,20,5755.54,95.86,29.73,6,9,4
5,96,20,5779.79,122.26,29.73,5,10,4
5,96,20,5839.62,95.86,29.73,5,10,4
5,96,20,5866.98,95.86,29.73,5,9,4
5,96,21,5689.34,95.86,29.73,6,10,4
5,96,21,5705.78,122.26,29.73,5,10,4
5,96,21,5738.5,95.86,29.73,6,9,4
5,96,21,5779.79,95.86,29.73,5,10,4
5,96,21,5820.67,95.86,29.73,5,9,4
5,96,21,6632.03,165.33,29.73,6,8,4
5,96,22,5521.51,95.86,29.73,7,10,4
5,96,22,5596.58,122.26,29.73,6,10,4
5,96,22,5609.5,95.86,29.73,6,10,4
5,96,22,5697.25,122.26,29.73,5,9,4
5,96,22,5714.56,95.86,29.73,6,9,4
5,96,22,5733.48,95.86,29.73,5,10,4
5,96,23,5504.2,95.86,29.73,7,10,4
5,96,23,5525.33,95.86,29.73,6,10,4
5,96,23,5644.46,95.86,29.73,6,9,4
5,96,23,5678.86,95.86,29.73,5,10,4
5,96,23,5679.08,122.26,29.73,5,9,4
5,96,23,5702.74,95.86,29.73,5,9,4
5,96,23,6578.0,165.33,29.73,6,8,4
5,96,24,5492.32,95.86,29.73,6,10,4
5,96,24,5525.7,95.86,29.73,5,10,4
5,96,24,5562.04,122.26,29.73,5,9,4
5,96,24,5576.21,95.86,29.73,6,9,4
5,96,24,5673.19,95.86,29.73,5,9,4
5,96,24,6150.31,95.86,29.73,4,10,4
5,96,24,6543.5,165.33,29.73,6,8,4
5,96,25,5529.9,95.86,29.73,6,9,4
5,96,25,5556.07,122.26,29.73,5,9,4
5,96,25,5562.04,95.86,29.73,5,9,4
5,96,25,6103.99,95.86,29.73,4,10,4
5,96,25,6486.23,165.33,29.73,6,8,4
5,96,26,5398.82,191.73,29.73,5,10,4
5,96,26,5408.45,165.33,29.73,5,10,4
5,96,26,5473.64,95.86,29.73,6,10,4
5,96,26,5478.44,122.26,29.73,7,9,4
5,96,26,5546.29,122.26,29.73,5,9,4
5,96,26,5556.07,95.86,29.73,5,9,4
5,96,26,6465.17,165.33,29.73,6,8,4
5,96,26,6584.86,95.86,29.73,4,9,4
5,96,27,5398.82,165.33,29.73,5,10,4
5,96,27,5403.75,95.86,29.73,6,9,4
5,96,27,5507.02,95.86,29.73,5,10,4
5,96,27,5513.28,122.26,29.73,5,9,4
5,96,27,5529.3,95.86,29.73,5,9,4
5,96,27,6539.89,95.86,29.73,4,9,4
5,96,28,5338.48,95.86,29.73,6,9,4
5,96,28,5513.28,95.86,29.73,5,9,4
5,96,28,6537.28,95.86,29.73,4,9,4
5,96,29,5372.58,165.33,29.73,5,10,4
5,96,29,5458.2,95.86,29.73,5,9,4
5,96,30,5277.09,191.73,29.73,5,10,4
5,96,30,5289.68,95.86,29.73,6,9,4
5,96,31,5215.65,191.73,29.73,5,10,4
5,96,31,5274.75,165.33,29.73,5,10,4
5,96,31,5421.44,95.86,29.73,5,9,4
5,96,31,6390.0,122.26,29.73,4,9,4
5,96,32,5215.65,165.33,29.73,5,10,4
5,96,32,5418.76,95.86,29.73,5,9,4
5,96,33,5409.78,95.86,29.73,5,10,4
