Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
5,96,4,6857.67,191.73,29.73,5,9,4
5,96,4,6864.27,122.26,29.73,6,9,4
5,96,9,7078.95,122.26,29.73,5,10,4
5,96,10,6976.42,122.26,29.73,5,10,4
5,96,11,6785.0,191.73,29.73,6,10,4
5,96,11,6861.82,122.26,29.73,6,10,4
5,96,12,6682.47,191.73,29.73,6,10,4
5,96,12,6815.8,122.26,29.73,5,10,4
5,96,13,6687.1,122.26,29.73,5,10,4
5,96,13,6998.59,95.86,29.73,7,10,4
5,96,16,6822.74,191.73,29.73,6,9,4
5,96,21,6986.18,95.86,29.73,7,10,4
5,96,23,6813.33,191.73,29.73,5,9,4
5,96,23,7029.74,95.86,29.73,6,10,4
5,96,24,7004.19,95.86,29.73,6,10,4
5,96,26,6766.01,244.53,29.73,5,9,4
5,96,32,6231.45,175.07,29.73,7,10,4
5,96,32,6266.02,175.07,29.73,6,10,4
5,96,33,6201.9,175.07,29.73,7,10,4
5,96,33,6231.45,244.53,29.73,6,10,4
5,96,33,6245.26,175.07,29.73,6,10,4
5,96,34,5885.95,191.73,29.73,5,10,4
5,96,34,6063.75,175.07,29.73,7,10,4
5,96,34,6143.23,175.07,29.73,5,10,4
5,96,35,5805.12,191.73,29.73,6,10,4
5,96,35,5833.32,191.73,29.73,5,10,4
5,96,35,6010.87,234.79,29.73,7,9,4
5,96,35,6081.33,175.07,29.73,5,10,4
5,96,36,5747.47,191.73,29.73,5,10,4
5,96,36,5846.85,175.07,29.73,7,10,4
5,96,36,6010.87,165.33,29.73,7,9,4
5,96,36,6035.02,175.07,29.73,5,10,4
5,96,37,5702.31,191.73,29.73,5,10,4
5,96,37,5846.85,175.07,29.73,6,10,4
5,96,37,5969.1,95.86,29.73,5,10,4
5,96,37,6001.09,165.33,29.73,7,9,4
5,96,38,5681.04,191.73,29.73,5,10,4
5,96,38,5826.59,175.07,29.73,7,10,4
5,96,38,5904.72,175.07,29.73,5,10,4
5,96,38,5917.48,165.33,29.73,6,10,4
5,96,38,5969.1,95.86,29.73,4,10,4
5,96,38,5996.2,165.33,29.73,7,9,4
5,96,39,5590.99,191.73,29.73,5,10,4
5,96,39,5722.54,175.07,29.73,5,10,4
5,96,39,5760.41,165.33,29.73,7,9,4
5,96,39,5863.94,165.33,29.73,6,10,4
5,96,39,5888.05,218.13,29.73,6,9,4
5,96,39,5890.77,95.86,29.73,5,10,4
5,96,40,5567.84,95.86,29.73,6,10,4
5,96,40,5722.54,95.86,29.73,5,10,4
5,96,40,5786.15,165.33,29.73,6,9,4
5,96,40,5890.77,95.86,29.73,4,10,4
5,96,41,5392.45,191.73,29.73,5,10,4
5,96,41,5462.25,95.86,29.73,5,10,4
5,96,41,5534.63,165.33,29.73,7,9,4
5,96,41,5816.39,95.86,29.73,4,10,4
5,96,42,5228.7,191.73,29.73,5,9,4
5,96,42,5365.01,95.86,29.73,7,10,4
5,96,42,5442.68,95.86,29.73,5,10,4
5,96,42,5518.83,165.33,29.73,7,9,4
5,96,42,5733.95,95.86,29.73,4,10,4
5,96,43,5136.66,191.73,29.73,7,10,4
5,96,43,5207.64,191.73,29.73,5,9,4
5,96,43,5332.53,165.33,29.73,6,10,4
5,96,43,5429.97,165.33,29.73,6,9,4
5,96,43,5689.84,95.86,29.73,4,10,4
5,96,44,5136.66,191.73,29.73,6,10,4
5,96,44,5187.55,191.73,29.73,5,9,4
5,96,44,5231.13,165.33,29.73,5,10,4
5,96,44,5344.37,95.86,29.73,5,10,4
5,96,44,5367.93,165.33,29.73,7,9,4
5,96,44,5395.92,165.33,29.73,6,9,4
5,96,44,5482.7,95.86,29.73,4,10,4
5,96,44,6498.84,122.26,29.73,5,9,4
5,96,45,5103.65,191.73,29.73,7,10,4
5,96,45,5115.39,191.73,29.73,6,10,4
5,96,45,5154.83,191.73,29.73,5,9,4
5,96,45,5217.6,165.33,29.73,5,10,4
5,96,45,5318.64,95.86,29.73,5,10,4
5,96,45,5361.55,165.33,29.73,6,9,4
5,96,45,6181.94,95.86,29.73,5,9,4
5,96,46,5136.66,191.73,29.73,6,9,4
5,96,46,5315.37,95.86,29.73,5,10,4
5,96,46,5349.37,165.33,29.73,6,9,4
5,96,46,5963.34,95.86,29.73,4,9,4
5,96,47,5025.67,191.73,29.73,7,10,4
5,96,47,5199.45,165.33,29.73,5,10,4
5,96,47,5285.9,95.86,29.73,5,10,4
5,96,47,5326.58,165.33,29.73,6,9,4
5,96,47,5444.09,95.86,29.73,4,10,4
5,96,48,5029.24,191.73,29.73,6,10,4
5,96,48,5058.7,191.73,29.73,5,10,4
5,96,48,5131.26,191.73,29.73,5,9,4
5,96,48,5158.58,165.33,29.73,5,10,4
5,96,48,5217.85,95.86,29.73,6,10,4
5,96,48,5408.99,122.26,29.73,4,10,4
5,96,48,5431.17,95.86,29.73,4,10,4
5,96,49,5021.39,191.73,29.73,7,10,4
5,96,49,5027.11,191.73,29.73,6,10,4
5,96,49,5113.09,191.73,29.73,5,9,4
5,96,49,5196.45,95.86,29.73,6,10,4
5,96,49,5271.5,95.86,29.73,5,10,4
5,96,49,5273.54,165.33,29.73,6,9,4
5,96,49,5424.2,95.86,29.73,4,10,4
5,96,49,5946.41,165.33,29.73,5,9,4
5,96,50,4993.24,191.73,29.73,6,10,4
5,96,50,5099.56,191.73,29.73,5,9,4
5,96,50,5222.69,95.86,29.73,5,10,4
5,96,50,5370.76,122.26,29.73,4,10,4
5,96,50,5372.88,95.86,29.73,4,10,4
5,96,50,5954.61,95.86,29.73,4,9,4
5,96,51,5108.02,95.86,29.73,5,10,4
