Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
9,84,13,7416.88,1711.95,102.25,6,9,9
9,84,13,7882.02,1598.91,24.41,6,9,9
9,84,14,7250.36,1711.95,102.25,6,9,9
9,84,14,7385.65,1711.95,24.41,6,9,10
9,84,14,7416.88,1650.9,102.25,6,9,9
9,84,14,7781.33,1598.91,24.41,6,9,9
9,84,14,7906.51,1474.28,24.41,6,9,9
9,84,15,7219.13,1711.95,102.25,6,9,9
9,84,15,7385.65,1603.56,102.25,6,9,9
9,84,15,7529.87,1491.63,102.25,6,10,10
9,84,15,7529.87,1559.98,102.25,6,10,9
9,84,15,7571.69,1491.63,24.41,6,9,10
9,84,15,7571.69,1491.63,102.25,6,9,9
9,84,15,7627.64,1467.21,102.25,6,9,11
9,84,15,7724.89,1526.67,48.83,6,9,9
9,84,15,7752.77,1474.28,24.41,6,10,9
9,84,15,7789.65,1474.28,24.41,6,9,9
9,84,15,7820.21,1598.91,48.83,6,8,9
9,84,15,7833.26,1474.28,24.41,6,8,9
9,84,15,7876.65,1978.0,24.41,6,9,8
9,84,15,7876.65,2044.8,24.41,5,9,9
9,84,15,7876.65,2086.39,24.41,5,9,8
9,84,15,7906.51,1334.3,24.41,6,9,9
9,84,16,7194.22,1711.95,102.25,6,10,9
9,84,16,7301.81,1606.86,102.25,6,9,10
9,84,16,7347.95,1833.34,24.41,6,10,11
9,84,16,7361.92,1705.0,102.25,6,10,9
9,84,16,7385.65,1502.11,102.25,6,9,9
9,84,16,7404.6,1711.95,102.25,6,9,8
9,84,16,7417.95,1491.63,24.41,6,9,10
9,84,16,7540.92,1492.3,102.25,6,9,9
9,84,16,7571.69,1383.23,102.25,6,9,11
9,84,16,7571.69,1423.96,24.41,6,9,10
9,84,16,7611.5,1660.45,24.41,5,9,9
9,84,16,7619.46,1609.98,24.41,6,9,9
9,84,16,7619.46,1660.45,102.25,5,9,8
9,84,16,7627.64,1383.23,24.41,6,9,10
9,84,16,7627.64,1410.25,102.25,6,9,9
9,84,16,7638.41,1555.77,24.41,6,9,9
9,84,16,7695.03,1978.96,24.41,6,9,8
9,84,16,7695.03,2086.39,24.41,5,9,8
9,84,16,7724.89,1470.98,24.41,6,9,9
9,84,16,7784.08,1694.28,24.41,5,8,9
9,84,16,7788.02,1660.45,24.41,5,8,9
9,84,16,7801.08,1606.24,24.41,6,8,9
9,84,16,7801.08,1660.45,102.25,5,8,8
9,84,16,7980.6,2045.49,24.41,5,9,8
9,84,16,8026.51,1594.49,0.0,6,9,9
9,84,17,7173.76,1806.05,102.25,6,9,10
9,84,17,7219.13,1687.91,180.08,6,9,10
9,84,17,7368.66,1675.25,102.25,6,9,9
9,84,17,7417.95,1461.03,24.41,6,9,10
9,84,17,7448.44,1660.45,24.41,6,10,9
9,84,17,7465.73,1660.45,24.41,5,9,9
9,84,17,7465.73,1660.45,180.08,5,9,8
9,84,17,7473.91,1410.25,102.25,6,9,9
9,84,17,7484.68,1649.73,24.41,6,9,8
9,84,17,7484.68,1660.45,24.41,5,9,8
9,84,17,7559.41,1451.48,24.41,6,9,11
9,84,17,7607.74,1538.81,24.41,6,8,10
9,84,17,7607.74,1538.81,102.25,6,8,9
9,84,17,7607.74,1647.22,102.25,5,8,9
9,84,17,7611.52,1611.33,24.41,5,9,9
9,84,17,7627.64,1345.11,102.25,6,9,9
9,84,17,7727.83,1660.45,24.41,5,8,9
9,84,17,7788.02,1626.01,24.41,5,8,9
9,84,17,7801.08,1552.02,24.41,5,8,9
9,84,17,7833.26,1444.54,102.25,6,8,10
9,84,18,7235.95,1647.0,102.25,6,9,10
9,84,18,7258.78,1714.65,24.41,5,9,9
9,84,18,7258.78,1754.01,102.25,5,9,8
9,84,18,7263.72,1337.53,24.41,6,10,10
9,84,18,7347.57,1337.53,24.41,6,9,10
9,84,18,7370.16,1538.81,102.25,6,9,9
9,84,18,7395.84,1660.45,180.08,5,10,9
9,84,18,7414.79,1684.79,24.41,5,10,8
9,84,18,7425.3,1606.24,24.41,5,9,9
9,84,18,7439.31,1724.89,24.41,5,9,8
9,84,18,7440.39,1606.24,24.41,5,9,8
9,84,18,7465.91,2086.39,24.41,5,8,8
9,84,18,7468.85,1410.25,126.66,6,10,9
9,84,18,7484.68,1581.92,24.41,6,9,9
9,84,18,7484.68,1581.92,102.25,6,9,8
9,84,18,7537.85,1538.81,102.25,6,8,9
9,84,18,7576.72,1396.64,102.25,6,10,9
9,84,18,7607.74,1473.35,126.66,6,8,9
9,84,18,7607.74,1477.75,24.41,6,8,10
9,84,18,7607.74,1477.75,102.25,6,8,9
9,84,18,7607.74,1599.76,102.25,5,8,9
9,84,18,7684.23,1660.45,24.41,5,8,9
9,84,18,7688.56,1315.24,102.25,6,9,9
9,84,18,7796.23,1606.24,24.41,5,8,9
9,84,18,7801.08,1548.64,102.25,5,8,8
9,84,18,7891.41,1461.1,24.41,6,8,9
9,84,19,7109.99,1472.97,24.41,6,10,10
9,84,19,7126.32,1717.1,102.25,6,9,10
9,84,19,7146.87,1337.53,24.41,6,10,10
9,84,19,7165.95,1337.53,24.41,6,9,10
9,84,19,7165.95,1446.55,102.25,6,9,9
9,84,19,7263.72,1276.47,24.41,6,10,10
9,84,19,7263.72,1337.53,102.25,6,10,9
9,84,19,7286.66,1714.65,24.41,5,9,8
9,84,19,7342.62,1606.24,24.41,5,10,8
9,84,19,7367.14,1606.24,24.41,6,9,9
9,84,19,7367.14,1681.67,24.41,5,9,10
9,84,19,7423.19,1660.45,24.41,6,9,8
9,84,19,7424.16,1660.45,24.41,5,9,8
9,84,19,7425.3,1606.24,24.41,5,9,8
9,84,19,7428.12,1547.5,24.41,6,9,8
9,84,19,7440.39,1557.12,24.41,5,9,8
9,84,19,7477.63,1538.81,102.25,6,8,9
9,84,19,7484.68,1548.64,24.41,5,9,8
9,84,19,7537.85,1491.35,102.25,6,8,9
9,84,19,7571.71,1356.05,102.25,6,9,9
9,84,19,7607.74,1413.75,102.25,6,8,9
9,84,19,7617.99,1522.16,102.25,5,8,9
9,84,19,7627.07,1322.17,24.41,6,9,10
9,84,19,7627.64,1318.59,102.25,6,9,9
9,84,19,7643.79,1316.72,102.25,6,9,9
9,84,19,7668.04,1454.3,24.41,5,9,8
9,84,19,7727.83,1606.24,24.41,5,8,10
9,84,19,7793.12,1660.45,102.25,5,8,8
9,84,19,7819.79,1368.73,24.41,6,10,9
9,84,20,7012.22,1337.53,24.41,6,9,10
9,84,20,7165.95,1231.87,24.41,6,9,11
9,84,20,7165.95,1249.93,24.41,6,9,10
9,84,20,7165.95,1259.17,24.41,6,9,9
9,84,20,7246.5,1547.5,24.41,6,9,8
9,84,20,7253.93,1714.65,24.41,5,9,10
9,84,20,7378.9,1655.91,102.25,5,9,8
9,84,20,7407.66,1655.91,24.41,5,9,8
9,84,20,7440.39,1511.23,24.41,5,9,8
9,84,20,7486.42,1454.3,24.41,5,9,8
9,84,20,7524.72,1491.35,102.25,6,8,10
9,84,20,7531.27,1491.35,102.25,6,8,9
9,84,20,7537.85,1413.75,102.25,6,8,9
9,84,20,7607.74,1396.34,102.25,6,8,9
9,84,20,7617.99,1376.09,180.08,6,8,9
9,84,20,7617.99,1383.83,102.25,6,8,9
9,84,20,7668.04,1398.67,24.41,6,9,8
9,84,20,7755.71,1643.66,24.41,5,8,9
9,84,21,6975.55,1446.55,102.25,6,9,9
9,84,21,7109.99,1302.26,24.41,6,10,10
9,84,21,7165.95,1234.69,24.41,6,9,9
9,84,21,7344.63,1655.91,24.41,5,9,8
9,84,21,7361.1,1548.64,24.41,5,9,8
9,84,21,7478.48,2083.08,102.25,5,8,8
9,84,21,7516.88,1413.75,102.25,6,8,9
9,84,21,7602.52,1345.92,24.41,6,9,8
9,84,21,7604.86,1305.37,102.25,6,8,9
9,84,21,7607.74,1555.49,126.66,5,8,10
9,84,21,7617.99,1251.16,102.25,6,8,9
9,84,21,7617.99,1397.19,24.41,6,8,10
9,84,21,7668.04,1385.43,24.41,5,9,8
9,84,21,7703.52,1794.58,102.25,5,8,8
9,84,21,7727.83,1548.64,102.25,5,8,8
9,84,22,7048.56,1259.17,24.41,6,9,9
9,84,22,7077.16,1790.29,102.25,5,9,9
9,84,22,7325.56,1660.45,24.41,5,9,9
9,84,22,7330.95,1712.84,24.41,5,9,8
9,84,22,7339.78,1655.91,24.41,5,9,9
9,84,22,7391.22,1544.97,24.41,6,9,8
9,84,22,7474.58,1413.75,102.25,6,8,9
9,84,22,7486.42,1375.61,24.41,6,9,8
9,84,22,7486.42,1437.82,24.41,5,9,8
9,84,22,7514.31,1393.11,24.41,5,9,8
9,84,22,7668.04,1367.2,24.41,5,9,8
9,84,23,6925.46,1302.26,24.41,6,10,11
9,84,23,7104.46,1234.69,24.41,6,9,9
9,84,23,7120.58,1233.03,24.41,6,9,10
9,84,23,7165.95,1234.36,24.41,6,9,9
9,84,23,7209.6,1544.97,24.41,6,9,8
9,84,23,7220.6,1199.93,24.41,6,9,9
9,84,23,7311.89,1849.91,24.41,6,8,10
9,84,23,7375.57,1454.3,24.41,6,9,8
9,84,23,7391.22,1436.56,24.41,6,9,8
9,84,23,7416.53,1509.91,24.41,5,10,8
9,84,23,7448.17,1434.97,102.25,6,8,9
9,84,23,7448.79,1454.3,24.41,5,9,8
9,84,23,7539.56,1512.38,48.83,6,8,11
9,84,23,7562.37,1359.63,102.25,6,8,9
9,84,23,7607.74,1551.22,126.66,5,8,10
9,84,23,7663.19,1385.43,24.41,5,9,9
9,84,24,7012.22,1233.75,24.41,6,9,9
9,84,24,7048.56,1198.59,24.41,6,9,9
9,84,24,7286.66,1633.09,102.25,5,9,10
9,84,24,7400.8,1454.29,24.41,5,9,8
9,84,24,7416.53,1403.38,24.41,5,10,8
9,84,24,7448.03,1649.36,102.25,6,8,10
9,84,24,7448.03,1679.96,102.25,6,8,9
9,84,24,7461.17,1419.86,24.41,5,9,8
