Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
38,442,101,22848.17,8508.35,959.97,21,40,22
38,442,101,22931.23,8229.8,959.97,21,40,22
38,442,102,22808.82,8212.45,959.97,21,40,22
38,442,105,23620.51,8343.43,971.09,22,39,22
38,442,106,23558.21,8343.43,971.09,22,39,22
38,442,107,22839.81,8210.29,959.97,21,40,22
38,442,107,23472.19,8381.12,971.09,22,39,22
38,442,108,22765.6,8293.44,959.97,21,40,22
38,442,108,22767.28,8210.29,959.97,21,40,22
38,442,109,22697.12,8293.44,959.97,21,40,22
38,442,109,23440.93,8412.34,971.09,22,39,22
38,442,109,23443.65,8380.34,971.09,22,39,22
38,442,110,22697.12,8236.27,959.97,21,40,22
38,442,110,23514.58,8715.66,892.54,22,39,23
38,442,110,23775.48,7905.95,936.92,21,41,21
38,442,110,23775.48,7905.95,1017.93,21,41,20
38,442,111,22298.15,7398.85,892.4,22,39,21
38,442,111,23649.53,7905.95,1017.93,21,41,20
38,442,111,23842.38,7900.74,1017.93,21,41,21
38,442,112,22298.15,7319.25,892.4,22,39,21
38,442,112,22939.38,7589.59,1013.01,22,40,20
38,442,113,22214.34,7704.2,918.27,22,39,21
38,442,113,22298.15,7280.97,892.4,22,39,21
38,442,113,22939.38,7492.85,1013.01,22,40,20
38,442,114,22291.22,7447.94,892.4,22,39,21
38,442,114,22558.44,7928.55,1034.86,21,39,20
38,442,114,23842.05,7888.39,1017.93,21,41,21
38,442,115,22143.2,7715.51,918.27,22,39,21
38,442,115,22185.22,7447.94,892.4,22,39,21
38,442,115,22460.75,8057.22,1034.86,21,40,20
38,442,115,22558.44,7951.94,1034.86,20,39,20
38,442,115,22925.72,7688.59,1013.01,22,40,20
38,442,116,23842.05,7733.55,1017.93,21,41,21
38,442,117,22904.99,7701.64,1013.01,22,40,20
38,442,117,23853.05,7713.11,1017.93,21,41,21
38,442,118,22893.12,7701.64,1013.01,22,40,20
38,442,118,23855.62,7672.27,1017.93,21,41,21
38,442,119,22673.98,8404.9,959.97,21,40,22
38,442,119,22674.42,8395.49,959.97,21,40,22
38,442,119,22823.31,7701.64,1013.01,22,40,20
38,442,120,22673.98,8402.96,959.97,21,40,22
38,442,120,23855.62,7644.43,1017.93,21,41,21
38,442,121,23828.56,7644.43,1017.93,21,41,21
38,442,122,23818.65,7666.1,1017.93,21,41,21
38,442,123,22410.27,8037.46,967.87,21,39,21
38,442,123,23788.37,7852.43,1017.93,21,41,21
38,442,123,23791.89,7802.17,1017.93,21,41,21
38,442,123,23818.65,7573.14,1017.93,21,41,21
38,442,124,22281.1,8037.52,967.87,21,39,21
38,442,124,22410.27,7973.08,967.87,21,39,21
38,442,124,22644.72,8398.19,959.97,21,40,22
38,442,124,23772.76,7852.43,1017.93,21,41,21
38,442,125,22575.84,8408.54,959.97,21,40,22
38,442,125,23772.76,7774.02,1017.93,21,41,21
38,442,126,22433.45,7920.67,967.87,21,39,21
38,442,126,22575.84,8405.0,959.97,21,40,22
38,442,126,22698.97,8457.1,959.97,20,40,22
38,442,127,22375.73,7920.67,967.87,21,39,21
38,442,127,22569.05,8458.17,959.97,20,40,22
38,442,127,22572.2,8457.1,959.97,20,40,22
38,442,127,22575.84,8414.5,959.97,20,40,22
38,442,127,23801.06,7678.88,1017.93,21,41,21
38,442,128,22398.14,7868.82,967.87,21,39,21
38,442,129,22386.66,7903.89,967.87,21,39,21
38,442,129,22645.45,8363.93,959.97,20,40,22
38,442,129,22739.9,8340.09,959.97,20,40,22
38,442,129,22969.9,9139.12,993.44,20,42,21
38,442,130,22474.41,7854.85,873.43,22,39,24
38,442,130,22668.36,8328.52,959.97,20,40,22
38,442,130,22900.03,9063.41,993.44,20,42,21
38,442,131,22449.34,7854.85,878.57,22,39,24
38,442,133,22511.81,7542.62,822.41,22,39,24
38,442,133,22612.3,8410.67,959.97,20,40,22
38,442,133,23753.05,7780.75,1017.93,21,41,21
