Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
5,96,11,6662.43,261.19,29.73,7,9,4
5,96,12,6454.21,191.73,29.73,7,9,4
5,96,13,6315.86,191.73,29.73,7,9,4
5,96,13,6454.21,165.33,29.73,7,9,4
5,96,14,5762.11,122.26,29.73,7,10,4
5,96,14,5786.59,122.26,29.73,7,9,4
5,96,15,5689.62,122.26,29.73,7,10,4
5,96,15,5762.11,95.86,29.73,7,10,4
5,96,15,5765.32,122.26,29.73,7,9,4
5,96,15,5845.17,95.86,29.73,7,9,4
5,96,16,5680.34,191.73,29.73,7,10,4
5,96,16,5684.72,122.26,29.73,7,10,4
5,96,16,5815.62,95.86,29.73,7,9,4
5,96,17,5564.77,95.86,29.73,7,9,4
5,96,18,5482.99,95.86,29.73,7,9,4
5,96,19,5424.85,95.86,29.73,7,10,4
5,96,19,5449.33,95.86,29.73,7,9,4
5,96,20,5390.98,95.86,29.73,7,10,4
5,96,20,5415.46,95.86,29.73,7,9,4
5,96,21,5357.97,165.33,29.73,7,10,4
5,96,21,5379.47,95.86,29.73,7,10,4
5,96,21,5382.44,95.86,29.73,7,9,4
5,96,22,5333.64,95.86,29.73,7,10,4
5,96,22,5353.11,95.86,29.73,7,9,4
5,96,23,5331.83,95.86,29.73,7,9,4
5,96,24,5329.59,95.86,29.73,7,9,4
5,96,26,5288.13,95.86,29.73,7,10,4
5,96,27,5275.7,95.86,29.73,7,10,4
5,96,27,5315.81,165.33,29.73,7,9,4
5,96,27,5317.37,95.86,29.73,7,9,4
5,96,28,5220.02,95.86,29.73,7,10,4
5,96,28,5282.8,95.86,29.73,7,9,4
5,96,28,5523.72,191.73,29.73,6,9,4
5,96,28,5633.87,165.33,29.73,6,9,4
5,96,29,5164.59,95.86,29.73,7,10,4
5,96,29,5223.18,95.86,29.73,7,9,4
5,96,29,5387.5,191.73,29.73,6,9,4
5,96,29,5449.85,165.33,29.73,6,9,4
5,96,30,5100.12,165.33,29.73,7,10,4
5,96,30,5140.43,95.86,29.73,7,10,4
5,96,30,5180.49,165.33,29.73,7,9,4
5,96,30,5202.12,95.86,29.73,7,9,4
5,96,30,5331.66,191.73,29.73,6,10,4
5,96,30,5340.95,191.73,29.73,6,9,4
5,96,30,5387.5,165.33,29.73,6,9,4
5,96,31,5074.95,165.33,29.73,7,10,4
5,96,31,5102.24,95.86,29.73,7,10,4
5,96,31,5124.65,165.33,29.73,7,9,4
5,96,31,5160.83,95.86,29.73,7,9,4
5,96,31,5294.41,191.73,29.73,6,9,4
5,96,31,5325.32,165.33,29.73,6,10,4
5,96,31,5340.95,165.33,29.73,6,9,4
5,96,32,4944.58,122.26,29.73,7,10,4
5,96,32,5006.93,95.86,29.73,7,10,4
5,96,32,5078.11,165.33,29.73,7,9,4
5,96,32,5139.77,95.86,29.73,7,9,4
5,96,32,5168.43,165.33,29.73,6,10,4
5,96,32,5294.41,165.33,29.73,6,9,4
5,96,33,4923.31,122.26,29.73,7,10,4
5,96,33,4933.65,95.86,29.73,7,10,4
5,96,33,5048.77,165.33,29.73,7,9,4
5,96,33,5059.58,191.73,29.73,6,10,4
5,96,33,5092.59,138.92,29.73,6,10,4
5,96,33,5098.47,95.86,29.73,7,9,4
5,96,33,5261.66,191.73,29.73,6,9,4
5,96,33,5263.04,165.33,29.73,6,9,4
5,96,34,4771.59,122.26,29.73,7,10,4
5,96,34,4797.82,95.86,29.73,7,10,4
5,96,34,5038.31,165.33,29.73,6,10,4
5,96,34,5045.36,165.33,29.73,7,9,4
5,96,34,5059.58,138.92,29.73,6,10,4
5,96,34,5071.45,191.73,29.73,6,9,4
5,96,34,5077.42,95.86,29.73,7,9,4
5,96,34,5207.68,165.33,29.73,6,9,4
5,96,34,5324.11,95.86,29.73,6,9,4
5,96,35,4741.98,95.86,29.73,7,10,4
5,96,35,4988.87,165.33,29.73,6,10,4
5,96,35,5019.12,191.73,29.73,7,9,4
5,96,35,5024.91,122.26,29.73,6,9,4
5,96,35,5036.12,95.86,29.73,7,9,4
5,96,35,5071.45,95.86,29.73,6,9,4
5,96,36,4707.52,95.86,29.73,7,10,4
5,96,36,4959.9,165.33,29.73,6,10,4
5,96,36,4988.87,138.92,29.73,6,10,4
5,96,36,5000.43,95.86,29.73,6,10,4
5,96,36,5006.74,122.26,29.73,6,9,4
5,96,36,5015.06,95.86,29.73,7,9,4
5,96,36,5024.91,95.86,29.73,6,9,4
5,96,37,4686.46,95.86,29.73,7,10,4
5,96,37,4944.74,191.73,29.73,6,10,4
5,96,37,4959.9,138.92,29.73,6,10,4
5,96,37,4962.73,95.86,29.73,6,10,4
5,96,37,4989.58,95.86,29.73,7,9,4
5,96,37,4998.46,95.86,29.73,6,9,4
5,96,38,4656.91,95.86,29.73,7,10,4
5,96,38,4879.4,191.73,29.73,6,10,4
5,96,38,4917.85,165.33,29.73,6,10,4
5,96,38,4938.63,138.92,29.73,6,10,4
5,96,38,4983.41,165.33,29.73,6,9,4
5,96,38,4995.26,95.86,29.73,6,9,4
