Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
5,96,4,6163.62,191.73,29.73,5,9,4
5,96,5,5969.77,191.73,29.73,6,9,4
5,96,5,6024.0,191.73,29.73,5,9,4
5,96,6,5889.75,165.33,29.73,6,9,4
5,96,6,5969.77,191.73,29.73,5,9,4
5,96,6,6037.53,165.33,29.73,5,9,4
5,96,6,6082.05,165.33,29.73,5,8,4
5,96,6,6130.81,95.86,29.73,5,8,4
5,96,7,5807.98,165.33,29.73,6,9,4
5,96,7,5889.75,165.33,29.73,5,9,4
5,96,7,5979.52,165.33,29.73,5,8,4
5,96,7,6023.32,95.86,29.73,5,9,4
5,96,7,6028.28,95.86,29.73,5,8,4
5,96,8,5785.09,165.33,29.73,6,9,4
5,96,8,5807.98,165.33,29.73,5,9,4
5,96,8,5897.75,165.33,29.73,5,8,4
5,96,8,5946.51,95.86,29.73,5,8,4
5,96,9,5785.09,165.33,29.73,5,9,4
5,96,9,5872.19,165.33,29.73,5,8,4
5,96,9,5897.75,95.86,29.73,5,8,4
5,96,9,6452.65,122.26,29.73,4,9,4
5,96,10,5833.95,95.86,29.73,5,8,4
5,96,10,6370.21,122.26,29.73,4,9,4
5,96,11,6287.52,122.26,29.73,4,9,4
5,96,11,6574.21,95.86,29.73,4,9,4
5,96,12,5758.42,95.86,29.73,5,8,4
5,96,12,6205.09,122.26,29.73,4,9,4
5,96,13,6122.65,122.26,29.73,4,9,4
5,96,13,6334.96,95.86,29.73,4,9,4
5,96,14,5736.76,165.33,29.73,5,9,4
5,96,14,5736.8,122.26,29.73,5,9,4
5,96,14,6040.22,122.26,29.73,4,9,4
5,96,14,6318.23,95.86,29.73,4,9,4
5,96,15,5687.15,122.26,29.73,5,9,4
5,96,15,5957.79,122.26,29.73,4,9,4
5,96,15,6233.68,95.86,29.73,4,9,4
5,96,15,6668.07,95.86,29.73,4,8,4
5,96,16,6183.12,95.86,29.73,4,9,4
5,96,16,6416.95,95.86,29.73,4,8,4
5,96,17,5664.93,165.33,29.73,5,9,4
5,96,17,6100.69,95.86,29.73,4,9,4
5,96,17,6314.42,95.86,29.73,4,8,4
5,96,18,5631.92,165.33,29.73,5,9,4
5,96,18,6079.41,95.86,29.73,4,9,4
5,96,18,6307.56,95.86,29.73,4,8,4
5,96,19,5731.86,95.86,29.73,5,9,4
5,96,19,5978.84,95.86,29.73,4,9,4
5,96,19,6201.51,95.86,29.73,4,8,4
5,96,20,5649.42,95.86,29.73,5,9,4
5,96,20,5896.41,95.86,29.73,4,9,4
5,96,20,6183.94,95.86,29.73,4,8,4
5,96,21,5855.24,95.86,29.73,4,9,4
5,96,22,5782.0,95.86,29.73,4,9,4
5,96,24,6111.06,95.86,29.73,4,8,4
5,96,25,5987.78,122.26,29.73,4,8,4
5,96,25,6026.5,95.86,29.73,4,8,4
5,96,26,5949.41,122.26,29.73,4,8,4
5,96,26,5987.78,95.86,29.73,4,8,4
5,96,27,5912.29,148.66,29.73,4,8,4
5,96,28,5884.17,95.86,29.73,4,8,4
5,96,30,5753.12,95.86,29.73,4,9,4
5,96,37,5592.24,165.33,29.73,6,10,4
5,96,41,5586.27,191.73,29.73,5,10,4
