Instance,Algorithm,Improvement_Time,DCI,Distribution Metric (DM),Hypevolume (Monte Carlo),PCI,PF-Share,Spacing,Spread
a3_o80_m10_an10_ar9_reduced,PSA,287.52,0.3314606741573034,0.3873230920485295,0.5361105614675894,0.1676546327949553,13.615023474178404,0.06454199785367723,0.6480808695913096
a3_o80_m10_an10_ar9_reduced,DBSA,50.95,0.9531835205992509,0.161642046099285,0.6124465985376084,0.11117240568023154,86.3849765258216,0.03677406770623362,0.6163772509516102
a5_o96_m10_an10_ar10_reduced,PSA,208.06,0.5229885057471265,0.30857260565483263,0.23104516837906067,0.1215271518505316,34.959349593495936,0.10224150997715821,0.6102162495393529
a5_o96_m10_an10_ar10_reduced,DBSA,43.77,0.6666666666666666,0.37078352738291276,0.22376536933825408,0.229772176507909,65.04065040650406,0.07735856660685823,0.5532479059655311
a10_o107_m5_an57_ar12,PSA,179.85,0.13095238095238093,0.3377148861583628,0.12196611765569346,0.1649769946302118,22.2972972972973,0.06676959448465818,0.666650134203752
a10_o107_m5_an57_ar12,DBSA,44.23,0.9261904761904763,0.17170943081394813,0.41983748253158404,0.12188225648515985,77.7027027027027,0.05785601043553752,0.5699487552846716
a10_o114_m6_an57_ar11,PSA,359.68,0.5433114035087719,0.3006310845787359,0.3649763165642684,0.14166520280482553,20.666666666666668,0.08340190637996758,0.9582707469982681
a10_o114_m6_an57_ar11,DBSA,60.17,0.8991228070175439,0.1683845510623778,0.40617847814574076,0.11118835800442771,79.33333333333333,0.06953479586472382,0.876069679541005
a10_o128_m6_an51_ar13,PSA,284.5,0.2625,0.22348727072557462,0.0018869582197083377,0.6173146087320023,20.0,0.0629164690040191,0.9464258772976754
a10_o128_m6_an51_ar13,DBSA,47.63,0.86,0.3468869779530098,0.009552725987273459,0.06849411645399685,80.0,0.0978521899292981,0.9238095238095239
a10_o144_m6_an53_ar12,PSA,214.94,0.6277372262773726,0.12161662519087565,0.41805773784708644,0.164286003482941,23.61111111111111,0.060283264733941175,0.6733607692007262
a10_o144_m6_an53_ar12,DBSA,40.74,0.8369829683698297,0.10337536261083545,0.4630123731609334,0.28604997831265233,76.38888888888889,0.0327214427012428,0.5471910078447445
a15_o170_m9_an80_ar18,PSA,376.0,0.3740808823529412,0.29443979292307565,0.004663788781665493,0.3186270113514971,17.27791361043195,0.055566812878322255,0.7874787596275094
a15_o170_m9_an80_ar18,DBSA,127.27,0.8520220588235294,0.08896084255253356,0.07620738082776628,0.1544914885039704,82.72208638956805,0.03190285205375849,0.840252148053222
a20_o236_m12_an106_ar24,PSA,982.93,0.6333967046894804,0.07879905018467924,0.140556944661229,0.1373214465875304,19.842007434944236,0.06112650392658024,0.9494089009581967
a20_o236_m12_an106_ar24,DBSA,205.15,0.9000316856780735,0.048866147426218906,0.19577191529474006,0.11115880411893772,80.15799256505576,0.04575301558365521,0.7846476034707794
a25_o306_m13_an127_ar31,PSA,965.57,0.6512836185819071,0.0672537508774116,0.11829941475148749,0.0830649918713399,36.6076527698458,0.04523130305593327,0.9679406912273938
a25_o306_m13_an127_ar31,DBSA,208.06,0.7105745721271394,0.0704336282394382,0.06297723058276578,0.24469231049977364,63.3923472301542,0.03430947737530315,0.7766608823877693
a30_o355_m18_an148_ar42,PSA,892.9,0.6005608974358975,0.11698215400782373,0.14523145479641558,0.12156647710859787,33.96851698425849,0.044139418859982786,0.8953225728207582
a30_o355_m18_an148_ar42,DBSA,292.14,0.8064903846153846,0.083479612433873,0.06311660817853967,0.1809504576031642,66.03148301574151,0.04062367406140694,0.8293202332066766
a40_o476_m22_an215_ar51,PSA,1417.14,0.49947698744769875,0.11663070838400592,0.009413348391499548,0.17366884777293876,36.95652173913043,0.027192445839445342,0.8592339377830029
a40_o476_m22_an215_ar51,DBSA,517.05,0.571652719665272,0.08888506610267703,0.026567514025211708,0.3132860490948247,63.04347826086957,0.017786920471342886,0.6494078175455539
a50_o578_m28_an276_ar66,PSA,2391.02,0.6429775280898876,0.04627284119258988,0.058216949619410645,0.1809208260400806,52.59146341463414,0.02494551919885294,0.8774831191717173
a50_o578_m28_an276_ar66,DBSA,621.56,0.6957865168539326,0.06783730350866793,0.0827259637685769,0.15682774629332766,47.40853658536585,0.03563568437717842,0.8248884762472269
