Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
15,170,100,16174.13,5418.45,90.28,9,18,15
15,170,101,16174.13,5339.92,320.26,9,18,15
15,170,101,16174.13,5416.78,90.28,9,18,14
15,170,102,16174.13,5244.76,320.26,9,18,15
15,170,103,16174.13,5251.13,271.96,9,18,16
15,170,103,16410.64,5416.78,368.56,9,18,13
15,170,103,16589.54,5487.06,138.58,9,18,13
15,170,103,16644.79,5464.01,138.58,9,18,13
15,170,103,16801.6,5408.24,90.28,9,18,14
15,170,103,16970.25,5482.12,90.28,9,18,13
15,170,104,16217.16,4838.38,271.96,9,18,16
15,170,104,16411.06,5487.06,138.58,9,18,13
15,170,104,16589.54,5464.01,138.58,9,18,13
15,170,104,16893.33,5556.0,90.28,9,18,13
15,170,104,17069.35,5405.46,138.58,9,18,12
15,170,104,17212.31,5247.71,138.58,9,18,12
15,170,104,17277.25,5181.51,138.58,9,18,13
15,170,105,16217.16,4735.57,271.96,9,18,16
15,170,105,16395.49,5487.06,368.56,9,18,13
15,170,105,16589.54,5430.93,138.58,9,18,13
15,170,105,16644.79,5408.24,90.28,9,18,14
15,170,105,17077.58,5247.71,138.58,9,18,12
15,170,105,17193.03,5188.18,368.56,9,18,13
15,170,105,17212.31,5188.18,138.58,9,18,12
15,170,105,17286.55,5156.99,138.58,9,18,13
15,170,106,16123.85,4744.83,271.96,9,18,16
15,170,106,16183.81,4735.57,271.96,9,18,16
15,170,106,16358.97,5167.05,138.58,9,18,14
15,170,106,16623.18,4920.15,90.28,9,18,14
15,170,106,16643.6,4839.23,320.26,9,18,14
15,170,106,16688.75,5097.13,320.26,9,18,13
15,170,106,16689.76,4834.35,90.28,9,18,14
15,170,106,17000.29,5362.89,368.56,9,18,12
15,170,106,17056.08,5362.89,138.58,9,18,12
15,170,107,16358.97,5071.51,138.58,9,18,14
15,170,107,16467.58,4701.55,550.25,9,18,16
15,170,107,16474.52,4963.08,368.56,9,18,13
15,170,107,16565.75,4920.15,90.28,9,18,14
15,170,107,16568.92,4647.9,550.25,9,18,16
15,170,107,16615.5,4644.75,550.25,9,18,17
15,170,107,16623.18,4797.64,90.28,9,18,14
15,170,107,16632.38,5003.22,90.28,9,18,13
15,170,107,16632.38,5003.22,138.58,9,18,12
15,170,107,17331.95,4837.6,326.59,9,18,13
15,170,108,16301.8,4963.08,368.56,9,18,13
15,170,108,16325.09,4611.31,271.96,9,18,16
15,170,108,16356.26,5128.56,138.58,9,18,14
15,170,108,16358.97,5020.09,138.58,9,18,14
15,170,108,16567.2,4797.64,90.28,9,18,14
15,170,108,17331.95,4832.75,326.59,9,18,13
15,170,108,17600.98,4146.05,243.6,9,18,17
15,170,108,17634.0,3951.42,76.66,9,18,16
15,170,108,17790.39,4037.99,76.66,9,17,16
15,170,109,16174.19,4888.95,320.26,9,18,14
15,170,109,16214.38,4963.08,368.56,9,18,13
15,170,109,16282.32,5128.56,138.58,9,18,14
15,170,109,16356.26,4940.57,326.59,9,18,13
15,170,109,16356.26,4940.57,368.56,9,18,12
15,170,109,16491.57,4276.33,556.57,9,18,16
15,170,109,16491.57,4352.0,598.55,9,18,15
15,170,109,16583.94,4579.25,550.25,9,18,17
15,170,109,16632.38,4929.75,138.58,9,18,12
15,170,109,17298.43,3823.74,229.98,9,18,16
15,170,109,17323.14,4805.08,326.59,9,18,13
15,170,109,17722.37,4037.99,76.66,9,17,16
15,170,110,16053.3,4764.27,320.26,9,18,14
15,170,110,16169.27,4844.33,368.56,9,18,13
15,170,110,16325.09,4788.53,278.29,9,18,15
15,170,110,16399.96,4940.57,138.58,9,18,12
15,170,110,16412.8,4352.0,598.55,9,18,15
15,170,110,16414.52,4300.17,598.55,9,18,16
15,170,110,16414.52,4324.96,556.57,9,18,16
15,170,110,16443.21,4633.58,550.25,9,18,15
15,170,110,16487.99,4221.78,598.55,9,18,16
15,170,110,16504.34,4431.14,521.89,9,18,16
15,170,110,16537.73,5236.28,90.28,9,18,13
15,170,110,16595.42,5106.22,90.28,9,18,13
15,170,110,16597.2,4939.06,138.58,9,18,12
15,170,110,16863.44,3671.47,396.92,9,17,13
15,170,110,16913.44,3671.47,348.62,9,17,14
15,170,110,17429.29,4022.88,124.96,9,18,17
15,170,110,17460.0,3799.57,153.32,9,18,17
15,170,110,17524.44,3922.56,124.96,9,18,16
15,170,110,17634.0,3922.56,76.66,9,18,16
15,170,110,17790.39,3901.26,118.64,9,17,16
15,170,111,16037.79,4844.33,320.26,9,18,14
15,170,111,16046.66,4842.23,278.29,9,18,15
15,170,111,16067.9,4760.04,368.56,9,18,13
15,170,111,16147.97,4609.27,320.26,9,18,14
15,170,111,16297.5,4249.92,556.57,9,18,16
15,170,111,16386.49,5236.28,90.28,9,18,13
15,170,111,16417.74,4213.78,598.55,9,18,16
15,170,111,16427.79,4481.35,521.89,9,18,15
15,170,111,16428.55,4879.41,90.28,9,18,14
15,170,111,16428.55,4879.41,138.58,9,18,13
15,170,111,16476.9,3629.43,271.96,9,17,14
15,170,111,16589.8,5106.22,90.28,9,18,13
15,170,111,16597.2,4812.01,138.58,9,18,13
15,170,111,16863.44,3662.21,396.92,9,17,13
15,170,111,17198.65,3981.24,124.96,9,18,14
15,170,111,17286.19,3909.78,76.66,9,18,18
15,170,111,17286.19,3909.78,118.64,9,18,17
15,170,111,17333.04,3361.16,153.32,9,17,15
15,170,111,17333.04,3361.16,195.3,9,17,14
15,170,111,17409.87,4705.65,368.56,9,18,13
15,170,111,17409.87,4720.86,326.59,9,18,13
15,170,111,17647.7,3814.74,76.66,9,17,17
15,170,112,16337.59,5092.01,166.94,9,18,13
15,170,112,16358.37,4481.35,598.55,9,18,15
15,170,112,16433.84,4456.42,396.92,9,18,15
15,170,112,16467.02,4294.78,445.22,9,18,14
15,170,112,16848.53,3702.0,153.32,9,17,15
15,170,112,16883.77,3629.12,396.92,9,17,13
15,170,112,17143.8,3477.56,368.56,9,18,14
15,170,112,17225.68,3869.58,124.96,9,18,14
15,170,112,17263.89,3555.94,195.3,9,18,17
15,170,112,17264.93,3922.86,118.64,9,18,17
15,170,112,17298.43,3604.53,271.96,9,18,16
15,170,112,17310.39,4526.23,368.56,9,18,13
15,170,113,16386.49,5063.04,166.94,9,18,13
15,170,113,16450.25,4195.09,445.22,9,18,14
15,170,113,16450.25,4344.63,396.92,9,18,15
15,170,113,16590.6,4566.53,291.9,9,18,13
15,170,113,16599.7,4948.28,48.3,9,18,15
15,170,113,16765.42,5151.74,0.0,9,18,16
15,170,113,16821.72,3629.12,396.92,9,17,13
15,170,113,16841.2,3702.0,153.32,9,17,15
15,170,113,17095.57,3819.75,249.93,9,18,13
15,170,113,17116.54,4363.82,118.64,9,18,15
15,170,113,17121.56,4438.25,215.24,9,18,13
15,170,113,17167.69,3991.48,124.96,9,18,14
15,170,113,17263.89,3402.61,195.3,9,18,17
15,170,113,17282.02,3698.26,118.64,9,18,17
15,170,113,17282.02,3829.56,124.96,9,18,14
15,170,113,17283.3,3564.72,271.96,9,18,16
15,170,113,17300.97,3719.95,243.6,9,18,13
15,170,113,17320.55,3750.26,90.28,8,18,15
15,170,113,17481.02,3699.06,368.56,9,18,12
15,170,113,17995.81,4041.42,215.24,9,18,13
15,170,114,16284.64,4112.8,556.57,9,18,16
15,170,114,16319.15,4964.28,153.32,9,17,15
15,170,114,16398.39,4492.65,473.59,9,18,15
15,170,114,16464.36,4132.82,445.22,9,18,14
15,170,114,16478.76,4445.09,598.55,9,18,13
15,170,114,16589.81,4877.7,48.3,9,18,15
15,170,114,16617.28,4279.32,118.64,9,18,15
15,170,114,16741.79,3702.0,153.32,9,17,15
15,170,114,16753.26,4230.47,166.94,9,18,14
15,170,114,16790.32,4630.48,473.59,9,18,12
15,170,114,16817.28,4659.68,473.59,9,17,12
15,170,114,16874.19,4812.15,41.98,9,18,15
15,170,114,16947.64,4445.05,90.28,9,18,14
15,170,114,16993.68,4445.05,138.58,9,18,13
15,170,114,17022.03,4408.57,90.28,9,18,14
15,170,114,17022.03,4523.46,41.98,9,18,15
15,170,114,17023.55,4309.48,195.3,9,17,14
