Time (s),Number of Solutions
0,7
2,8
10,9
23,10
24,10
27,11
97,12
101,12
117,13
119,14
120,14
122,14
123,15
125,16
129,16
130,16
131,16
132,17
133,17
134,18
136,18
142,19
144,20
147,21
165,22
168,23
170,23
177,23
184,23
196,24
203,24
205,25
207,25
210,25
216,25
220,25
223,25
226,25
228,22
229,21
230,18
232,18
233,18
236,18
242,18
243,18
245,19
246,19
247,20
249,20
250,21
259,22
264,22
293,23
297,23
299,23
305,24
308,25
309,26
310,26
312,26
316,25
330,26
331,26
335,25
337,24
338,24
345,23
349,23
353,21
354,21
360,20
361,20
365,20
367,20
369,20
375,21
378,20
379,21
381,21
382,20
385,19
387,19
397,20
399,20
401,20
402,20
403,20
404,21
405,21
409,21
412,21
446,22
447,22
464,23
474,23
475,23
476,23
478,24
479,24
485,25
488,24
509,24
510,25
513,24
516,23
517,22
595,22
597,22
600,22
601,23
619,24
621,23
623,22
624,22
638,23
640,23
699,23
700,23
706,24
714,24
724,25
726,25
728,24
734,25
739,25
743,25
747,24
752,25
761,25
762,26
807,26
828,27
829,27
840,26
846,27
862,28
923,29
933,30
937,31
939,30
945,31
950,32
951,33
952,33
953,33
957,33
959,32
961,32
970,33
988,33
992,33
997,32
1000,33
1002,33
1003,33
1006,33
1008,33
1038,34
1039,35
1040,35
1043,35
1046,34
1051,34
1052,35
1054,36
1126,37
1167,37
1177,38
1178,38
1180,39
1192,39
1199,39
1201,39
1206,40
1207,39
1210,40
1211,37
1219,38
1225,38
1227,38
1228,37
1239,38
1242,38
1245,37
1247,36
1261,36
1262,36
1662,37
1704,37
1712,37
1715,37
1718,37
1730,37
1733,37
1746,37
1750,37
1854,37
1857,38
1858,39
1863,37
1865,37
1866,37
1868,37
1876,38
1878,37
1908,38
1936,39
1937,39
2033,40
2046,40
2059,40
2112,40
2121,40
2126,41
2133,41
2137,41
2154,39
2160,39
2171,40
2191,40
2200,40
2206,39
2213,40
2217,40
2224,41
2230,42
2239,42
2249,42
2255,42
2256,43
2259,42
2261,42
2262,42
2264,41
2266,37
2268,36
2269,36
2271,36
2274,36
2280,36
2286,36
2296,36
2316,37
2325,37
2333,36
2338,37
2339,36
2342,36
2343,36
2344,36
2349,36
2353,36
2366,35
2373,34
2397,34
2400,34
2403,34
2418,34
2419,34
2425,34
2430,35
2431,35
2434,33
2435,32
2439,31
2440,30
2442,30
2637,31
2650,32
2654,32
2727,32
2736,32
2737,31
2742,32
2748,33
2784,34
2788,35
2792,35
2795,34
2796,35
2842,36
2843,36
2848,36
2869,36
2877,36
2878,36
2881,36
2882,37
2884,36
2892,36
2909,36
2918,34
2919,35
2951,36
2955,36
2965,36
2974,37
2979,37
2981,38
2988,39
3045,39
3046,40
3137,40
3185,40
3210,40
3219,40
3231,39
3250,39
3252,39
3255,38
3257,38
3275,38
3276,38
3308,39
3332,39
3370,39
3373,39
3377,38
3402,39
3456,40
3491,41
3498,42
3505,42
3508,43
3511,42
3512,42
3530,43
3534,42
3556,42
3558,42
3649,42
3651,42
3652,42
3667,39
3695,40
3698,40
3701,40
3733,40
3739,41
3741,41
3743,41
3747,42
3769,42
3776,41
3789,40
3796,40
3816,40
3830,39
3841,40
3844,39
3877,36
3892,36
3899,35
3933,34
3946,34
3947,33
3956,33
3957,33
3976,33
4009,33
4043,33
4066,32
4080,33
4081,33
4149,33
4166,33
4186,32
4217,32
4222,33
4225,33
4252,34
4257,34
4290,34
4293,33
4301,33
4303,33
4358,34
4369,35
4405,35
4409,35
4416,35
4417,34
4420,34
4422,34
4426,35
4430,35
4506,35
4509,36
4523,36
4538,35
4543,34
4594,34
4637,34
4639,34
4645,35
4659,35
4677,35
4720,34
4764,33
4786,33
4821,33
4831,34
4892,35
4916,35
4919,35
4925,35
4947,35
4962,36
4986,36
4988,36
4999,36
5017,37
5019,37
5028,37
5044,37
5047,37
5136,37
5156,37
5306,38
5312,37
5315,38
5332,38
5333,37
5352,37
5358,38
5364,38
5475,38
5504,38
5575,38
5581,38
5595,38
5599,38
5622,37
5682,37
5721,37
5730,36
5785,35
5843,33
5880,33
5919,34
5935,34
5938,34
5963,31
5978,32
6022,31
6028,31
6039,31
6062,31
6102,31
6115,31
6141,31
6166,31
6223,32
6231,32
6250,31
6254,29
6262,29
6271,29
6339,29
6348,28
6375,28
6395,28
6408,26
6434,26
6446,25
6541,26
6648,26
6657,26
6699,26
6710,26
6716,26
6726,25
6738,25
6750,25
6798,23
6806,23
6809,22
6858,21
6867,21
6891,20
7040,20
7050,18
7060,18
7061,18
7073,18
7120,18
7216,17
7219,17
7259,17
7348,16
7393,15
7411,15
7479,15
7484,15
7557,15
7596,14
7599,14
7610,12
7615,12
7639,12
7704,12
7723,12
7733,12
7908,11
7992,11
8048,12
8051,10
8057,10
8165,11
8202,11
8244,10
8387,10
8395,10
8433,10
8473,10
8525,10
8576,10
8617,9
8624,10
8641,10
8730,10
9116,10
9205,10
9228,10
9241,10
9252,10
9274,9
9281,9
9284,9
9291,9
9303,10
9304,10
9440,10
9490,10
9506,10
9508,9
9594,8
9625,7
9632,7
9646,7
9717,7
9734,7
9790,7
9803,7
9807,8
9842,7
9846,8
9871,8
9910,7
9921,7
9942,7
9999,8
10008,8
10017,7
10096,7
10326,7
10394,7
10395,7
10396,7
10403,7
10589,7
10605,7
10642,7
10685,7
10759,7
10764,7
10919,7
10971,7
11164,7
11167,7
11192,7
11284,8
11316,8
11334,8
11362,9
11405,9
11428,9
11636,9
11648,9
11668,9
11737,8
11907,7
12085,8
12119,8
12160,8
