Time (s),Number of Solutions
0,7
1,7
3,7
4,7
17,8
20,9
30,10
31,10
971,11
973,11
974,11
984,11
985,11
988,11
991,11
996,11
998,11
1000,11
1003,11
1004,11
1005,11
1007,11
1010,11
1013,11
1016,11
1020,12
1073,13
1074,13
1075,13
1076,13
1077,13
1095,14
1097,14
1098,13
1211,13
1221,13
1229,12
1230,11
1234,11
1260,12
1265,12
1266,12
1272,11
1297,12
1347,13
1349,13
1352,13
1353,12
1354,12
1355,12
1358,12
1359,12
1360,12
1379,13
1390,13
1400,13
1402,13
1578,14
1585,14
1587,13
1589,13
1592,13
1594,13
1600,13
1601,13
1603,13
1608,14
1609,14
1612,14
1614,15
1626,14
1627,14
1631,14
1632,14
1635,14
1636,14
1639,14
1682,14
1701,13
1704,13
1705,13
1732,14
1733,14
1734,14
1785,14
1786,14
1787,14
1789,14
1791,14
1793,14
1794,14
1811,15
1812,15
1813,15
1814,15
1815,15
1816,15
1826,16
1969,17
1972,17
1973,17
1976,17
1978,17
1986,17
1987,17
1991,17
1995,17
1997,17
1998,17
1999,17
2000,17
2002,17
2003,17
2155,18
2156,18
2179,18
2180,18
2182,18
2183,18
2184,18
2185,18
2190,18
2199,18
2205,17
2206,17
2207,18
2210,18
2243,19
2249,19
2254,19
2258,19
2275,19
2305,19
2306,19
2315,19
2349,20
2350,20
2352,20
2360,20
2363,20
2368,20
2371,20
2372,20
2373,20
2374,20
2391,20
2392,20
2394,20
2415,20
2419,19
2421,19
2422,19
2429,19
2430,19
2439,19
2440,19
2441,19
2445,20
2448,20
2449,20
2459,20
2503,19
2504,19
2509,19
2513,19
2515,19
2519,19
2521,19
2533,18
2543,18
2623,18
2629,18
2727,18
2732,18
2900,19
2904,19
2907,20
2909,18
2916,18
2919,18
2928,18
2931,18
2939,19
2947,19
2952,19
3002,20
3003,20
3058,21
3061,21
3062,20
3073,17
3075,17
3076,17
3078,17
3079,18
3092,18
3098,18
3100,17
3103,17
3115,17
3121,17
3124,17
3125,17
3132,17
3146,18
3149,18
3158,18
3175,18
3182,18
3184,18
3185,17
3186,17
3189,17
3191,17
3199,17
3201,17
3205,17
3211,17
3213,17
3215,17
3218,17
3220,17
3221,17
3226,17
3230,17
3231,18
3232,17
3236,17
3238,18
3241,18
3245,18
3252,18
3253,18
3259,18
3261,18
3262,18
3277,18
3278,18
3280,17
3282,18
3319,18
3320,18
3323,18
3328,18
3344,19
3348,19
3350,19
3352,19
3365,19
3380,19
3386,19
3387,19
3393,19
3395,18
3409,18
3413,18
3418,18
3421,18
3424,18
3425,18
3431,18
3433,19
3434,19
3436,19
3444,19
3453,19
3462,19
3473,20
3576,21
3577,21
3581,21
3585,21
3593,21
3601,21
3632,21
3636,21
3644,21
3660,21
3661,21
3665,20
3669,20
3671,20
3672,20
3674,20
3707,21
3710,21
3713,21
3716,21
3719,21
3722,21
3726,21
3731,21
3735,21
3748,21
3755,21
3756,22
3757,21
3769,21
3776,21
3778,21
3785,21
3796,20
3804,20
3815,21
3822,20
3828,20
3848,20
3856,20
3858,20
3859,19
3860,19
3864,19
3921,20
3927,20
3951,20
3976,21
3981,21
4016,20
4033,20
4056,20
4066,20
4067,20
4074,20
4081,20
4091,20
4092,20
4095,19
4103,19
4108,19
4118,19
4119,19
4120,19
4176,19
4181,20
4201,20
4204,20
4205,20
4206,20
4211,20
4214,20
4229,19
4234,19
4236,19
4244,19
4247,19
4263,19
4273,20
4298,21
4300,21
4302,20
4310,20
4312,20
4314,20
4319,20
4320,20
4324,20
4351,20
4352,19
4357,19
4359,19
4364,19
4367,19
4372,19
4374,19
4375,19
4382,19
4394,19
4397,20
4399,20
4403,20
4429,21
4438,21
4439,21
4444,21
4445,21
4468,21
4474,21
4482,21
4495,21
4502,21
4505,21
4508,20
4514,19
4522,19
4524,18
4533,18
4536,18
4537,18
4542,18
4547,18
4549,17
4560,17
4575,17
4577,17
4587,17
4592,17
4593,16
4600,16
4610,16
4614,16
4616,17
4620,18
4622,17
4624,17
4628,16
4630,16
4652,16
4656,16
4657,16
4663,16
4669,16
4673,17
4704,17
4712,17
4720,17
4730,17
4738,17
4748,17
4750,17
4751,17
4754,17
4759,17
4763,16
4766,16
4771,16
4786,16
4796,15
4804,15
4834,15
4838,15
4849,15
4850,15
4856,15
4859,15
4861,15
4864,15
4866,16
4875,16
4895,17
4906,17
4922,17
4926,17
4930,17
4935,17
4938,17
4941,17
4944,16
4947,16
4950,16
4952,16
4965,16
4981,16
4982,16
4990,16
4996,16
5003,16
5014,16
5020,16
5046,15
5049,15
5056,14
5060,14
5061,14
5073,14
5079,14
5082,14
5085,14
5129,14
5140,14
5149,14
5154,14
5176,14
5187,14
5192,14
5208,13
5209,13
5210,13
5213,13
5214,13
5224,13
5240,13
5245,13
5249,13
5256,13
5284,13
5308,14
5312,14
5325,14
5333,14
5335,14
5337,14
5374,14
5380,14
5383,14
5388,14
5389,14
5395,14
5399,14
5402,13
5417,13
5420,13
5451,13
5471,13
5490,13
5517,13
5521,13
5525,13
5531,13
5536,13
5537,13
5541,13
5542,13
5552,13
5557,13
5560,13
5563,13
5572,13
5577,13
5582,13
5601,13
5629,13
5633,13
5636,13
5648,13
5650,13
5658,13
5663,13
5669,13
5675,13
5688,13
5693,13
5710,13
5715,13
5722,13
5723,13
5752,13
5755,13
5767,13
5771,13
