Time (s),Number of Solutions
0,7
1,7
2,6
4,6
7,7
11,8
13,9
14,9
2464,10
2467,11
2468,11
2471,12
2473,12
2474,10
2482,11
2485,11
2487,11
2492,12
2494,12
2499,12
2502,12
2532,13
2533,13
2536,14
2539,14
2540,14
2606,15
2607,15
2610,16
2612,16
2613,16
2616,17
2628,18
2632,17
2645,18
2647,15
2648,15
2649,15
2655,16
2658,16
2669,17
2671,17
2675,18
2686,19
2687,18
2697,19
2698,19
2704,20
2707,21
2712,22
2713,20
2720,21
2725,22
2726,22
2727,22
2733,22
2738,23
2757,24
2797,25
2799,25
2800,25
2805,26
2807,27
2835,28
2840,29
2841,29
2843,29
2854,30
2856,30
2859,30
2862,30
2870,31
2879,32
2882,32
2887,33
2890,34
2893,35
2907,35
2909,36
2918,37
2920,37
2935,38
2939,38
2940,38
2943,39
2945,40
2947,40
2948,40
2954,41
2956,41
2959,42
2963,40
2964,38
2968,39
2969,38
2971,38
2972,38
2975,39
2976,39
2982,40
2988,41
2989,41
2991,39
2992,38
2995,39
2996,39
3023,40
3024,40
3030,41
3033,41
3035,40
3105,41
3108,42
3113,41
3118,42
3120,42
3121,41
3124,41
3126,42
3129,42
3131,43
3145,44
3146,44
3159,45
3161,45
3162,45
3164,46
3165,46
3166,45
3192,46
3193,46
3194,46
3228,47
3229,47
3235,48
3236,48
3238,47
3239,48
3240,48
3241,48
3257,49
3272,50
3274,48
3277,46
3279,46
3281,46
3286,47
3287,47
3297,48
3298,48
3300,48
3303,49
3304,49
3305,49
3307,49
3308,49
3310,49
3314,47
3315,47
3320,48
3321,48
3322,46
3324,43
3335,44
3336,44
3337,44
3338,44
3339,43
3340,43
3345,44
3347,45
3348,45
3354,45
3361,46
3386,47
3387,47
3391,47
3396,48
3397,48
3398,48
3399,47
3404,48
3405,48
3406,48
3413,49
3415,50
3418,50
3419,50
3420,50
3422,51
3429,50
3430,49
3432,48
3440,49
3443,50
3444,50
3452,51
3454,50
3457,49
3458,48
3461,49
3463,49
3465,50
3468,46
3471,46
3488,47
3489,47
3490,47
3492,48
3494,48
3495,48
3496,48
3498,47
3502,47
3503,47
3504,47
3508,48
3511,49
3512,49
3520,50
3521,51
3534,52
3535,52
3540,53
3559,53
3560,53
3561,53
3564,52
3566,51
3573,52
3574,52
3577,53
3584,54
3585,49
3587,49
3589,42
3592,42
3597,41
3599,39
3600,38
3613,39
3616,39
3622,39
3623,39
3624,39
3672,39
3675,39
3678,40
3681,40
3683,39
3690,40
3691,40
3693,40
3696,39
3699,39
3701,39
3706,39
3708,38
3709,38
3711,39
3713,40
3714,40
3724,41
3726,41
3728,40
3729,40
3730,39
3731,33
3733,29
3734,28
3738,28
3743,28
3744,28
3745,25
3746,25
3752,26
3757,26
3761,27
3774,28
3775,28
3786,29
3790,30
3792,30
3793,30
3803,31
3805,31
3807,31
3812,32
3817,30
3818,31
3819,28
3822,26
3831,27
3834,27
3835,26
3837,26
3839,26
3841,20
3842,20
3844,20
3848,20
3849,20
3850,20
3852,20
3855,21
3857,21
3900,22
3901,22
3905,23
3911,23
3913,23
3914,23
3917,24
3919,23
3920,23
3931,24
3932,24
3933,22
3935,22
3942,23
3943,23
3948,24
3950,24
3952,24
3954,24
3955,25
3959,25
3969,26
3970,26
3971,26
3976,27
3977,27
3982,28
3988,29
3990,29
3992,29
4001,29
4004,24
4009,24
4015,25
4018,26
4019,26
4023,26
4024,27
4027,27
4030,26
4033,27
4034,24
4040,25
4042,25
4061,26
4062,26
4134,27
4135,27
4136,27
4138,27
4139,26
4140,26
4141,25
4142,25
4143,25
4145,25
4148,26
4151,26
4157,25
4160,25
4161,25
4163,23
4167,23
4168,23
4169,23
4171,24
4172,17
4173,17
4175,14
4177,13
4181,13
4182,13
4183,14
4185,14
4189,14
4191,14
4192,14
4193,13
4211,13
4213,13
4217,12
4243,13
4245,12
4248,11
4249,10
4258,11
4261,10
4269,11
4270,12
4271,12
4276,13
4287,14
4289,14
4291,14
4298,15
4307,16
4309,16
4311,16
4331,17
4334,17
4343,18
4347,14
4349,14
4350,14
4353,12
4355,11
4359,11
4360,11
4363,12
4379,13
4392,14
4396,14
4398,14
4402,14
4403,14
4404,14
4405,14
4408,14
4411,14
4413,13
4425,14
4430,14
4434,14
4437,14
4456,15
4460,16
4466,16
4468,15
4473,16
4475,17
4481,18
4484,19
4487,19
4489,19
4491,19
4492,19
4496,18
4498,18
4499,18
4500,17
4503,18
4528,19
4533,19
4534,19
4536,19
4561,18
4563,18
4565,18
4566,18
4583,19
4598,20
4600,20
4602,20
4604,20
4607,20
4609,20
4613,20
4616,20
4617,20
4619,19
4625,20
4626,17
4628,15
4632,14
4633,14
4634,10
4638,11
4639,11
4641,10
4643,9
4653,10
4655,10
4656,10
4658,7
4672,8
4674,6
4679,6
4702,7
4703,7
4719,8
4721,8
4725,9
4730,9
4732,8
4734,8
4739,9
4741,8
4743,8
4749,9
4766,10
4773,10
4774,10
4779,9
4780,9
4789,10
4793,10
4795,11
4797,11
4800,12
4802,12
4807,12
4810,10
4813,11
4815,11
4832,12
4834,11
4836,10
4837,9
4865,10
4878,11
4880,11
4883,12
4884,11
4887,11
4894,11
4905,12
4906,12
4907,12
4909,12
4912,12
4913,11
4918,12
4922,12
4927,12
4929,12
4930,12
4931,12
4934,13
4937,12
4942,13
4949,13
4950,13
