Time (s),Number of Solutions
0,7
1,7
2,7
8,7
12,7
69,8
73,8
75,8
77,8
3944,9
3999,10
4004,9
4006,9
4007,9
4015,10
4016,10
4017,10
4034,10
4360,11
4361,11
4440,10
4442,10
4443,10
4512,11
4513,11
4515,11
4525,12
4526,12
4600,12
4601,12
4603,11
4623,11
4624,10
4626,10
4627,10
4628,10
4629,10
4630,10
4631,10
4632,11
4919,11
4921,11
4924,11
4925,11
4926,11
4929,11
4931,9
5195,10
5198,10
5199,10
5200,10
5235,10
5236,10
5238,10
5239,10
5241,10
5242,10
5246,10
5248,10
5249,10
5263,9
5265,9
5267,9
5269,9
5279,10
5280,10
5281,10
5282,10
5283,9
5301,10
5303,10
5305,10
5307,10
5308,10
5349,10
5350,10
5351,10
5352,10
5448,11
5449,11
5450,11
5461,11
5462,10
5463,10
5497,11
5498,11
5499,11
5502,11
5507,11
5508,11
5509,11
5511,11
5516,11
5518,11
5520,11
5524,11
5542,11
5545,11
5546,11
5549,11
5550,11
5552,11
5660,12
5663,12
5670,12
5772,12
5774,12
5775,12
5778,12
5817,13
5818,13
5820,13
5821,13
5824,13
5825,13
5827,13
5828,13
5830,13
5842,13
5856,13
5857,13
5858,13
5860,11
5861,10
5885,10
5887,8
5888,8
5889,8
5892,8
5894,8
5896,8
5897,8
5900,9
5903,7
5909,7
5934,7
5936,7
5937,7
5938,7
5939,7
5940,7
5959,7
5960,7
5974,7
5983,8
5985,8
5988,8
5991,8
6003,8
6004,8
6007,8
6017,8
6020,8
6022,8
6025,7
6028,7
6029,7
6032,7
6049,7
6052,7
6054,7
6064,7
6073,8
6197,8
6208,8
6211,8
6242,9
6243,9
6244,9
6245,9
6247,9
6251,9
6258,9
6263,8
6266,7
6267,7
6268,7
6271,7
6273,7
6274,8
6278,8
6284,8
6288,8
6292,8
6314,9
6316,9
6317,10
6324,10
6342,10
6343,10
6346,9
6370,9
6371,9
6373,9
6402,9
6403,9
6415,9
6416,9
6418,9
6419,9
6427,9
6428,8
6430,8
6431,7
6441,7
6442,7
6446,7
6447,7
6469,8
6475,8
6476,8
6575,9
6576,9
6582,8
6595,8
6601,7
6602,7
6607,7
6608,7
6622,7
6627,7
6629,7
6634,7
6637,7
6641,7
6643,7
6644,7
6652,7
6656,8
6665,8
6669,8
6672,8
6677,8
6683,9
6705,8
6709,8
6710,7
6714,7
6724,8
6728,8
6730,8
6753,8
6754,7
6755,8
6766,8
6782,8
6788,8
6797,8
6800,8
6850,8
6852,8
6853,7
6855,7
6858,7
6918,8
6919,8
6920,8
6932,9
6965,10
6967,10
6969,10
6970,10
6973,10
6974,9
6976,9
6982,8
6983,8
6985,8
6990,8
6991,8
6999,8
7006,7
7009,7
7017,7
7036,7
7037,7
7041,7
7162,7
7174,7
7193,7
7194,7
7197,7
7198,7
7203,7
7204,7
7217,7
7219,7
7225,7
7226,7
7231,8
7233,8
7274,9
7297,9
7308,10
7309,10
7310,10
7315,10
7316,10
7325,10
7328,10
7337,9
7339,9
7340,9
7346,9
7349,9
7353,8
7354,8
7358,8
7359,8
7360,8
7385,9
7413,9
7416,9
7425,9
7436,9
7443,9
7444,9
7445,8
7447,8
7450,8
7451,8
7455,8
7457,7
7484,7
7516,8
7548,8
7552,8
7722,9
7753,9
7755,9
7756,9
7767,9
7769,9
7772,9
7774,9
7778,9
7779,8
7781,8
7785,8
7787,8
7788,8
7790,8
7791,8
7792,8
7793,7
7794,7
7796,7
7798,7
7802,7
7809,7
7812,7
7814,7
7816,7
7819,7
7859,7
7871,7
7880,7
7882,7
7883,7
7886,7
7890,7
7895,7
7896,7
7917,7
7921,7
7932,7
7991,8
8001,8
8011,9
8039,9
8040,8
8061,8
8088,7
8092,7
8096,7
8098,7
8107,7
8109,7
8113,7
8122,7
8137,7
8139,7
8144,7
8150,7
8151,7
8153,7
8156,7
8157,7
8197,7
8214,7
8219,7
8230,7
8243,7
8244,7
8245,7
8246,7
8251,7
8255,7
8256,7
8260,7
8264,7
8269,7
8273,7
8274,7
8275,7
8283,7
8284,7
8285,7
8288,7
8291,7
8292,7
8300,7
8302,7
8306,7
8313,7
8314,7
8325,7
8335,8
8338,7
8339,7
8377,7
8379,7
8408,7
8410,7
8413,7
8414,7
8415,7
8416,7
8434,7
8437,7
8439,7
8460,8
8464,8
8469,8
8473,8
8475,8
8512,7
8517,7
8520,7
8529,8
8533,9
8534,9
8541,9
8549,9
8553,9
8554,7
8555,7
8560,7
8600,7
8602,7
8604,7
8605,8
8653,9
8654,9
8655,9
8695,9
8711,9
8722,8
8727,8
8730,8
8732,7
8734,7
8738,7
8763,7
8764,7
8770,7
8771,7
8776,7
8787,7
8789,7
8795,7
8798,7
8804,7
8810,7
8811,7
8821,7
8827,7
8830,7
8832,7
8839,7
8851,7
8852,7
8854,7
8857,7
8861,7
8864,7
8879,7
8881,7
8886,7
8890,7
8891,7
8892,8
8893,7
8903,7
8904,7
8905,7
8907,7
8908,7
8912,7
8921,7
8948,8
8955,7
8985,8
8990,9
8994,9
8995,9
9016,9
9018,10
9022,9
9027,9
9028,9
9047,9
9058,9
9063,9
9072,9
9074,8
9077,7
9081,7
9085,7
9086,8
9096,8
9097,8
9110,8
9114,8
9118,9
9121,8
9122,8
9125,8
9127,8
9128,7
9130,8
9146,7
9151,7
9155,7
9158,7
9170,7
9187,7
9188,7
