Time (s),Number of Solutions
0,7
1,5
14,6
15,6
16,6
28,6
527,7
535,7
536,7
538,7
541,7
542,7
543,8
544,9
545,7
576,8
580,9
585,9
2089,10
2091,10
2114,10
2116,10
2134,10
2135,10
2143,10
2147,10
2150,10
2151,10
2152,10
2153,10
2208,11
2210,11
2313,12
2318,12
2319,12
2321,12
2323,12
2324,12
2326,13
2328,13
2331,13
2463,12
2465,10
2472,11
2478,11
2491,10
2494,11
2499,12
2500,12
2502,12
2503,11
2504,11
2506,11
2507,10
2510,10
2511,10
2512,10
2513,10
2515,10
2517,10
2519,10
2520,10
2525,10
2528,11
2530,11
2552,12
2557,12
2622,11
2623,10
2629,11
2630,11
2631,11
2632,11
2640,11
2644,10
2645,10
2649,10
2659,10
2660,10
2677,10
2679,10
2682,10
2683,10
2746,11
2747,11
2748,11
2750,12
2764,11
2775,11
2779,11
2799,12
2801,12
2806,12
2811,12
2814,12
2831,12
2833,11
2837,11
2838,11
2840,11
2841,11
2845,9
2851,10
2860,10
2861,10
2862,10
2865,10
2866,8
2868,8
2869,7
2876,8
2889,8
2905,9
2906,10
2935,11
2944,11
2948,8
2961,9
2962,9
2964,9
2966,10
2969,10
2973,10
2984,10
3173,11
3177,11
3183,11
3184,11
3185,11
3186,11
3191,11
3192,11
3193,11
3235,11
3239,11
3241,11
3244,11
3245,11
3246,11
3247,11
3270,12
3271,12
3277,13
3278,13
3283,13
3292,14
3294,13
3300,13
3332,13
3368,12
3373,13
3385,13
3388,12
3392,12
3402,13
3406,13
3407,14
3410,14
3413,14
3414,14
3415,14
3416,14
3419,14
3463,15
3464,15
3512,15
3513,16
3515,16
3516,15
3518,15
3523,15
3525,15
3527,15
3530,15
3532,15
3533,16
3541,16
3543,15
3547,15
3555,16
3556,17
3629,17
3631,17
3632,17
3644,17
3645,17
3646,17
3647,17
3653,17
3654,17
3655,17
3658,17
3660,17
3663,17
3697,17
3698,17
3699,17
3701,17
3725,17
3728,17
3741,18
3742,18
3744,18
3747,18
3748,18
3750,18
3752,18
3758,18
3769,18
3776,18
3777,18
3779,17
3782,17
3784,16
3785,15
3787,15
3789,15
3795,15
3796,16
3800,16
3802,16
3803,16
3832,17
3838,17
3839,17
3844,17
3845,17
3846,17
3938,17
3948,17
3953,17
3966,17
3969,17
3970,17
3972,15
4012,15
4027,15
4036,15
4037,15
4038,15
4044,14
4049,14
4055,15
4056,15
4057,15
4062,15
4065,14
4066,14
4068,14
4070,14
4072,15
4073,15
4076,15
4078,14
4083,14
4138,14
4140,14
4142,14
4151,14
4152,14
4159,14
4190,14
4191,14
4192,14
4224,14
4225,14
4228,14
4236,14
4256,14
4257,14
4260,14
4267,14
4271,14
4283,14
4303,14
4315,14
4317,14
4320,14
4323,14
4336,13
4337,13
4340,12
4341,11
4345,11
4352,11
4388,10
4402,10
4406,10
4410,10
4419,10
4421,10
4428,10
4430,10
4436,10
4439,9
4448,9
4449,9
4451,9
4463,9
4466,9
4470,8
4473,8
4475,8
4479,8
4483,8
4493,7
4495,7
4496,7
4497,7
4536,7
4542,7
4543,8
4550,7
4551,7
4553,7
4556,7
4562,7
4566,7
4568,7
4571,7
4573,7
4627,7
4630,7
4637,7
4676,7
4678,7
4683,7
4694,7
4700,7
4707,7
4711,7
4715,7
4717,7
4718,7
4744,7
4755,7
4756,7
4757,7
4767,7
4770,6
4773,7
4775,7
4783,6
4785,6
4791,6
4793,6
4805,6
4814,6
4816,6
4824,6
4838,6
4840,6
4843,6
4846,6
4852,6
4853,6
4865,6
4872,5
4873,5
4874,5
4878,5
4879,5
4928,6
4948,6
4967,6
4974,6
4982,6
4984,6
5015,6
5016,6
5019,6
5026,6
5030,5
5031,5
5033,5
5044,5
5045,5
5055,5
5059,5
5063,5
5064,5
5068,5
5074,5
5076,5
5087,5
5095,5
5135,5
5136,5
5140,5
5144,5
5150,5
5164,5
5170,5
5171,5
5173,5
5177,5
5179,5
5185,6
5198,7
5199,7
5202,6
5210,5
5212,5
5220,6
5222,6
5227,5
5229,5
5230,5
5237,5
5250,5
5252,6
5294,7
5295,7
5296,6
5301,6
5319,6
5322,5
5331,6
5339,6
5340,6
5345,6
5351,6
5354,6
5361,6
5379,6
5387,6
5416,6
5417,6
5435,6
5441,6
5446,6
5447,6
5453,5
5454,5
5456,5
5470,5
5473,5
5474,5
5480,5
5523,6
5524,6
5540,6
5542,6
5547,5
5555,5
5558,5
5559,5
5578,5
5580,5
5585,5
5594,5
5595,5
5597,5
5602,5
5604,5
5608,5
5621,5
5622,5
5625,6
5632,6
5648,7
5649,7
5650,7
5652,7
5717,7
5720,7
5792,7
5795,7
5804,6
5806,6
5812,6
5821,6
5824,6
5828,6
5840,7
5846,7
5848,7
5850,7
5851,7
5867,8
5872,8
5880,8
5886,8
5888,8
5899,8
5904,8
5915,8
5920,8
5921,8
5924,8
5930,8
5947,9
5958,6
5959,5
5964,5
5967,5
5969,5
5970,5
5971,5
5975,5
5992,5
6005,5
6016,6
6024,7
6037,5
6049,5
6067,6
6071,6
6073,5
6082,5
6097,5
6102,5
6106,5
6107,5
6116,5
6120,5
6127,5
6139,5
6160,5
6162,5
6225,5
6243,5
6246,5
6248,5
6252,5
6253,5
6258,5
6260,6
6265,6
6267,5
6268,5
6269,5
6271,5
6278,5
6320,5
6330,6
6338,6
6385,6
6402,5
6439,5
6453,5
6462,5
6471,5
6476,5
6489,5
6494,5
6497,5
6498,5
6499,5
6502,5
6505,5
6506,5
6511,5
6513,5
6528,6
6537,6
6538,6
6548,5
6553,5
6563,5
6573,5
6576,5
6578,5
6581,5
6593,5
6595,5
6605,5
6618,6
6631,6
6633,6
6639,7
6660,8
6666,8
6676,6
6681,5
6692,5
6712,5
6725,6
6727,5
6729,5
6730,5
6733,5
6737,5
6746,5
6750,5
6758,5
6761,5
6771,5
6774,5
6784,5
6787,5
6791,5
6796,5
6797,5
6799,5
6802,5
6823,5
6828,5
6835,5
6857,5
6863,5
6864,5
6869,6
6875,5
6887,5
6889,5
6890,5
6923,5
6951,5
6956,5
6971,5
6976,5
6993,5
6995,5
7003,5
7054,5
7055,5
7062,5
7071,5
7074,5
7079,5
7082,5
7116,5
7119,5
7145,5
7172,5
7188,5
7205,5
7213,5
7215,5
7223,5
7230,5
7231,5
7233,5
7254,5
7255,5
7272,6
7279,6
7280,6
7285,5
7296,5
7315,5
7317,5
7327,5
7336,5
7346,5
7362,5
7372,5
7392,5
7404,5
7405,5
7420,5
7445,5
7454,5
7459,5
7472,5
7476,5
7478,5
7486,5
7489,5
7490,5
7506,6
7524,6
7542,6
7553,6
7561,6
7564,6
7565,7
7571,5
7572,5
7597,5
7617,6
7636,6
7640,7
7650,7
7664,7
7667,7
7671,7
7682,7
7692,7
7694,7
7709,7
7719,6
7724,6
7740,6
7772,6
7778,6
7782,6
7785,6
7788,6
7789,6
7809,6
7815,6
7841,6
7842,5
7843,5
7844,5
7852,5
7894,5
7941,5
7955,5
7957,5
7965,6
7970,7
7973,7
7975,6
7983,7
7995,6
8009,5
8022,5
8024,5
8038,5
8094,5
8126,5
8128,5
8147,5
8148,5
8152,5
8167,5
8171,5
8181,5
8194,5
8215,6
8237,6
8241,5
8243,5
8244,5
8248,5
8259,6
8267,6
8275,6
8282,5
8320,5
8324,5
8331,5
8336,5
8377,5
8435,6
8473,7
8488,8
8502,8
8509,7
8547,6
8554,6
8555,6
8556,6
8565,6
8573,5
8584,5
8593,5
8596,5
8598,5
8599,5
8614,6
8667,5
8688,5
8690,5
8703,5
8707,5
8716,5
8753,5
8758,5
8766,5
8776,5
8797,5
8800,5
8801,5
8807,6
8817,6
8834,6
8842,6
8853,6
8864,6
8900,6
8901,6
8931,6
8933,6
8946,6
8952,6
8956,5
8961,5
8970,5
8974,5
8978,5
8983,5
9010,5
9038,6
9041,5
9044,5
9069,5
9070,6
9087,6
9089,5
9093,5
9094,5
9097,5
9109,5
9118,5
9128,5
9137,5
9140,6
9143,6
9189,7
9207,6
9209,5
9220,5
9226,6
9244,5
9249,5
9250,5
9258,5
9284,5
9285,5
9288,5
9315,6
9317,6
9349,6
9350,6
9354,6
9374,7
9375,7
9380,8
9382,8
9393,8
9403,8
9410,8
9420,7
9455,7
9456,8
9461,8
9486,6
9509,6
9516,6
9525,6
9527,6
9536,7
9540,7
9546,5
9561,5
9562,6
9585,5
9589,5
9595,5
9652,5
9656,5
9684,5
9694,5
9733,5
9737,5
9773,5
9783,5
9787,5
9802,5
9822,5
9850,5
9853,5
9856,5
9859,6
9874,5
9875,5
9888,5
9891,5
9896,5
9898,5
9900,6
9953,6
9957,6
9962,6
9973,6
10018,6
10072,6
10086,5
10113,6
10114,6
10139,6
10149,5
10156,5
10161,5
10193,5
10196,5
10201,5
10209,5
10227,5
10240,5
10244,6
10251,6
10263,6
10274,5
10280,5
10289,5
10305,5
10324,6
10325,6
10343,6
10354,6
10355,6
10361,5
10369,5
10370,5
10380,5
10401,5
10436,5
10454,5
10495,5
10499,5
10528,5
10576,5
10579,5
10588,5
10621,5
10631,5
10636,5
10637,5
10665,5
10797,5
10800,5
10809,5
