Time (s),Number of Solutions
0,7
4299,8
4318,8
4319,8
4320,8
4493,9
4495,9
4497,9
4498,9
4499,9
4504,9
4506,9
4508,8
4510,8
4528,8
4530,8
4531,8
4534,8
4535,8
4536,8
4541,8
4553,9
4555,9
4556,9
4559,9
4561,9
4575,9
4578,9
4579,9
4580,9
4585,8
4587,8
4588,8
4590,8
4594,8
4595,8
4597,8
4630,8
4649,9
4652,9
4654,9
4733,9
4736,9
4750,9
4752,9
4759,9
4760,9
4761,9
4764,9
4835,9
4837,9
4838,9
4839,9
4923,9
4925,9
4926,9
4928,8
4930,8
4931,8
4942,8
4943,8
4945,8
4989,9
5028,9
5034,10
5037,10
5042,9
5043,9
5058,9
5061,9
5063,8
5078,9
5079,9
5089,9
5096,9
5114,9
5123,9
5134,9
5145,9
5147,9
5151,9
5157,9
5158,9
5219,10
5223,10
5367,10
5377,10
5384,10
5388,10
5389,10
5391,10
5424,10
5435,10
5442,10
5445,10
5449,10
5453,10
5454,10
5463,10
5464,9
5494,10
5496,10
5497,10
5504,10
5509,10
5510,10
5512,10
5518,11
5519,10
5535,11
5536,11
5539,11
5550,11
5553,11
5557,11
5560,11
5563,11
5565,11
5583,11
5587,10
5589,10
5600,11
5602,11
5628,11
5629,10
5631,9
5634,9
5635,9
5637,8
5639,9
5643,7
5648,7
5650,7
5652,7
5653,7
5657,7
5683,7
5691,7
5695,7
5713,7
5714,7
5715,7
5720,7
5723,7
5724,7
5725,7
5731,8
5732,7
5739,7
5743,8
5745,8
5749,7
5752,7
5754,7
5756,7
5775,7
5780,7
5782,7
5785,7
5799,7
5800,7
5818,8
5826,8
5835,8
5836,8
5839,8
5840,7
5843,7
5882,7
5885,7
5891,7
5894,7
5909,7
5912,8
5921,7
5938,8
5942,8
5951,7
5953,7
5958,7
5964,7
5970,7
5973,7
5975,8
5991,8
5997,8
6016,8
6031,8
6044,7
6088,7
6095,7
6123,7
6130,7
6137,7
6161,8
6163,8
6169,8
6187,8
6257,7
6259,7
6265,7
6269,7
6277,7
6289,8
6291,8
6297,7
6298,7
6304,7
6316,7
6321,7
6325,7
6328,8
6335,9
6337,10
6338,10
6340,8
6345,8
6347,8
6348,8
6355,8
6360,8
6362,8
6369,8
6370,8
6373,8
6376,8
6377,8
6384,8
6385,8
6390,7
6430,7
6466,7
6468,8
6469,8
6470,8
6484,8
6515,8
6516,8
6522,8
6587,8
6646,8
6677,8
6683,8
6705,7
6729,7
6827,7
6829,7
6840,8
6849,8
6873,8
6890,8
6893,8
6911,8
6914,7
6930,8
6939,8
6945,8
6946,8
6982,8
6984,9
6998,10
7004,10
7005,10
7009,10
7012,9
7028,9
7029,7
7031,7
7034,8
7038,8
7045,8
7059,8
7065,8
7066,8
7077,8
7102,8
7108,8
7117,8
7119,9
7139,9
7145,9
7153,9
7162,9
7183,9
7191,8
7193,8
7194,8
7206,9
7214,10
7216,11
7218,11
7226,11
7227,10
7236,10
7316,10
7319,10
7324,9
7326,9
7330,9
7332,7
7335,7
7341,8
7356,7
7357,7
7358,7
7383,7
7384,7
7391,7
7400,7
7404,7
7420,7
7428,7
7435,7
7439,7
7441,7
7443,8
7451,8
7464,8
7474,8
7480,9
7491,9
7496,9
7501,9
7512,9
7559,9
7589,8
7619,8
7620,8
7623,7
7642,7
7671,7
7699,7
7733,7
7756,7
7760,7
7776,7
7780,7
7800,7
7809,7
7819,8
7891,8
7895,7
7909,7
7913,7
7915,7
7948,8
7952,7
7955,7
7973,7
7974,7
7983,7
7988,7
7991,7
7993,7
7996,7
8008,7
8017,7
8019,7
8034,7
8035,7
8041,7
8072,8
8098,8
8107,8
8114,8
8119,7
8120,7
8122,7
8139,7
8144,7
8160,7
8178,7
8192,7
8219,7
8239,8
8330,8
8335,8
8343,8
8406,8
8421,8
8469,7
8479,7
8489,8
8506,9
8516,8
8522,8
8523,8
8552,9
8569,10
8570,10
8574,9
8575,10
8579,10
8626,11
8645,11
8660,11
8721,11
8723,11
8725,12
8730,12
8742,12
8784,12
8802,13
8813,13
8823,13
8832,13
8845,13
8881,14
8908,15
8919,15
8943,15
8957,15
8965,14
9075,15
9076,15
9078,16
9100,17
9104,17
9119,17
9140,15
9155,15
9182,13
9194,10
9255,9
9299,9
9350,10
9369,10
9370,11
9384,12
9389,12
9423,9
9427,10
9430,10
9445,10
9460,11
9469,11
9479,11
9496,11
9503,8
9550,9
9571,9
9641,9
9644,10
9648,10
9661,9
9697,9
9716,10
9746,10
9767,11
9797,11
9807,11
9808,8
9827,8
9843,8
9852,8
9854,8
9873,9
9880,9
9883,9
9893,9
9896,8
9906,8
9909,8
9911,7
9941,7
9942,7
9960,7
9978,7
10000,7
10004,7
10019,8
10031,8
10132,8
10212,8
10271,8
10273,9
10295,9
10315,9
10319,9
10320,9
10325,10
10326,10
10362,9
10367,9
10481,10
10656,9
10906,10
10908,10
10914,10
10915,10
10940,10
11039,11
11093,10
11197,8
11219,8
11227,8
11258,8
11282,9
11283,9
11292,7
11479,7
11626,7
11669,7
11670,7
11676,7
11692,8
11700,8
11785,8
11789,8
11807,8
11883,8
11911,8
11934,9
11978,9
11995,9
12090,9
12128,9
12143,8
12160,8
12179,8
12199,9
