Time (s),Number of Solutions
0.0,1
2.562544584274292,7
780.7485244274139,22
781.6860406398773,23
782.0454216003418,24
782.2954261302948,25
782.5298054218292,26
782.5610558986664,27
782.6079320907593,28
782.9829380512238,29
783.0141892433167,29
783.1079404354095,30
783.186066865921,31
783.2641930580139,32
783.3735702037811,33
783.4360711574554,34
783.6391994953156,35
784.2954609394073,36
784.4517135620117,37
784.4829640388489,38
784.5142147541046,39
784.5767159461975,40
784.670467376709,41
784.7173435688019,41
784.9985983371735,42
786.0454914569855,43
786.7798798084259,44
786.9205069541931,45
786.9673826694489,46
787.0767595767975,47
787.514267206192,48
788.1236538887024,49
788.3111569881439,50
788.3736581802368,51
788.404908657074,52
788.5142858028412,53
788.5767867565155,54
788.7174134254456,55
788.7955393791199,56
788.9361670017242,57
790.451818227768,58
790.5455701351166,58
790.5924460887909,59
790.7955749034882,60
790.8424506187439,61
790.889326095581,61
791.0455784797668,62
791.0768291950226,62
791.1393303871155,63
791.4049601554871,64
791.5612127780914,65
791.7018401622772,66
792.2174744606018,67
792.264349937439,67
792.3893520832062,68
792.4831037521362,68
794.2800099849701,69
794.326886177063,70
794.3893871307373,70
794.7331428527832,71
794.7800190448761,71
794.8581454753876,72
794.951896905899,73
795.0612740516663,74
795.108149766922,75
795.2487771511078,76
795.2956528663635,76
795.4519057273865,77
795.639408826828,78
796.7488033771515,79
796.8581802845001,79
802.6707816123962,80
802.7332825660706,81
802.811408996582,80
802.8582849502563,80
802.9989125728607,81
803.0926642417908,82
803.4051692485809,83
803.4989211559296,84
803.5457966327667,84
803.6082978248596,84
803.6707990169525,84
803.764550447464,85
803.842677116394,86
803.9364287853241,87
804.1083071231842,88
804.2958102226257,89
804.4520626068115,90
804.5853891372681,91
804.6856637001038,92
804.8511664867401,93
804.9195730686188,93
804.9836513996124,93
805.302473783493,94
805.3743085861206,94
805.5145998001099,95
805.6197361946106,96
805.6910157203674,96
805.795458316803,97
805.8707566261292,98
806.3378093242645,99
806.705516576767,100
806.8617689609528,101
806.9789414405823,101
807.0518789291382,100
807.1456298828125,101
807.223756313324,101
807.3800084590912,102
807.5050106048584,103
807.5987622737885,104
807.6768879890442,104
807.7743513584137,105
807.8487319946289,105
807.9604487419128,106
808.2614579200745,107
808.3955342769623,108
808.5589838027954,109
808.662362575531,109
808.737363576889,109
808.8190021514893,109
808.8964424133301,110
809.0839450359344,111
809.176614522934,111
809.4237315654755,112
814.4657928943634,113
814.7760782241821,114
815.5421724319458,115
815.9268860816956,116
816.0262150764465,116
816.2870380878448,117
844.1807208061218,118
844.2743463516235,119
844.4222161769867,120
844.5929868221283,121
844.7976369857788,122
844.8694984912872,123
845.025750875473,124
845.2445046901703,125
845.3492538928986,126
845.4273805618286,126
845.6773846149445,127
845.7711362838745,127
845.8492624759674,127
845.9273889064789,127
846.0211405754089,128
846.1773931980133,129
846.3336458206177,130
846.474273443222,131
846.5523996353149,131
846.6774020195007,131
846.7711536884308,131
846.9274060726166,132
847.0211579799652,132
847.1183581352234,133
847.2664935588837,134
847.4148313999176,135
847.5276868343353,136
847.6737620830536,137
847.7675137519836,137
847.8800618648529,137
848.025988817215,137
848.2134921550751,138
848.3072435855865,139
848.4166204929352,140
848.666624546051,141
848.8228776454926,141
848.9947555065155,142
849.1510083675385,143
849.2447597980499,143
849.3463666439056,144
849.4659354686737,143
849.6406240463257,144
849.7409110069275,145
849.8370852470398,145
849.958368062973,146
850.2074251174927,147
850.301176071167,148
850.4105532169342,147
850.5463819503784,148
850.7752206325531,149
850.9304480552673,150
851.020712852478,150
851.3674376010895,151
851.4614717960358,152
851.5661897659302,153
851.8404169082642,154
852.032689332962,154
852.5777130126953,155
852.6918470859528,155
852.8111460208893,156
852.9452817440033,157
853.1327848434448,155
853.253933429718,156
853.3487691879272,156
853.5267372131348,156
853.7600507736206,155
853.9388959407806,153
854.0394251346588,153
854.1602959632874,152
854.2905447483063,152
854.5418899059296,153
854.6668920516968,153
854.810183763504,152
855.1123239994049,153
856.1022222042084,154
856.2031970024109,155
856.3107004165649,156
856.4947493076324,157
856.598955154419,157
856.7482254505157,158
856.8558509349823,158
857.0444648265839,159
857.1647596359253,159
857.2668282985687,159
857.4088094234467,159
857.6436166763306,159
857.7444524765015,159
857.8442437648773,159
858.0035355091095,159
858.1037776470184,159
858.250646352768,160
858.4151842594147,161
858.5245616436005,161
858.7004821300507,161
858.8059678077698,161
858.942734003067,162
859.0764768123627,163
859.1770322322845,163
859.4735283851624,163
859.5789868831635,160
859.8937151432037,161
860.043713092804,162
860.2415647506714,163
860.3998959064484,164
860.5411422252655,165
861.1649479866028,166
861.9202284812927,167
862.0139801502228,168
862.12335729599,168
862.6389908790588,169
862.7639932632446,170
862.8889954090118,171
863.013997554779,172
863.1077494621277,173
863.2483780384064,173
863.4202544689178,174
863.5608820915222,174
863.6702589988708,175
863.7952613830566,176
863.9358887672424,177
864.0452656745911,177
864.2327687740326,178
864.5765247344971,179
864.7171521186829,179
1799.1583497524261,180
1799.3458528518677,181
1799.4552295207977,180
1799.6427326202393,181
1799.7677347660065,181
1799.9396131038666,182
1800.095865726471,183
1800.2208678722382,184
1800.3302450180054,184
1800.5646240711212,185
1800.7833776474,186
1800.8927545547485,186
1801.0177567005157,187
1801.2521359920502,188
1801.4552643299103,188
1801.6115174293518,189
1801.7833950519562,190
1801.9083976745605,190
1802.017774105072,190
1802.158401966095,191
1802.3146545886993,191
1802.4709072113037,191
1802.627159833908,192
1802.7677874565125,192
1802.9084148406982,192
1803.0802927017212,193
1803.2209203243256,193
1803.3615477085114,193
1803.4865498542786,193
1803.6115517616272,193
1803.720929145813,193
1803.8459310531616,194
1803.9709334373474,194
1804.0959355831146,194
1804.2834386825562,195
1804.455316543579,196
1804.5803191661835,197
1804.7209465503693,197
1804.845948457718,196
1804.9553253650665,196
1805.1740794181824,197
1805.345957517624,197
1805.705338716507,198
1805.8615911006927,199
1806.0178439617157,199
1806.1897220611572,199
1806.2990989685059,199
1806.4709770679474,199
1806.580353975296,199
1806.6897308826447,199
1806.8303580284119,200
1807.2366151809692,201
1807.3928680419922,202
1807.642872095108,203
1807.8460009098053,204
1807.9866285324097,205
1808.1741316318512,206
1808.3460097312927,207
1808.502262353897,207
1808.6428897380829,207
1808.7835173606873,207
1808.9553952217102,208
1809.1428983211517,208
1809.3304016590118,209
1809.4710292816162,209
1809.596031665802,209
1809.7366590499878,210
1809.9085371494293,211
1810.0647897720337,211
1810.189791917801,210
1810.3147940635681,211
1810.4554212093353,209
1810.5804235935211,209
1810.7054257392883,209
1810.8304278850555,209
1810.9554300308228,210
1811.2523102760315,211
1811.3773126602173,212
1811.5179398059845,213
1811.7210686206818,214
1811.8773212432861,215
1812.0335738658905,215
1812.4554562568665,216
1812.9710903167725,217
1813.1117174625397,218
1813.2367198467255,218
1813.3617219924927,218
1813.47109913826,218
1813.6117265224457,219
1814.1586110591888,220
1814.3148636817932,219
1814.455491065979,218
1814.7211208343506,219
1814.9398748874664,220
1815.064876794815,220
1815.2523798942566,221
1815.3617570400238,221
1815.5023844242096,221
1815.6742622852325,221
1815.8148901462555,222
1815.9555175304413,222
1816.111769914627,223
1816.2836480140686,222
