Time (s),Number of Solutions
0,7
1,7
2,6
4,6
7,7
11,8
13,9
14,9
7200,10
7211,11
7235,12
7239,13
7240,12
7241,12
7244,12
7247,13
7248,14
7249,14
7263,15
7266,15
7267,15
7268,15
7269,15
7292,16
7297,17
7306,18
7307,18
7310,18
7324,19
7325,19
7326,19
7327,19
7331,20
7333,20
7337,18
7357,19
7359,19
7360,15
7361,15
7362,15
7365,16
7375,17
7377,15
7383,16
7384,15
7385,15
7387,16
7389,13
7390,12
7393,12
7399,12
7402,12
7416,13
7419,12
7420,12
7423,10
7427,11
7432,12
7436,12
7437,12
7440,13
7441,13
7443,13
7449,14
7451,15
7493,16
7498,17
7503,17
7523,18
7524,18
7528,19
7530,19
7531,19
7535,20
7544,20
7554,18
7555,18
7561,19
7564,20
7565,19
7566,19
7569,20
7570,20
7572,20
7576,20
7577,20
7578,20
7579,20
7581,20
7582,20
7584,20
7585,20
7586,20
7591,21
7592,21
7593,20
7594,20
7597,17
7598,17
7602,17
7612,18
7613,16
7614,16
7619,17
7621,17
7628,18
7683,19
7685,19
7686,19
7687,19
7688,19
7691,20
7694,19
7699,20
7705,21
7708,22
7768,23
8073,24
8078,25
8079,24
8086,25
8123,26
8124,26
8127,26
8129,26
8131,26
8162,27
8163,27
8165,27
8172,28
8173,28
8175,28
8195,29
8196,29
8197,29
8199,29
8200,29
8202,29
8205,29
8208,30
8216,31
8217,31
8220,32
8221,32
8222,29
8224,29
8225,27
8227,27
8228,26
8229,26
8234,27
8238,28
8240,29
8242,29
8252,30
8253,30
8254,30
8256,30
8258,30
8266,31
8267,31
8269,32
8271,30
8272,31
8273,28
8274,26
8293,27
8295,26
8299,25
8300,25
8301,24
8308,23
8310,23
8312,23
8314,22
8315,23
8316,23
8323,23
8330,24
8331,24
8332,24
8334,25
8340,26
8342,27
8344,27
8345,27
8347,27
8355,28
8356,28
8363,26
8365,26
8380,27
8382,27
8383,28
8385,28
8390,29
8407,30
8412,30
8414,29
8415,28
8417,24
8424,24
8427,23
8432,23
8436,24
8437,23
8439,22
8440,23
8441,22
8443,23
8446,24
8447,24
8468,25
8472,25
8473,25
8523,26
8529,27
8537,28
8538,28
8546,29
8549,29
8555,29
8557,30
8560,30
8562,31
8566,31
8569,32
8575,33
8578,33
8583,34
8586,34
8613,35
8619,36
8620,34
8621,34
8622,34
8624,32
8625,32
8631,33
8632,33
8633,32
8635,33
8637,33
8641,34
8645,35
8651,36
8655,36
8657,35
8659,35
8660,35
8679,36
8680,36
8686,37
8687,37
8693,38
8698,39
8700,39
8701,39
8702,39
8742,40
9327,41
9328,41
9329,41
9368,42
9369,42
9371,43
9372,43
9386,44
9394,45
9398,46
9399,46
9424,46
9425,46
9427,45
9432,46
9477,47
9478,47
9481,47
9484,47
9489,48
9491,48
9496,48
9497,48
9502,48
9506,47
9509,47
9510,47
9511,47
9514,48
9535,49
9537,49
9538,49
9539,49
9540,46
9541,45
9542,45
9543,44
9547,44
9550,44
9556,45
9561,46
9563,47
9567,48
9569,48
9658,49
9659,49
9660,49
9661,49
9662,49
9665,50
9670,50
9671,50
9673,50
9674,50
9675,50
9676,51
9679,52
9680,52
9684,53
9688,52
9692,51
9693,51
9695,51
9699,52
9710,53
9720,54
9721,54
9723,54
9727,55
9728,55
9729,55
9739,56
9741,57
9742,57
9747,57
9748,56
9750,57
9752,57
9759,58
9761,58
9762,59
9763,59
9765,60
9766,60
9771,61
9776,62
9781,63
9784,64
9785,64
9789,63
9822,64
9824,65
9843,66
9845,66
9849,66
9859,67
9860,67
9871,68
9872,67
9876,68
9877,68
9880,69
9882,69
9884,69
9889,69
9890,69
9892,69
9894,69
9901,68
9903,67
9905,67
9906,66
9907,66
9910,67
9977,68
9979,68
9980,68
9983,68
9991,69
10032,70
10035,70
10040,71
10047,72
10048,72
10072,73
10080,73
10086,74
10104,75
10128,76
10136,77
10137,77
10194,77
10198,77
10200,77
10201,78
10202,78
10205,78
10209,79
10212,80
10215,78
10359,79
10360,79
10361,79
10362,79
10364,79
10371,80
10372,80
10374,80
10375,80
10378,81
10386,82
10388,81
10389,81
10391,81
10392,81
10396,81
10397,82
10400,83
10401,83
10403,82
10407,82
10420,81
10421,81
10422,81
10424,82
10429,81
10431,81
10436,82
10438,81
10439,81
10442,82
10452,83
10455,80
10456,80
10459,80
10475,81
10476,81
10479,81
10480,81
10482,81
10483,81
10486,81
10512,81
10520,82
10527,82
10528,82
10543,83
10561,84
10564,84
10565,84
10576,85
10578,86
10580,86
10581,84
10582,84
10585,85
10586,84
10587,83
10588,81
10597,82
10600,83
10601,83
10607,84
10609,84
10615,85
10616,84
10618,82
10646,83
10652,81
10653,81
10658,82
10659,82
10662,82
10671,83
10672,84
10674,85
10676,85
10681,86
10682,85
10700,86
10701,87
10731,88
10739,89
10740,89
10742,89
10743,88
10744,88
10750,89
10752,90
10753,90
10755,90
10760,91
10910,92
10918,93
10920,92
10928,93
10931,90
10935,90
10936,89
10941,87
10943,88
10945,89
10946,89
10948,90
10949,89
10951,85
10956,85
10981,86
10982,86
10987,86
10994,87
10996,88
11000,89
11088,90
11091,91
11095,91
11096,90
11097,90
11100,90
11103,91
11105,92
11112,93
11115,94
11118,95
11119,94
11121,92
11125,92
11133,93
11134,92
11136,92
11137,91
11140,92
11142,92
11144,92
11145,89
11146,89
11147,89
11148,89
