Time (s),Number of Solutions
0,7
1,7
2,7
8,7
12,7
69,8
73,8
75,8
77,8
19003,9
19004,9
19005,9
19009,9
19010,9
19015,9
19016,9
19017,9
19057,10
19060,10
19061,10
19062,10
19064,10
19080,9
19127,10
19132,10
19134,10
19135,10
19137,10
19138,10
19144,10
19151,10
19220,11
19237,11
19238,11
19264,11
19268,11
19270,11
19325,12
19326,12
19335,12
19336,11
19337,11
19769,11
19771,10
19773,9
19778,9
19779,9
19780,9
19835,10
19839,10
19845,10
19847,10
19853,10
19854,10
19857,11
19858,10
19867,10
19869,10
19870,11
19872,11
19875,11
19878,11
19879,11
19880,11
19881,11
19883,11
19884,11
19885,10
19890,10
19891,10
19892,10
19896,10
19897,10
19899,10
19901,10
19963,10
19972,10
19973,10
19974,10
20000,10
20003,10
20004,10
20009,10
20014,10
20015,9
20021,9
20022,9
20023,9
20032,9
20034,9
20180,10
20182,10
20183,10
20188,10
20189,10
20262,11
20263,11
20276,10
20277,10
20387,11
20670,12
20678,12
20682,12
20684,12
20685,12
20688,13
20690,13
21037,14
21038,14
21039,13
21040,13
21041,13
21042,13
21044,13
21045,13
21046,13
21055,13
21056,12
21057,12
21063,12
21066,12
21069,12
21070,12
21076,12
21157,12
21159,12
21161,13
21163,12
21164,12
21166,12
21169,12
21171,12
21179,12
21181,10
21184,11
21185,10
21285,11
21287,11
21317,11
21318,11
21322,11
21324,11
21331,11
21333,11
21336,11
21339,11
21420,12
21422,11
21423,11
21424,11
21426,12
21433,12
21437,12
21447,11
21453,10
21466,10
21468,9
21469,8
21471,8
21484,8
21485,8
21489,8
21492,8
21493,8
21494,8
21500,9
21528,9
21542,9
21543,9
21698,9
21703,9
21704,9
21711,8
21712,8
21714,8
21715,8
21716,8
21718,8
21724,8
21726,8
21727,8
21732,8
21733,8
21742,8
21743,8
21784,9
21846,10
21867,10
21869,10
21870,10
21871,10
21872,10
21880,10
21884,10
21885,10
21886,10
21887,11
21888,11
21889,11
21890,11
21895,10
21896,10
21901,9
21903,9
21904,9
21911,9
21912,9
21950,10
21952,10
21956,10
21957,9
21959,8
21970,9
21973,10
22000,11
22017,11
22024,11
22025,11
22028,11
22029,11
22030,11
22033,11
22034,11
22035,11
22044,11
22045,11
22063,10
22064,10
22072,11
22076,11
22079,11
22080,9
22126,9
22127,9
22129,9
22131,9
22132,7
22219,8
22231,8
22245,8
22246,8
22247,8
22253,8
22254,8
22261,8
22262,7
22264,7
22270,7
22280,7
22281,7
22285,7
22290,7
22292,7
22310,8
22316,8
22317,8
22318,8
22323,8
22329,8
22334,8
22340,8
22341,8
22346,8
22351,8
22353,8
22354,8
22355,8
22358,9
22374,10
22412,10
22414,10
22486,10
22532,8
22534,8
22539,8
22540,8
22546,8
22554,8
22556,8
22796,9
22802,9
22804,9
22806,9
22811,9
22815,9
22816,9
22817,9
22818,9
22821,9
22822,9
22832,10
22976,10
23474,10
23476,11
23495,11
23502,11
23536,11
23537,11
23539,10
23559,10
23563,9
23668,9
23669,10
23746,11
23747,11
23850,10
23851,10
23852,10
23871,11
23875,11
23876,10
23878,10
23879,10
23962,11
23963,11
23967,11
23970,10
23971,10
23977,10
23990,10
23999,9
24001,9
24003,9
24004,9
24006,9
24013,9
24014,9
24020,9
24030,9
24064,9
24074,9
24087,9
24089,9
24090,9
24092,9
24093,9
24161,10
24162,10
24163,10
24164,10
24165,10
24166,10
24172,10
24242,11
24245,11
24257,11
24259,11
24260,10
24264,10
24265,9
24266,9
24297,8
24593,9
24594,9
24596,9
24597,9
24602,9
24612,10
24613,10
24615,10
24647,10
24695,10
24700,9
24704,9
24705,9
24706,9
24707,9
24710,9
24726,9
24729,10
24730,10
24830,10
24831,10
24856,10
24859,10
24863,9
24870,9
24872,9
24875,9
24876,9
24877,9
24880,9
24882,9
24891,10
24968,10
24976,10
24977,10
25292,11
25297,11
25327,11
25330,11
25332,11
25344,12
25351,12
25356,12
25365,12
25366,11
25367,11
25372,11
25373,11
25375,11
25378,11
25385,11
25413,11
25416,11
25417,11
25420,11
25423,11
25424,11
25426,11
25427,11
25428,11
25430,11
25431,11
25432,11
25433,10
25443,10
25445,11
25449,11
25451,11
25452,10
25465,11
25466,11
25467,11
25468,11
25471,11
25475,11
25476,9
25478,9
25479,9
25490,8
25491,8
25499,9
25509,9
25511,9
25601,10
25605,10
25608,10
25609,10
25610,10
25614,10
25671,10
25674,10
25677,10
25678,10
25679,9
25680,9
25681,8
25682,8
25683,8
25685,7
25686,7
25688,7
25689,7
25691,7
25718,7
25854,8
25855,8
25866,8
25867,8
25870,8
25875,8
25876,8
25879,8
25951,8
25983,8
25984,8
26044,9
26046,9
26047,10
26254,10
26256,10
26262,10
26265,10
26267,10
26276,10
26278,10
26303,11
26306,11
26313,11
26314,11
26318,11
26322,11
26328,11
26329,10
26332,10
26334,10
26336,10
26349,10
26350,10
26358,9
26361,9
26380,9
26383,9
26385,9
26386,9
26387,10
26391,10
26392,10
26398,8
26399,7
26400,7
26421,7
26422,7
26441,7
26447,8
26451,8
26467,8
26483,8
26490,8
26501,8
26507,8
26517,8
26524,7
26525,7
26526,7
26528,7
26532,8
26535,8
26538,8
26539,8
26541,7
26542,7
26561,7
26562,7
26563,7
26564,7
26567,7
26570,7
26573,7
26574,8
26608,7
26613,7
26619,7
26631,8
26632,8
26671,9
26677,9
