Time (s),Number of Solutions
0,7
4223,8
4226,8
4231,8
4232,9
4233,8
4234,8
4235,8
4236,8
4238,8
4239,8
4240,8
4241,8
4265,9
4266,9
4267,10
4268,9
4369,9
4370,9
4371,9
4372,8
13819,9
13823,9
13824,9
13825,9
13901,9
13902,9
14590,10
15126,10
15127,10
15128,10
15130,10
15131,10
15141,11
15190,10
15195,10
15203,10
15204,10
15206,10
15218,10
15220,10
15549,11
15551,11
15555,11
15556,11
15580,11
15642,12
15643,12
15658,13
15659,13
15672,13
15675,13
15680,13
15681,12
15684,11
15685,10
15687,10
15688,11
15693,11
15694,10
15696,10
15858,10
15861,10
15862,10
15874,11
15875,11
15876,11
15889,11
15891,11
15895,11
15933,11
15937,11
15940,11
15971,11
15976,11
15981,12
15982,11
15984,10
15986,10
15987,10
15989,10
15991,10
15992,10
15993,10
15996,10
16000,11
16001,11
16003,11
16015,11
16036,10
16098,10
16166,10
16169,10
16170,10
16176,10
16178,10
16182,10
16183,10
16187,10
16188,10
16189,10
16190,10
16192,10
16193,9
16197,10
16302,11
16303,11
16308,11
16311,11
16312,11
16313,11
16360,11
16367,11
16373,10
16378,10
16379,10
16381,9
16382,9
16440,9
16448,10
16449,10
16457,10
16459,10
16472,9
16474,9
16475,9
16478,9
16541,10
16789,11
16791,11
16795,11
16918,12
16921,11
16922,11
16924,11
16933,11
16968,11
16969,11
16970,10
16972,10
16974,9
16975,9
16980,9
16993,9
17002,9
17003,9
17006,9
17007,10
17008,10
17009,9
17045,9
17046,10
17148,11
17149,11
17150,11
17151,11
17155,11
17157,11
17158,11
17535,12
17542,12
17548,12
17641,13
17643,13
17644,13
17907,13
17912,13
17914,12
17919,12
17930,11
17935,11
17936,11
17949,12
17970,12
17999,12
18000,12
18002,12
18006,12
18018,12
18019,12
18044,12
18046,12
18048,12
18049,11
18053,11
18063,11
18076,11
18085,10
18091,9
18093,9
18096,9
18098,9
18102,9
18103,10
18181,11
18182,11
18185,11
18186,11
18188,11
18189,11
18190,11
18191,11
18201,11
18204,11
18205,12
18206,12
18214,13
18221,13
18222,12
18234,12
18235,11
18236,11
18237,10
18238,9
18240,9
18241,9
18263,10
18269,9
18279,10
18281,10
18282,9
18285,9
18290,9
18301,10
18306,11
18307,11
18317,11
18330,11
18332,11
18335,11
18348,11
18351,11
18355,10
18357,10
18359,10
18370,10
18422,11
18441,11
18449,11
18452,11
18453,10
18455,10
18456,10
18474,10
18476,10
18478,10
18479,10
18688,9
18722,9
18723,9
18726,9
18732,9
18733,9
18881,10
18888,10
19492,11
19494,11
19518,12
19520,12
19562,12
19569,12
19570,12
19581,12
19583,12
19590,12
19623,12
19624,12
19695,13
19699,12
19700,12
19702,12
19712,12
19723,12
19724,12
19728,12
19735,12
19749,12
19751,11
19760,12
19763,12
19765,13
19766,12
19768,12
19778,12
19798,13
19802,13
19806,13
19831,13
19834,12
19836,12
19837,12
19902,12
19904,12
19905,12
19921,11
19923,10
19924,9
19925,9
19931,9
19939,9
19943,9
19949,9
19950,9
19953,9
19962,10
19978,10
19985,9
20027,10
20031,10
20033,10
20095,10
20096,10
20102,10
20106,10
20108,10
20112,10
20128,11
20133,11
20134,11
20163,11
20169,11
20170,11
20264,11
20309,11
20347,12
20351,12
20372,12
20390,12
20392,11
20395,11
20520,11
20523,11
20530,11
