Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Machines,Workers,Transport Attachments,Attachments
85,884,365,323458.0,64794.07,65,118,4932.71,44.0
85,884,365,323458.0,64794.07,65,118,1462.17,57.0
85,884,366,322743.89,64829.81,65,118,4932.71,44.0
85,884,366,322743.89,64829.81,65,118,1462.17,57.0
85,884,367,322760.73,64814.37,65,118,4932.71,44.0
85,884,367,322760.73,64814.37,65,118,1462.17,57.0
85,884,368,322115.51,65175.13,65,118,4932.71,44.0
85,884,368,322115.51,65175.13,65,118,1462.17,57.0
85,884,600,371912.26,59792.98,65,118,4932.71,44.0
85,884,600,371912.26,59792.98,65,118,1462.17,57.0
85,884,605,371912.26,59786.48,65,118,4932.71,44.0
85,884,605,371912.26,59786.48,65,118,1462.17,57.0
85,884,606,371912.26,59593.93,65,118,4932.71,44.0
85,884,606,371912.26,59593.93,65,118,1462.17,57.0
85,884,611,371912.26,59538.16,65,118,4932.71,44.0
85,884,611,371912.26,59538.16,65,118,1462.17,57.0
85,884,634,371880.63,34840.94,65,118,4932.71,44.0
85,884,634,371880.63,34840.94,65,118,1462.17,57.0
85,884,635,371880.63,34771.27,65,118,4932.71,44.0
85,884,635,371880.63,34771.27,65,118,1462.17,57.0
85,884,636,371880.63,34760.01,65,118,4932.71,44.0
85,884,636,371880.63,34760.01,65,118,1462.17,57.0
85,884,642,238984.92,93110.88,65,115,4932.71,44.0
85,884,642,238984.92,93110.88,65,115,1462.17,57.0
85,884,643,237979.03,93110.88,65,115,4932.71,44.0
85,884,643,237979.03,93110.88,65,115,1462.17,57.0
85,884,694,292990.62,93098.7,65,116,4932.71,44.0
85,884,694,292990.62,93098.7,65,116,1462.17,57.0
85,884,696,292750.88,93098.7,65,116,4932.71,44.0
85,884,696,292750.88,93098.7,65,116,1462.17,57.0
85,884,697,292537.88,93098.7,65,116,4932.71,44.0
85,884,697,292537.88,93098.7,65,116,1462.17,57.0
85,884,698,292277.71,93098.7,65,116,4932.71,44.0
85,884,698,292277.71,93098.7,65,116,1462.17,57.0
85,884,721,245175.18,93110.88,65,114,4932.71,44.0
85,884,721,245175.18,93110.88,65,114,1462.17,57.0
85,884,723,245153.2,93110.88,65,114,4932.71,44.0
85,884,723,245153.2,93110.88,65,114,1462.17,57.0
