Time (s),Number of Solutions
0,7
2,8
10,9
23,10
24,10
27,11
97,12
101,12
117,13
119,14
120,14
122,14
123,15
125,16
129,16
130,16
131,16
132,17
133,17
134,18
136,18
142,19
144,20
147,21
161,21
165,21
168,22
170,22
177,21
180,18
182,19
184,18
187,18
188,18
196,18
203,18
205,19
207,19
210,19
216,19
220,20
223,20
226,20
228,18
229,17
230,14
233,15
236,15
242,15
243,15
245,16
246,16
247,17
249,17
250,18
259,19
264,19
277,20
283,20
288,21
292,22
293,22
296,22
300,23
301,24
305,25
308,26
312,26
316,25
330,26
335,25
336,24
337,24
338,25
339,24
345,25
349,25
353,26
354,24
355,25
361,24
365,24
366,24
367,22
369,21
370,21
372,22
375,22
376,21
378,20
379,21
381,21
382,20
385,19
609,20
611,21
620,21
623,21
624,21
629,21
660,21
671,21
749,22
808,23
817,24
820,24
827,25
959,25
960,26
963,25
964,25
974,26
988,27
991,27
1000,28
1004,28
1032,28
1033,28
1035,28
1038,29
1042,29
1043,30
1046,30
1047,30
1052,31
1085,31
1086,30
1098,28
1100,29
1102,28
1104,26
1107,25
1114,26
1117,26
1118,26
1121,27
1239,27
1240,26
1242,26
1244,26
1247,27
1255,28
1257,25
1260,26
1261,26
1262,26
1267,27
1268,26
1269,27
1270,28
1275,28
1304,29
1403,30
1405,31
1645,31
1648,31
1650,32
1706,29
1717,29
1721,29
1722,30
1723,30
1740,31
1900,31
1924,32
1927,31
1928,30
1934,31
1939,32
1942,33
2111,33
2112,33
2118,33
2140,33
2149,32
2152,32
2154,33
2157,31
2162,32
2163,32
2168,32
2171,33
2215,33
2216,33
2229,34
2231,35
2239,36
2281,36
2284,35
2285,34
2289,35
2290,36
2293,35
2297,35
2301,32
2325,32
2921,32
2923,31
2925,30
2928,31
2985,32
2990,31
2993,32
3005,33
3012,33
3019,33
3020,33
3025,34
3038,34
3039,34
3040,34
3046,34
3049,33
3051,33
3052,33
3054,33
3058,33
3062,33
3069,33
3070,32
3074,32
3075,32
3076,32
3079,32
3090,32
3131,31
3137,30
3142,26
3144,25
3145,26
3146,25
3150,25
3165,25
3166,25
3168,25
3169,26
3170,25
3173,25
3174,25
3177,25
3185,25
3186,24
3196,25
3198,25
3200,25
3204,25
3242,25
3247,26
3256,27
3361,28
3364,28
3568,29
3881,30
3894,28
3895,29
3900,29
3904,30
4632,31
4634,31
4642,32
4643,32
4654,33
4657,33
4659,33
4662,33
4664,33
4666,32
4675,32
4678,32
4681,32
4683,31
4685,32
4691,31
4693,32
4697,32
4700,33
4707,33
4954,33
4959,31
4962,31
4965,32
4966,32
4967,31
4971,31
4975,31
4976,30
4979,30
5049,31
5052,31
5055,32
5060,31
5077,31
5078,31
5086,31
5103,31
5105,31
5109,31
5132,32
5134,33
5155,33
5156,34
5243,34
5255,34
5280,34
5289,34
5297,35
5306,36
