Time (s),Number of Solutions
0.0,1
2.6094212532043457,7
783.8395369052887,22
785.011430978775,23
785.4020628929138,24
785.6520669460297,25
785.8708212375641,26
785.9020714759827,27
785.9489471912384,28
786.3395793437958,29
786.3708300590515,29
786.4489557743073,30
786.5427076816559,31
786.6208343505859,32
786.714586019516,33
786.7770869731903,34
786.9958407878876,35
787.652102470398,36
787.8083553314209,37
787.8552312850952,38
787.8864812850952,39
787.9333572387695,40
788.0427341461182,41
788.0739846229553,41
788.3708653450012,42
789.4177584648132,43
790.1521465778351,44
790.2927742004395,45
790.3396499156952,46
790.4490268230438,47
790.9021599292755,48
791.5115456581116,49
791.6990487575531,50
791.7615497112274,51
791.7928004264832,52
791.8865523338318,53
791.9646787643433,54
792.1053059101105,55
792.199057340622,56
792.3240599632263,57
793.8709621429443,58
793.9490885734558,58
794.0115892887115,59
794.2147181034088,60
794.2615940570831,61
794.3084704875946,61
794.4647226333618,62
794.495973110199,62
794.5584743022919,63
794.8241038322449,64
794.9803569316864,65
795.1366095542908,66
795.6366183757782,67
795.6834943294525,67
795.8084962368011,68
795.9022481441498,68
797.7147798538208,69
797.7616555690765,70
797.8241565227509,70
798.1679127216339,71
798.2147889137268,71
798.2929148674011,72
798.3866670131683,73
798.4960436820984,74
798.5585448741913,75
798.6835472583771,76
798.7460482120514,76
798.8866755962372,77
799.0898039340973,78
800.1991989612579,79
800.3085758686066,79
806.1836793422699,80
806.2461805343628,81
806.3086814880371,80
806.3711829185486,80
806.5118098258972,81
806.6055614948273,82
806.9336926937103,83
807.0118188858032,84
807.0743198394775,84
807.1211957931519,84
807.1836972236633,84
807.2774486541748,85
807.3712003231049,86
807.4649519920349,87
807.6368300914764,88
807.8243329524994,89
807.9649608135223,90
808.0899629592896,91
808.1837148666382,92
808.3399674892426,93
808.4024693965912,93
808.4649703502655,93
808.7618496417999,94
808.8243505954742,94
808.9649784564972,95
809.0743551254272,96
809.1368563175201,96
809.2462332248688,97
809.3087346553802,98
809.7774925231934,99
810.1524994373322,100
810.3087522983551,101
810.4181289672852,101
810.5118806362152,100
810.5900073051453,101
810.6681332588196,101
810.8400115966797,102
810.9493882656097,103
811.0587651729584,104
811.1368916034698,104
811.2306435108185,105
811.2931444644928,105
811.41814661026,106
811.7150268554688,107
811.8400292396545,108
811.9962818622589,109
812.1056597232819,109
812.1681599617004,109
812.2462866306305,109
812.3400378227234,110
812.5275411605835,111
812.605667591095,111
812.8400468826294,112
817.7868506908417,113
818.0773434638977,114
818.8482930660248,115
819.2232999801636,116
819.3326768875122,116
819.582680940628,117
849.9432742595673,118
850.0370256900787,119
850.1776537895203,120
850.3495314121246,121
850.5370347499847,122
850.6307861804962,123
850.7714140415192,124
850.9901678562164,125
851.0995445251465,126
851.1932964324951,126
851.4433007240295,127
851.521427154541,127
851.5995533466339,127
851.6776797771454,127
851.787056684494,128
851.9276850223541,129
852.0995624065399,130
852.2401900291443,131
852.3183159828186,131
852.443318605423,131
852.5370697975159,131
852.6933238506317,132
852.7870757579803,132
852.8808264732361,133
853.0214536190033,134
853.1620810031891,135
853.2870833873749,136
853.4277110099792,137
853.5214624404907,137
853.6308393478394,137
853.7870919704437,137
853.9745953083038,138
854.0683472156525,139
854.1777243614197,140
854.4277284145355,141
854.5839812755585,141
854.771484375,142
854.9121117591858,143
855.0058636665344,143
855.0996153354645,144
855.2246174812317,143
855.3808701038361,144
855.4902474880219,145
855.5839989185333,145
855.693375825882,146
855.9433801174164,147
856.0527572631836,148
856.1621339321136,147
856.2871360778809,148
856.5058901309967,149
856.6621429920197,150
856.7558944225311,150
857.0840253829956,151
857.1777772903442,152
857.2871539592743,153
857.5527837276459,154
857.7402873039246,154
858.2715463638306,155
858.380922794342,155
858.5059254169464,156
858.6309275627136,157
858.8184306621552,155
858.9434328079224,156
859.037184715271,156
859.2090628147125,156
859.4278168678284,155
859.5996942520142,153
859.7090716362,153
859.81844830513,152
859.9434506893158,152
860.2090811729431,153
860.3340826034546,153
860.474710226059,152
860.7559652328491,153
861.7247319221497,154
861.8184850215912,155
861.9122362136841,156
862.0997397899628,157
862.1934914588928,157
862.3497431278229,158
862.4434947967529,158
862.6309978961945,159
862.7560005187988,159
862.8497519493103,159
862.9903798103333,159
863.2247583866119,159
863.3341360092163,159
863.4278869628906,159
863.5841398239136,159
863.6778914928436,159
863.8341445922852,160
863.9903972148895,161
864.1153991222382,161
864.2872772216797,161
864.3966543674469,161
864.5372815132141,162
864.6622838973999,163
864.75603556633,163
865.0372905731201,163
865.1466674804688,160
865.4591732025146,161
865.615425825119,162
865.8029291629791,163
865.9435565471649,164
866.0841841697693,165
866.7091951370239,166
867.4592084884644,167
867.5529599189758,168
867.6623368263245,168
868.177971124649,169
868.3185982704163,170
868.443600654602,171
868.5686028003693,172
868.6623547077179,173
868.7873566150665,173
868.9748599529266,174
869.0998623371124,174
869.2248644828796,175
869.3498673439026,176
869.4748687744141,177
869.5998709201813,177
869.7873742580414,178
870.146755695343,179
870.2717580795288,179
1819.9682440757751,180
1820.1557478904724,181
1820.265124320984,180
1820.452627658844,181
1820.5776295661926,181
1820.7495081424713,182
1820.905760526657,183
1821.0307626724243,184
1821.140139579773,184
1821.3901438713074,185
1821.593272447586,186
1821.702649116516,186
