Time (s),Number of Solutions
0,7
3,8
7,8
9,8
32,8
33,8
36,9
45,10
47,11
48,10
49,11
52,12
61,12
72,12
110,13
126,14
127,15
128,15
145,16
146,16
150,16
221,17
224,16
225,16
229,17
230,16
232,16
234,16
235,16
238,14
241,15
247,16
250,14
253,14
289,15
290,16
291,14
422,15
424,15
426,16
469,16
484,16
487,16
610,16
611,15
612,15
613,16
635,16
638,16
640,16
652,16
659,16
664,16
666,16
668,16
670,15
673,16
683,17
685,17
735,18
737,18
738,18
739,18
749,19
750,20
752,20
758,21
807,20
811,20
832,21
835,21
840,21
845,21
847,21
849,22
850,22
853,23
859,24
877,24
878,24
881,22
903,22
907,22
908,23
909,23
911,22
914,23
915,23
929,23
932,23
933,24
934,23
938,24
942,24
947,24
951,25
953,25
957,26
961,26
963,26
965,25
967,25
970,23
971,22
973,22
975,22
977,22
980,22
984,22
985,21
986,22
990,22
1033,23
1057,23
1059,23
1107,23
1109,23
1118,21
1122,21
1124,20
1127,19
1136,19
1167,19
1169,19
1170,18
1173,18
1182,18
1185,18
1186,18
1187,19
1200,19
1201,20
1202,19
1237,20
1238,20
1286,21
1294,21
1297,21
1305,21
1307,21
1310,21
1313,20
1315,17
1316,17
1412,18
1418,18
1426,19
1431,18
1434,17
1451,18
1453,18
1457,18
1461,18
1464,18
1465,16
1472,16
1473,16
1487,17
1489,17
1514,18
1515,18
1517,18
1518,18
1599,19
2309,20
2325,20
2327,20
2519,20
2524,20
2589,20
2591,20
2593,20
2640,21
2652,22
2668,23
2671,23
2675,23
2677,23
2681,23
2682,23
2685,22
2687,23
3458,24
3461,24
3466,24
3471,24
3474,24
3477,24
3478,24
3483,25
3493,25
3499,24
3512,25
3528,25
3541,23
3547,23
3551,22
3555,23
3556,24
3565,25
3863,25
3870,26
3871,24
3874,24
3878,24
3887,25
3888,25
3889,25
3894,25
3895,24
3901,24
3902,24
3903,23
3907,23
3913,22
3957,23
4215,23
4218,23
4219,22
4220,21
4222,21
4225,21
4226,21
4228,20
4233,21
4234,21
4250,21
4251,21
4253,21
4258,22
4688,22
4798,22
4803,21
4805,22
4813,22
4816,23
4818,22
4819,22
4822,21
4829,19
4830,18
4834,18
4842,17
4843,18
4844,18
4854,19
4860,19
4867,18
4875,19
4876,18
4877,17
4883,16
4886,16
4888,15
4975,16
4976,16
4977,15
4979,16
6325,16
6326,16
6334,16
6336,16
6342,16
6346,16
6354,16
6358,14
6368,13
6369,14
6374,14
6375,14
6377,14
6380,15
6388,16
6641,17
6654,17
6655,17
6656,17
6659,16
