Time (s),Number of Solutions
0,7
1,7
3,7
4,7
17,8
20,9
30,10
31,10
2645,11
2646,11
2702,12
2703,12
2890,13
2892,13
2893,13
2894,13
2963,14
2964,13
2967,13
2968,13
2970,13
2972,14
2975,14
2985,15
2987,15
2992,14
3031,14
3035,14
3048,14
3050,14
3051,13
3058,13
3069,14
3073,14
3074,13
3080,13
3082,13
3084,14
3085,14
3090,14
3092,14
3128,15
3129,15
3131,16
3132,16
3163,16
3167,15
3184,16
3186,16
3189,16
3223,16
3257,16
3271,16
3280,16
3281,16
3282,15
3283,15
3285,15
3290,15
3292,14
3293,14
3294,13
3297,13
3298,13
3299,13
3300,13
3311,13
3316,13
3318,13
3362,14
3394,14
3399,14
3401,14
3402,14
3403,14
3413,14
3415,13
3416,13
3417,13
3425,13
3426,13
3427,13
3428,13
3429,13
3430,13
3432,13
3434,12
3435,11
3436,11
3438,11
3444,11
3445,11
3478,12
3488,12
3491,12
3492,12
3605,13
3618,13
3631,13
3633,13
3636,13
3637,13
4332,13
4333,13
4341,13
4342,13
4474,14
4476,14
4500,14
4503,14
4506,14
4508,14
4509,14
4521,15
4522,15
4523,15
4532,15
4533,15
4535,15
4536,15
4538,15
4545,15
4546,15
4551,16
4559,16
4561,16
4563,16
4564,16
4565,16
4567,16
4572,16
4573,16
4577,16
4635,16
4636,16
5165,17
5166,17
5167,17
5170,17
5171,17
5174,17
5175,17
5176,16
5178,16
5179,16
5180,16
5181,17
5241,18
5243,18
5277,18
5281,18
5282,18
5283,18
5388,17
5488,17
5491,17
5493,17
5503,18
5509,17
5510,16
5513,16
5613,16
5625,16
5630,16
5635,16
5637,16
5638,16
5648,16
5656,16
5658,15
5660,15
5664,15
5679,15
5682,15
5683,15
5684,15
5687,15
5690,15
5701,15
5720,15
5723,15
5724,15
5728,15
5729,15
5743,15
5746,15
5753,16
5756,17
5757,16
5766,16
5768,16
5769,15
5772,15
5777,14
5778,14
5791,14
5793,14
5795,15
5797,16
5801,16
5802,16
5804,16
5805,16
5807,16
5819,15
5821,14
5829,15
5830,15
5833,15
5835,15
5836,15
5854,16
5856,16
5857,15
5860,15
5861,14
5863,14
5864,14
5866,15
5867,15
5870,14
5871,14
5873,13
5875,13
5876,13
5886,13
5940,13
5941,13
5943,12
5945,13
5967,13
5973,14
5978,14
6012,13
6016,13
6017,11
6026,12
6027,11
6035,11
6036,11
6037,11
6067,12
6073,12
6182,13
6184,13
6185,12
6191,12
6194,12
6196,12
6198,12
6201,12
6202,11
6236,12
6237,12
6238,12
6242,12
6250,12
6252,12
6268,12
6272,12
6278,12
6279,13
6472,13
6475,13
6477,14
6478,15
6479,15
6571,15
6572,15
6576,15
6578,15
6579,15
6582,15
6583,14
6586,14
6588,14
6595,14
6596,14
6603,14
6608,13
6628,13
6629,13
6632,13
6666,12
6678,13
6681,13
6682,13
6685,12
6687,13
6688,13
6690,13
6698,13
6700,13
6718,13
6719,14
6741,14
6742,14
6745,13
6755,14
6759,14
6844,15
6851,15
7016,14
7019,15
7025,14
7028,14
7029,14
7030,14
7032,14
7035,14
7036,14
7039,14
7040,14
7042,14
7046,14
7049,14
7052,14
7055,13
7058,13
7059,13
7060,13
7061,13
7065,13
7496,14
7498,14
7499,14
7505,14
7515,14
7516,14
7518,14
7523,15
7567,16
7569,16
7716,16
7721,16
7722,15
7723,15
7724,15
7965,16
7974,17
7983,17
7987,17
7988,17
7999,17
8002,17
8011,17
8013,17
8018,16
8026,16
8027,16
8030,16
8037,16
8039,16
8040,17
8048,17
8049,17
8058,18
8059,18
8063,18
8094,18
8124,18
8125,18
8128,16
8129,16
8146,17
8529,18
8549,19
8551,19
8617,20
8618,20
8621,20
8626,19
8631,19
8632,19
8634,19
8639,19
8640,19
8642,19
8643,19
8645,19
8647,19
8716,20
8719,20
8720,20
8725,21
8726,21
8727,21
8734,21
8758,21
8759,21
8760,21
8771,22
8775,22
8998,23
9002,23
9016,23
9039,23
9041,23
9042,23
9047,22
9049,22
9143,22
9145,22
9192,23
9193,22
9203,22
9206,22
9226,22
9236,22
9239,22
9303,21
9305,21
9307,21
9325,21
9326,21
9327,21
9329,21
9331,21
9333,21
9336,21
9342,21
9386,22
9403,22
9415,21
9420,21
9421,21
9429,20
9442,20
9444,19
9447,19
9448,19
9451,19
9452,19
9453,19
9455,19
9484,20
9501,21
9565,21
9566,21
9568,21
9721,21
9722,18
9731,19
9733,19
9736,19
9836,20
9842,20
9843,20
9844,20
9856,21
9901,21
9910,21
9912,21
9918,21
9941,21
9968,22
9970,22
9971,23
9978,23
9980,23
10042,23
10052,22
10056,21
10065,21
10071,21
10074,21
10080,21
10082,21
10084,21
10088,22
10089,22
10096,22
10129,22
10144,22
10147,23
10154,23
10156,23
10160,23
10161,23
10164,23
10173,23
10187,23
10191,23
10199,23
10261,23
10263,23
10267,22
10268,22
10275,22
10289,23
10291,23
10310,23
10312,22
10315,22
10326,21
10338,20
10371,21
10372,21
10374,21
10376,21
10377,22
10378,22
10379,22
10389,22
10394,22
10406,22
10427,21
10428,20
10429,20
10443,20
10449,20
10478,20
10575,21
10577,21
10585,21
10632,22
10640,22
10665,21
10689,21
10695,22
10696,22
10719,22
10721,22
10725,22
10733,22
10795,23
10831,23
10832,23
10833,23
10835,23
10836,23
10841,23
10843,23
10844,23
10849,23
10850,23
10863,23
10868,23
