Instance,Algorithm,Improvement_Time,DCI,Distribution Metric (DM),Hypevolume (Monte Carlo),PCI,PF-Share,Spacing,Spread
a3_o80_m10_an10_ar9_reduced,PSA,236.42,0.3744292237442922,0.3641499774359309,0.26364880443663485,0.3248988840548767,14.15525114155251,0.039139601130384394,0.52492975662382
a3_o80_m10_an10_ar9_reduced,DBSA,67.64,0.7968036529680367,0.19695076808609568,0.34728608325450266,0.19071595790499957,31.963470319634702,0.047006372431919796,0.5294600602496414
a3_o80_m10_an10_ar9_reduced,TPSA,118.76,0.9109589041095892,0.1952003971363493,0.3668525534304556,0.060657835265094565,53.88127853881278,0.05093835106162261,0.689321730183578
a5_o96_m10_an10_ar10_reduced,PSA,192.32,0.45736434108527135,0.21535236549494197,0.32478196221377653,0.17591681464095546,17.21311475409836,0.08428783217677788,0.6271542016354547
a5_o96_m10_an10_ar10_reduced,DBSA,60.09,0.7248062015503874,0.31185424016962887,0.16807865914981596,0.25980490576083354,35.65573770491803,0.05866683121916037,0.4951132085486286
a5_o96_m10_an10_ar10_reduced,TPSA,95.84,0.7848837209302325,0.15981236345389502,0.1926627227736297,0.1807269551159204,47.13114754098361,0.08246379547385,0.7064935064935065
a10_o107_m5_an57_ar12,PSA,153.69,0.6755319148936169,0.3812314197433158,0.26375601797184556,0.22392267017558584,18.786127167630056,0.041443542794219905,0.5130156472668514
a10_o107_m5_an57_ar12,DBSA,61.9,0.7553191489361702,0.1708762441380973,0.284469672974553,0.22429970097195792,41.61849710982659,0.03106050094465381,0.4890046800487268
a10_o107_m5_an57_ar12,TPSA,77.07,0.8280141843971631,0.13755690191674771,0.2729442179394026,0.1067018252793917,39.59537572254335,0.043159421110390596,0.660141422490941
a10_o114_m6_an57_ar11,PSA,282.59,0.42698776758409784,0.40593118754827906,0.3330910111926059,0.1431958361536389,8.367626886145404,0.09162661308360964,0.8602178922526322
a10_o114_m6_an57_ar11,DBSA,83.88,0.7175076452599388,0.12638541083531532,0.22062401275658053,0.20433474113970643,22.08504801097394,0.06332852938611352,0.8187013654671995
a10_o114_m6_an57_ar11,TPSA,118.2,0.9384556574923547,0.11762171650522248,0.28264704287597103,0.08466044432499849,69.54732510288066,0.07357833786493231,0.9477410875031876
a10_o128_m6_an51_ar13,PSA,197.62,0.43098159509202455,0.6680090669413946,0.00428854140842804,0.22780560064082692,10.720562390158172,0.04416278842761537,0.7939494635934778
a10_o128_m6_an51_ar13,DBSA,75.3,0.7975460122699386,0.2052333679939091,0.005178413750676859,0.16783420260974627,34.62214411247803,0.04832556619200336,0.8010960438827743
