Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
17,170,124,14816.21,4513.17,89.11,11,18,19
17,170,124,14827.66,4194.24,89.11,11,18,19
17,170,124,14874.92,4359.26,89.11,11,17,19
17,170,124,14879.21,4391.76,149.52,11,18,18
17,170,125,14507.83,3673.41,104.97,10,19,18
17,170,125,14599.35,3711.7,104.97,10,18,18
17,170,125,14653.26,3673.41,104.97,10,18,18
17,170,125,14713.56,3711.7,44.55,10,18,18
17,170,125,14820.06,4509.53,89.11,11,17,20
17,170,125,14879.21,4233.52,149.52,11,18,17
17,170,125,14992.21,4306.21,149.52,11,17,19
17,170,126,14003.96,5010.2,170.01,12,18,18
17,170,126,14128.83,4812.95,176.66,12,18,19
17,170,126,14154.05,5107.63,170.01,11,18,17
17,170,126,14210.61,5063.44,170.01,11,19,17
17,170,126,14250.64,4932.44,170.01,11,18,17
17,170,126,14473.19,3834.69,174.44,12,17,19
17,170,126,14541.44,3834.69,159.05,12,17,19
17,170,126,14642.52,4279.52,149.52,11,18,17
17,170,126,14660.78,4178.97,89.11,11,19,17
17,170,126,14684.46,3655.41,44.55,11,18,18
17,170,126,14865.32,4233.52,149.52,11,18,17
17,170,127,13934.32,4855.04,176.66,12,18,19
17,170,127,13946.33,4819.08,176.66,12,19,19
17,170,127,13949.96,5083.31,170.01,12,18,18
17,170,127,13974.83,4940.18,176.66,12,18,18
17,170,127,13974.83,4965.51,170.01,12,18,18
17,170,127,14133.34,4826.37,104.97,11,17,19
17,170,127,14145.3,4979.85,214.56,12,15,18
17,170,127,14166.15,4817.26,170.01,12,18,19
17,170,127,14179.8,4714.07,104.97,12,16,19
17,170,127,14179.8,4766.01,104.97,11,16,19
17,170,127,14218.18,4932.44,170.01,11,17,17
17,170,127,14422.56,3834.69,174.44,12,18,19
17,170,127,14422.56,3904.74,174.44,12,18,18
17,170,127,14452.13,5010.24,44.55,12,20,19
17,170,127,14452.13,5010.24,100.86,12,20,18
17,170,127,14493.08,4583.9,215.35,11,18,16
17,170,127,14494.28,3622.57,154.62,10,19,16
17,170,127,14498.65,3568.88,98.64,10,20,16
17,170,127,14520.12,3622.57,154.62,10,18,17
17,170,127,14520.12,3673.41,104.97,10,18,18
17,170,127,14547.35,4360.56,149.52,11,18,17
17,170,127,14556.25,4360.56,149.52,11,18,16
17,170,127,14556.83,3755.71,159.05,12,17,19
17,170,127,14589.5,4178.97,89.11,11,18,17
17,170,127,14600.77,4141.52,104.97,10,16,19
17,170,127,14605.93,4141.52,104.97,10,15,19
17,170,127,14608.01,3841.99,104.97,11,17,17
17,170,127,14624.3,3690.22,104.97,11,18,17
17,170,127,14636.99,3690.22,149.52,11,18,16
17,170,127,14650.37,3831.57,104.97,12,17,18
17,170,127,14658.0,3831.57,104.97,12,16,18
17,170,127,14698.0,3582.3,104.97,11,17,18
17,170,127,14698.0,3655.41,44.55,11,17,18
17,170,127,14698.0,3715.13,104.97,10,17,17
17,170,128,13946.33,4872.71,176.66,12,19,18
17,170,128,13974.83,4872.71,176.66,12,18,18
17,170,128,14077.41,4648.65,104.97,12,19,17
17,170,128,14116.8,5060.43,170.01,12,16,19
17,170,128,14132.45,4648.65,104.97,12,18,17
17,170,128,14133.34,4752.19,104.97,11,17,19
17,170,128,14141.77,4940.05,170.01,11,18,18
17,170,128,14145.3,4972.85,214.56,12,15,18
17,170,128,14145.3,5060.43,170.01,12,15,19
17,170,128,14149.57,4971.89,170.01,12,16,19
17,170,128,14164.18,4746.68,170.01,11,17,17
17,170,128,14188.79,3858.33,205.82,11,19,15
17,170,128,14188.79,3899.04,149.52,11,19,17
17,170,128,14188.79,4038.5,259.91,11,19,14
17,170,128,14191.79,4930.68,214.56,12,15,18
17,170,128,14228.19,4731.33,170.01,11,17,17
17,170,128,14243.33,3944.4,174.44,11,18,18
17,170,128,14327.45,4712.44,205.82,11,17,17
17,170,128,14331.57,4110.88,214.56,12,19,14
17,170,128,14347.23,3836.87,199.17,11,19,15
17,170,128,14353.16,4619.27,199.17,11,16,17
17,170,128,14357.28,4646.42,159.05,11,18,18
17,170,128,14393.34,4610.11,104.97,12,17,18
17,170,128,14407.01,4524.78,205.82,11,17,19
17,170,128,14437.37,3647.07,44.55,10,18,17
17,170,128,14437.37,3647.07,98.64,10,18,16
17,170,128,14518.12,4564.69,203.61,11,17,16
17,170,128,14525.13,4564.69,203.61,11,16,17
17,170,128,14549.46,3868.63,94.2,10,17,15
17,170,128,14553.22,3854.86,159.05,12,16,19
17,170,128,14585.61,3708.69,98.64,10,17,16
17,170,128,14586.37,3690.22,149.52,11,17,16
17,170,128,14593.54,3576.56,159.05,10,19,16
