Instance,Algorithm,Improvement_Time,DCI,Distribution Metric (DM),Hypevolume (Monte Carlo),PCI,PF-Share,Spacing,Spread
a3_o80_m10_an10_ar9_reduced,PSA,258.71,0.3662551440329218,0.3983568229158328,0.47093545341300413,0.2122928721988055,13.440860215053762,0.06101891228146553,0.6156520431435476
a3_o80_m10_an10_ar9_reduced,DBSA,68.43,0.6213991769547326,0.16525884509263133,0.5250246819268028,0.26101500835310326,25.806451612903224,0.03415290482866844,0.5908985929820351
a3_o80_m10_an10_ar9_reduced,TPSA,119.05,0.8312757201646092,0.19904869657677496,0.6270276393262638,0.10564914490517627,60.752688172043015,0.06075042033660796,0.6933335717463712
a5_o96_m10_an10_ar10_reduced,PSA,189.43,0.571078431372549,0.4111732470622929,0.10666674618112643,0.2929774253346996,21.31979695431472,0.08730455120547856,0.5314297270282622
a5_o96_m10_an10_ar10_reduced,DBSA,61.37,0.7058823529411766,0.2127503662323789,0.1548699516118576,0.25760337495558344,34.51776649746193,0.04543945432989011,0.5226779687908268
a5_o96_m10_an10_ar10_reduced,TPSA,90.95,0.8088235294117647,0.28931715900451055,0.17792086168215832,0.1751769495541527,44.16243654822335,0.07810716647197571,0.5963880810003145
a10_o107_m5_an57_ar12,PSA,162.4,0.3478260869565218,0.37103642901188927,0.09001648416290457,0.34268613587281205,15.384615384615385,0.059538039714454025,0.563368483862483
a10_o107_m5_an57_ar12,DBSA,62.86,0.7077294685990336,0.19959347299353686,0.25406391438879816,0.24417182608471935,37.43589743589744,0.03806583901496559,0.5145789095296076
a10_o107_m5_an57_ar12,TPSA,73.19,0.8212560386473429,0.17185096372647124,0.2425170166466057,0.0994941938022345,47.179487179487175,0.04132067703933418,0.7040962149744905
a10_o114_m6_an57_ar11,PSA,309.84,0.22,0.8739779393550087,0.5686605907575581,0.06260444239136144,21.875,0.10886197219682406,0.7757037458692039
a10_o114_m6_an57_ar11,DBSA,84.26,0.45,0.1438539880331953,0.24167002971844115,0.32547647582572564,25.0,0.07196063640335652,0.8195562486288184
a10_o114_m6_an57_ar11,TPSA,122.69,0.745,0.10647472962329876,0.24484355036067787,0.16633937831984053,53.125,0.07888338091281008,0.9633694530610797
a10_o128_m6_an51_ar13,PSA,292.24,0.4172885572139303,0.22879775498407628,0.0012436770084441316,0.4601900340942039,6.373292867981791,0.05673672776977057,0.8832353682213065
a10_o128_m6_an51_ar13,DBSA,77.0,0.8631840796019901,0.18452237494379492,0.005081921568987228,0.1580669335531028,48.558421851289836,0.03402222491145086,0.8966616779252906
a10_o128_m6_an51_ar13,TPSA,113.03,0.904228855721393,0.16811781508464327,0.005725202780251434,0.09015284954605893,45.068285280728375,0.047164141692807936,0.9523809523809524
a10_o144_m6_an53_ar12,PSA,209.57,0.6111111111111113,0.1304954838010992,0.39348439557679377,0.1412523340922704,26.143790849673206,0.05329760023271036,0.6206421745653877
a10_o144_m6_an53_ar12,DBSA,53.2,0.6994949494949496,0.20066522056593697,0.45248400400324257,0.1528360662758745,52.28758169934641,0.04140446612232153,0.4859156379189284
a10_o144_m6_an53_ar12,TPSA,109.0,0.7058080808080809,0.09202681220200065,0.43116995320335516,0.09487284742423997,21.568627450980394,0.060418167523761515,0.6784040957516745
a15_o170_m9_an80_ar18,PSA,372.57,0.47809278350515466,0.27766324313653945,0.007033207909821986,0.24751522271690696,12.577319587628866,0.03839913445954427,0.7809020513050573
a15_o170_m9_an80_ar18,DBSA,175.07,0.7719072164948454,0.0952732978683856,0.03603446918431661,0.327978838667528,31.237113402061855,0.029030314856555623,0.7565144958921122
a15_o170_m9_an80_ar18,TPSA,210.25,0.8859536082474226,0.0948267428160267,0.04590883577722217,0.14757596725485095,56.18556701030928,0.03214275380326202,0.9758312273238099
a20_o236_m12_an106_ar24,PSA,1035.03,0.6649096385542169,0.15188552788189982,0.058270556387016,0.13403210233307902,16.455696202531644,0.058167533895269394,0.7554616987846855
a20_o236_m12_an106_ar24,DBSA,223.21,0.8669678714859438,0.07167385804855123,0.03859687267585236,0.21361979656827484,56.77215189873418,0.04533924671660971,0.7374146977158941
a20_o236_m12_an106_ar24,TPSA,314.48,0.8195281124497992,0.0502268141217132,0.05817406420532637,0.16069343455341203,26.772151898734176,0.043841290735066915,0.9773938220070141
a25_o306_m13_an127_ar31,PSA,1151.31,0.6656976744186046,0.08776612404361206,0.015803275090057328,0.13603006675104706,25.28784648187633,0.03716319247887481,0.7398684235239219
a25_o306_m13_an127_ar31,DBSA,286.87,0.7991279069767442,0.09526704665979396,0.007826588070381174,0.260432414556619,30.2771855010661,0.029257245526162844,0.5466079735000066
a25_o306_m13_an127_ar31,TPSA,407.41,0.8354651162790697,0.055197753264860476,0.020552834699891383,0.13949592737547287,44.43496801705757,0.03202112394927416,0.9307003919403035
a30_o355_m18_an148_ar42,PSA,1121.84,0.6534090909090909,0.1680006464417108,0.0029698149253364176,0.2693040449320491,17.04475781729001,0.033078219363548315,0.6581434619928069
a30_o355_m18_an148_ar42,DBSA,396.02,0.8196022727272727,0.11553693705425458,0.008373377099955748,0.24029571449936923,39.73022685469038,0.03325595873525889,0.5845336127390618
a30_o355_m18_an148_ar42,TPSA,561.25,0.9261363636363636,0.06242893106901347,0.017776004137934228,0.06196314570724839,43.22501532801962,0.03988680810239814,0.9740185541726296
a40_o476_m22_an215_ar51,PSA,1589.67,0.5,0.1550178613781312,0.00022514842394247213,0.3346340068554518,28.429027113237638,0.015690307779084135,0.5192380938355007
a40_o476_m22_an215_ar51,DBSA,694.13,0.7332317073170732,0.2207238473893806,0.0006003957971799256,0.36028896982921765,36.20414673046252,0.010505715755299426,0.3304461411399463
a40_o476_m22_an215_ar51,TPSA,1116.92,0.8163109756097561,0.055042962115030944,0.004685231488707634,0.06617263856186316,35.366826156299844,0.01428085980238665,0.9426427130130293
a50_o578_m28_an276_ar66,PSA,2856.88,0.75,0.0867593100556589,0.0011471848267545007,0.3151609566357637,36.31692806922661,0.01729832022748835,0.5029719656509618
a50_o578_m28_an276_ar66,DBSA,1086.42,0.8349697885196374,0.11203852285936376,0.002315812360551142,0.30664382041425997,25.635478637101134,0.02257743510373383,0.4920776071104746
a50_o578_m28_an276_ar66,TPSA,1573.2,0.9305135951661632,0.05100186275332378,0.007976687019676154,0.04762538085401604,38.04759329367226,0.023759913337038044,0.9834374933665061
